First_Procedure_Code,amb_acute_count,OPCS_L4_Code,OPCS_L4_Desc,OPCS_L3_Code,OPCS_L3_Desc,OPCS_L2_Code,OPCS_L2_Desc,OPCS_L1_Code,OPCS_L1_Desc,OPCS_Version,OPCS_Status
F263,1,F263,F263: Incision of frenulum of tongue,F26,F26: Other operations on tongue,F22-F32,F22-F32: Tongue and palate,F,F: Mouth,4.2,Live
F265,19,F265,F265: Suture of tongue,F26,F26: Other operations on tongue,F22-F32,F22-F32: Tongue and palate,F,F: Mouth,4.2,Live
F268,3,F268,F268: Other specified other operations on tongue,F26,F26: Other operations on tongue,F22-F32,F22-F32: Tongue and palate,F,F: Mouth,4.2,Live
F281,16,F281,F281: Excision of lesion of palate,F28,F28: Extirpation of lesion of palate,F22-F32,F22-F32: Tongue and palate,F,F: Mouth,4.2,Live
F282,9,F282,F282: Destruction of lesion of palate,F28,F28: Extirpation of lesion of palate,F22-F32,F22-F32: Tongue and palate,F,F: Mouth,4.2,Live
F288,10,F288,F288: Other specified extirpation of lesion of palate,F28,F28: Extirpation of lesion of palate,F22-F32,F22-F32: Tongue and palate,F,F: Mouth,4.2,Live
F292,1,F292,F292: Revision of repair of cleft palate,F29,F29: Correction of deformity of palate,F22-F32,F22-F32: Tongue and palate,F,F: Mouth,4.2,Live
F307,3,F307,F307: Suture of palate,F30,F30: Other repair of palate,F22-F32,F22-F32: Tongue and palate,F,F: Mouth,4.2,Live
F308,2,F308,F308: Other specified other repair of palate,F30,F30: Other repair of palate,F22-F32,F22-F32: Tongue and palate,F,F: Mouth,4.2,Live
F321,58,F321,F321: Biopsy of lesion of palate,F32,F32: Other operations on palate,F22-F32,F22-F32: Tongue and palate,F,F: Mouth,4.2,Live
F322,1,F322,F322: Removal of foreign body from palate,F32,F32: Other operations on palate,F22-F32,F22-F32: Tongue and palate,F,F: Mouth,4.2,Live
F323,46,F323,F323: Incision of palate,F32,F32: Other operations on palate,F22-F32,F22-F32: Tongue and palate,F,F: Mouth,4.2,Live
F324,18,F324,F324: Operations on uvula NEC,F32,F32: Other operations on palate,F22-F32,F22-F32: Tongue and palate,F,F: Mouth,4.2,Live
F328,115,F328,F328: Other specified other operations on palate,F32,F32: Other operations on palate,F22-F32,F22-F32: Tongue and palate,F,F: Mouth,4.2,Live
F329,1,F329,F329: Unspecified other operations on palate,F32,F32: Other operations on palate,F22-F32,F22-F32: Tongue and palate,F,F: Mouth,4.2,Live
F341,340,F341,F341: Bilateral dissection tonsillectomy,F34,F34: Excision of tonsil,"F34-F43, F64-F67","F34-F43, F64-F67: Tonsil and other parts of mouth",F,F: Mouth,4.2,Live
F344,76,F344,F344: Bilateral excision of tonsil NEC,F34,F34: Excision of tonsil,"F34-F43, F64-F67","F34-F43, F64-F67: Tonsil and other parts of mouth",F,F: Mouth,4.2,Live
F345,1,F345,F345: Excision of remnant of tonsil,F34,F34: Excision of tonsil,"F34-F43, F64-F67","F34-F43, F64-F67: Tonsil and other parts of mouth",F,F: Mouth,4.2,Live
G143,1,G143,G143: Fibreoptic endoscopic cauterisation of lesion of oesophagus,G14,G14: Fibreoptic endoscopic extirpation of lesion of oesophagus,G01-G25,G01-G25: Oesophagus including hiatus hernia,G,G: Upper Digestive System,4.2,Live
G144,1,G144,G144: Fibreoptic endoscopic injection sclerotherapy to varices of oesophagus,G14,G14: Fibreoptic endoscopic extirpation of lesion of oesophagus,G01-G25,G01-G25: Oesophagus including hiatus hernia,G,G: Upper Digestive System,4.2,Live
E499,20,E499,E499: Unspecified diagnostic fibreoptic endoscopic examination of lower respiratory tract,E49,E49: Diagnostic fibreoptic endoscopic examination of lower respiratory tract,"E39-E52, E67","E39-E52, E67: Trachea and bronchus",E,E: Respiratory Tract,4.2,Live
E502,1,E502,E502: Endoscopic laser destruction of lesion of lower respiratory tract using rigid bronchoscope,E50,E50: Therapeutic endoscopic operations on lower respiratory tract using rigid bronchoscope,"E39-E52, E67","E39-E52, E67: Trachea and bronchus",E,E: Respiratory Tract,4.2,Live
E505,1,E505,E505: Endoscopic removal of foreign body from lower respiratory tract using rigid bronchoscope,E50,E50: Therapeutic endoscopic operations on lower respiratory tract using rigid bronchoscope,"E39-E52, E67","E39-E52, E67: Trachea and bronchus",E,E: Respiratory Tract,4.2,Live
F095,605,F095,F095: Surgical removal of retained root of tooth,F09,F09: Surgical removal of tooth,"F08-F21, F65-F66","F08-F21, F65-F66: Tooth and gingiva",F,F: Mouth,4.2,Live
F096,10,F096,F096: Coronectomy NEC,F09,F09: Surgical removal of tooth,"F08-F21, F65-F66","F08-F21, F65-F66: Tooth and gingiva",F,F: Mouth,4.8,Live
F098,12,F098,F098: Other specified surgical removal of tooth,F09,F09: Surgical removal of tooth,"F08-F21, F65-F66","F08-F21, F65-F66: Tooth and gingiva",F,F: Mouth,4.2,Live
F099,18,F099,F099: Unspecified surgical removal of tooth,F09,F09: Surgical removal of tooth,"F08-F21, F65-F66","F08-F21, F65-F66: Tooth and gingiva",F,F: Mouth,4.2,Live
F101,170,F101,F101: Full dental clearance,F10,F10: Simple extraction of tooth,"F08-F21, F65-F66","F08-F21, F65-F66: Tooth and gingiva",F,F: Mouth,4.2,Live
F102,78,F102,F102: Upper dental clearance,F10,F10: Simple extraction of tooth,"F08-F21, F65-F66","F08-F21, F65-F66: Tooth and gingiva",F,F: Mouth,4.2,Live
F103,47,F103,F103: Lower dental clearance,F10,F10: Simple extraction of tooth,"F08-F21, F65-F66","F08-F21, F65-F66: Tooth and gingiva",F,F: Mouth,4.2,Live
F104,6026,F104,F104: Extraction of multiple teeth NEC,F10,F10: Simple extraction of tooth,"F08-F21, F65-F66","F08-F21, F65-F66: Tooth and gingiva",F,F: Mouth,4.2,Live
F105,227,F105,F105: Extraction of retained root of tooth,F10,F10: Simple extraction of tooth,"F08-F21, F65-F66","F08-F21, F65-F66: Tooth and gingiva",F,F: Mouth,4.9,Live
F108,63,F108,F108: Other specified simple extraction of tooth,F10,F10: Simple extraction of tooth,"F08-F21, F65-F66","F08-F21, F65-F66: Tooth and gingiva",F,F: Mouth,4.2,Live
F109,4815,F109,F109: Unspecified simple extraction of tooth,F10,F10: Simple extraction of tooth,"F08-F21, F65-F66","F08-F21, F65-F66: Tooth and gingiva",F,F: Mouth,4.2,Live
F111,1,F111,F111: Oral alveoplasty,F11,F11: Preprosthetic oral surgery,"F08-F21, F65-F66","F08-F21, F65-F66: Tooth and gingiva",F,F: Mouth,4.2,Live
F112,1,F112,F112: Augmentation of alveolar ridge using autograft of bone,F11,F11: Preprosthetic oral surgery,"F08-F21, F65-F66","F08-F21, F65-F66: Tooth and gingiva",F,F: Mouth,4.2,Live
F115,6,F115,F115: Endosseous implantation into jaw,F11,F11: Preprosthetic oral surgery,"F08-F21, F65-F66","F08-F21, F65-F66: Tooth and gingiva",F,F: Mouth,4.2,Live
F118,4,F118,F118: Other specified preprosthetic oral surgery,F11,F11: Preprosthetic oral surgery,"F08-F21, F65-F66","F08-F21, F65-F66: Tooth and gingiva",F,F: Mouth,4.2,Live
F121,7,F121,F121: Apicectomy of tooth,F12,F12: Surgery on apex of tooth,"F08-F21, F65-F66","F08-F21, F65-F66: Tooth and gingiva",F,F: Mouth,4.2,Live
F122,9,F122,F122: Root canal therapy to tooth,F12,F12: Surgery on apex of tooth,"F08-F21, F65-F66","F08-F21, F65-F66: Tooth and gingiva",F,F: Mouth,4.2,Live
F128,11,F128,F128: Other specified surgery on apex of tooth,F12,F12: Surgery on apex of tooth,"F08-F21, F65-F66","F08-F21, F65-F66: Tooth and gingiva",F,F: Mouth,4.2,Live
F131,1,F131,F131: Full restoration of crown of tooth,F13,F13: Restoration of tooth,"F08-F21, F65-F66","F08-F21, F65-F66: Tooth and gingiva",F,F: Mouth,4.2,Live
F133,2,F133,F133: Restoration of crown of tooth NEC,F13,F13: Restoration of tooth,"F08-F21, F65-F66","F08-F21, F65-F66: Tooth and gingiva",F,F: Mouth,4.2,Live
F134,2,F134,F134: Restoration of part of tooth using inlay NEC,F13,F13: Restoration of tooth,"F08-F21, F65-F66","F08-F21, F65-F66: Tooth and gingiva",F,F: Mouth,4.2,Live
F135,44,F135,F135: Restoration of part of tooth using filling NEC,F13,F13: Restoration of tooth,"F08-F21, F65-F66","F08-F21, F65-F66: Tooth and gingiva",F,F: Mouth,4.2,Live
E412,1,E412,E412: Open renewal of tubal prosthesis in trachea,E41,E41: Open placement of prosthesis in trachea,"E39-E52, E67","E39-E52, E67: Trachea and bronchus",E,E: Respiratory Tract,4.2,Live
E418,1,E418,E418: Other specified open placement of prosthesis in trachea,E41,E41: Open placement of prosthesis in trachea,"E39-E52, E67","E39-E52, E67: Trachea and bronchus",E,E: Respiratory Tract,4.2,Live
E421,4,E421,E421: Permanent tracheostomy,E42,E42: Exteriorisation of trachea,"E39-E52, E67","E39-E52, E67: Trachea and bronchus",E,E: Respiratory Tract,4.2,Live
E422,2,E422,E422: Cricothyroidostomy,E42,E42: Exteriorisation of trachea,"E39-E52, E67","E39-E52, E67: Trachea and bronchus",E,E: Respiratory Tract,4.2,Live
E423,124,E423,E423: Temporary tracheostomy,E42,E42: Exteriorisation of trachea,"E39-E52, E67","E39-E52, E67: Trachea and bronchus",E,E: Respiratory Tract,4.2,Live
E426,42,E426,E426: Replacement of tracheostomy tube,E42,E42: Exteriorisation of trachea,"E39-E52, E67","E39-E52, E67: Trachea and bronchus",E,E: Respiratory Tract,4.2,Live
E427,4,E427,E427: Removal of tracheostomy tube,E42,E42: Exteriorisation of trachea,"E39-E52, E67","E39-E52, E67: Trachea and bronchus",E,E: Respiratory Tract,4.2,Live
E428,1,E428,E428: Other specified exteriorisation of trachea,E42,E42: Exteriorisation of trachea,"E39-E52, E67","E39-E52, E67: Trachea and bronchus",E,E: Respiratory Tract,4.2,Live
E429,1,E429,E429: Unspecified exteriorisation of trachea,E42,E42: Exteriorisation of trachea,"E39-E52, E67","E39-E52, E67: Trachea and bronchus",E,E: Respiratory Tract,4.2,Live
E431,1,E431,E431: Open destruction of lesion of trachea,E43,E43: Other open operations on trachea,"E39-E52, E67","E39-E52, E67: Trachea and bronchus",E,E: Respiratory Tract,4.2,Live
F155,1,F155,F155: Adjustment of orthodontic appliance NEC,F15,F15: Other orthodontic operations,"F08-F21, F65-F66","F08-F21, F65-F66: Tooth and gingiva",F,F: Mouth,4.3,Live
F161,15568,F161,F161: Drainage of abscess of alveolus of tooth,F16,F16: Other operations on tooth,"F08-F21, F65-F66","F08-F21, F65-F66: Tooth and gingiva",F,F: Mouth,4.2,Live
F162,19,F162,F162: Surgical arrest of postoperative bleeding from tooth socket,F16,F16: Other operations on tooth,"F08-F21, F65-F66","F08-F21, F65-F66: Tooth and gingiva",F,F: Mouth,4.2,Live
F163,35,F163,F163: Packing of tooth socket,F16,F16: Other operations on tooth,"F08-F21, F65-F66","F08-F21, F65-F66: Tooth and gingiva",F,F: Mouth,4.2,Live
F164,21,F164,F164: Scaling of tooth,F16,F16: Other operations on tooth,"F08-F21, F65-F66","F08-F21, F65-F66: Tooth and gingiva",F,F: Mouth,4.2,Live
F165,6,F165,F165: Application of fissure sealant,F16,F16: Other operations on tooth,"F08-F21, F65-F66","F08-F21, F65-F66: Tooth and gingiva",F,F: Mouth,4.3,Live
F168,315,F168,F168: Other specified other operations on tooth,F16,F16: Other operations on tooth,"F08-F21, F65-F66","F08-F21, F65-F66: Tooth and gingiva",F,F: Mouth,4.2,Live
F171,4,F171,F171: Preparation of tooth for dental crown,F17,F17: Operations on teeth using dental crown or bridge,"F08-F21, F65-F66","F08-F21, F65-F66: Tooth and gingiva",F,F: Mouth,4.3,Live
F173,3,F173,F173: Fitting of dental crown on tooth,F17,F17: Operations on teeth using dental crown or bridge,"F08-F21, F65-F66","F08-F21, F65-F66: Tooth and gingiva",F,F: Mouth,4.3,Live
F175,1,F175,F175: Removal of dental crown from tooth,F17,F17: Operations on teeth using dental crown or bridge,"F08-F21, F65-F66","F08-F21, F65-F66: Tooth and gingiva",F,F: Mouth,4.3,Live
F178,2,F178,F178: Other specified operations on teeth using dental crown or bridge,F17,F17: Operations on teeth using dental crown or bridge,"F08-F21, F65-F66","F08-F21, F65-F66: Tooth and gingiva",F,F: Mouth,4.3,Live
F181,226,F181,F181: Enucleation of dental cyst of jaw,F18,F18: Excision of dental lesion of jaw,"F08-F21, F65-F66","F08-F21, F65-F66: Tooth and gingiva",F,F: Mouth,4.2,Live
F182,10,F182,F182: Marsupialisation of dental lesion of jaw,F18,F18: Excision of dental lesion of jaw,"F08-F21, F65-F66","F08-F21, F65-F66: Tooth and gingiva",F,F: Mouth,4.2,Live
F188,78,F188,F188: Other specified excision of dental lesion of jaw,F18,F18: Excision of dental lesion of jaw,"F08-F21, F65-F66","F08-F21, F65-F66: Tooth and gingiva",F,F: Mouth,4.2,Live
F189,13,F189,F189: Unspecified excision of dental lesion of jaw,F18,F18: Excision of dental lesion of jaw,"F08-F21, F65-F66","F08-F21, F65-F66: Tooth and gingiva",F,F: Mouth,4.2,Live
G743,1,G743,G743: Creation of defunctioning ileostomy,G74,G74: Creation of artificial opening into ileum,G68-G82,G68-G82: Ileum,G,G: Upper Digestive System,4.2,Live
G751,2,G751,G751: Refashioning of ileostomy,G75,G75: Attention to artificial opening into ileum,G68-G82,G68-G82: Ileum,G,G: Upper Digestive System,4.2,Live
G753,20,G753,G753: Closure of ileostomy,G75,G75: Attention to artificial opening into ileum,G68-G82,G68-G82: Ileum,G,G: Upper Digestive System,4.2,Live
G758,2,G758,G758: Other specified attention to artificial opening into ileum,G75,G75: Attention to artificial opening into ileum,G68-G82,G68-G82: Ileum,G,G: Upper Digestive System,4.2,Live
G763,1,G763,G763: Open relief of obstruction of ileum NEC,G76,G76: Intra-abdominal manipulation of ileum,G68-G82,G68-G82: Ileum,G,G: Upper Digestive System,4.2,Live
G781,1,G781,G781: Open biopsy of lesion of ileum,G78,G78: Other open operations on ileum,G68-G82,G68-G82: Ileum,G,G: Upper Digestive System,4.2,Live
H333,1,H333,H333: Anterior resection of rectum and anastomosis of colon to rectum using staples,H33,H33: Excision of rectum,"H33-H36, H40-H46","H33-H36, H40-H46: Rectum",H,H: Lower Digestive System,4.2,Live
H334,1,H334,H334: Anterior resection of rectum and anastomosis NEC,H33,H33: Excision of rectum,"H33-H36, H40-H46","H33-H36, H40-H46: Rectum",H,H: Lower Digestive System,4.2,Live
H335,18,H335,H335: Rectosigmoidectomy and closure of rectal stump and exteriorisation of bowel,H33,H33: Excision of rectum,"H33-H36, H40-H46","H33-H36, H40-H46: Rectum",H,H: Lower Digestive System,4.2,Live
H336,1,H336,H336: Anterior resection of rectum and exteriorisation of bowel,H33,H33: Excision of rectum,"H33-H36, H40-H46","H33-H36, H40-H46: Rectum",H,H: Lower Digestive System,4.2,Live
H337,1,H337,H337: Perineal resection of rectum HFQ,H33,H33: Excision of rectum,"H33-H36, H40-H46","H33-H36, H40-H46: Rectum",H,H: Lower Digestive System,4.3,Live
H402,1,H402,H402: Trans-sphincteric excision of lesion of rectum,H40,H40: Operations on rectum through anal sphincter,"H33-H36, H40-H46","H33-H36, H40-H46: Rectum",H,H: Lower Digestive System,4.2,Live
H412,5,H412,H412: Peranal excision of lesion of rectum,H41,H41: Other operations on rectum through anus,"H33-H36, H40-H46","H33-H36, H40-H46: Rectum",H,H: Lower Digestive System,4.2,Live
J131,3,J131,J131: Percutaneous transvascular biopsy of lesion of liver,J13,J13: Diagnostic percutaneous operations on liver,"J01-J17, J77","J01-J17, J77: Liver",J,"J: Other Abdominal Organs, Principally Digestive",4.2,Live
J132,28,J132,J132: Percutaneous biopsy of lesion of liver NEC,J13,J13: Diagnostic percutaneous operations on liver,"J01-J17, J77","J01-J17, J77: Liver",J,"J: Other Abdominal Organs, Principally Digestive",4.2,Live
J141,3,J141,J141: Biopsy of liver NEC,J14,J14: Other puncture of liver,"J01-J17, J77","J01-J17, J77: Liver",J,"J: Other Abdominal Organs, Principally Digestive",4.2,Live
J151,1,J151,J151: Percutaneous transluminal insertion of stent graft into hepatic artery,J15,J15: Transluminal insertion of prosthesis into blood vessel of liver,"J01-J17, J77","J01-J17, J77: Liver",J,"J: Other Abdominal Organs, Principally Digestive",4.3,Live
J182,1,J182,J182: Total cholecystectomy and exploration of common bile duct,J18,J18: Excision of gall bladder,J18-J26,J18-J26: Gall bladder,J,"J: Other Abdominal Organs, Principally Digestive",4.2,Live
J183,9,J183,J183: Total cholecystectomy NEC,J18,J18: Excision of gall bladder,J18-J26,J18-J26: Gall bladder,J,"J: Other Abdominal Organs, Principally Digestive",4.2,Live
J185,5,J185,J185: Partial cholecystectomy NEC,J18,J18: Excision of gall bladder,J18-J26,J18-J26: Gall bladder,J,"J: Other Abdominal Organs, Principally Digestive",4.2,Live
J411,1,J411,J411: Endoscopic retrograde extraction of calculus from bile duct,J41,J41: Other therapeutic endoscopic retrograde operations on bile duct,"J27-J53, J76","J27-J53, J76: Bile duct",J,"J: Other Abdominal Organs, Principally Digestive",4.2,Live
J421,1,J421,J421: Endoscopic retrograde insertion of tubal prosthesis into pancreatic duct,J42,J42: Therapeutic endoscopic retrograde operations on pancreatic duct,"J27-J53, J76","J27-J53, J76: Bile duct",J,"J: Other Abdominal Organs, Principally Digestive",4.2,Live
J439,5,J439,J439: Unspecified diagnostic endoscopic retrograde examination of bile duct and pancreatic duct,J43,J43: Diagnostic endoscopic retrograde examination of bile duct and pancreatic duct,"J27-J53, J76","J27-J53, J76: Bile duct",J,"J: Other Abdominal Organs, Principally Digestive",4.2,Live
D083,57,D083,D083: Drainage of external auditory canal,D08,D08: Other operations on external auditory canal,D01-D08,D01-D08: External ear and external auditory canal,D,D: Ear,4.2,Live
D085,20,D085,D085: Irrigation of external auditory canal NEC,D08,D08: Other operations on external auditory canal,D01-D08,D01-D08: External ear and external auditory canal,D,D: Ear,4.2,Live
D088,70,D088,D088: Other specified other operations on external auditory canal,D08,D08: Other operations on external auditory canal,D01-D08,D01-D08: External ear and external auditory canal,D,D: Ear,4.2,Live
D101,1,D101,D101: Radical mastoidectomy NEC,D10,D10: Exenteration of mastoid air cells,D10-D20,D10-D20: Mastoid and middle ear,D,D: Ear,4.2,Live
D102,3,D102,D102: Modified radical mastoidectomy,D10,D10: Exenteration of mastoid air cells,D10-D20,D10-D20: Mastoid and middle ear,D,D: Ear,4.2,Live
D103,35,D103,D103: Cortical mastoidectomy,D10,D10: Exenteration of mastoid air cells,D10-D20,D10-D20: Mastoid and middle ear,D,D: Ear,4.2,Live
D104,9,D104,D104: Simple mastoidectomy,D10,D10: Exenteration of mastoid air cells,D10-D20,D10-D20: Mastoid and middle ear,D,D: Ear,4.2,Live
D106,2,D106,D106: Revision of mastoidectomy,D10,D10: Exenteration of mastoid air cells,D10-D20,D10-D20: Mastoid and middle ear,D,D: Ear,4.2,Live
D108,1,D108,D108: Other specified exenteration of mastoid air cells,D10,D10: Exenteration of mastoid air cells,D10-D20,D10-D20: Mastoid and middle ear,D,D: Ear,4.2,Live
D109,1,D109,D109: Unspecified exenteration of mastoid air cells,D10,D10: Exenteration of mastoid air cells,D10-D20,D10-D20: Mastoid and middle ear,D,D: Ear,4.2,Live
D124,1,D124,D124: Exploration of mastoid,D12,D12: Other operations on mastoid,D10-D20,D10-D20: Mastoid and middle ear,D,D: Ear,4.2,Live
D125,1,D125,D125: Removal of pack from mastoid,D12,D12: Other operations on mastoid,D10-D20,D10-D20: Mastoid and middle ear,D,D: Ear,4.2,Live
D128,8,D128,D128: Other specified other operations on mastoid,D12,D12: Other operations on mastoid,D10-D20,D10-D20: Mastoid and middle ear,D,D: Ear,4.2,Live
D141,7,D141,D141: Tympanoplasty using graft,D14,D14: Repair of eardrum,D10-D20,D10-D20: Mastoid and middle ear,D,D: Ear,4.2,Live
D142,3,D142,D142: Tympanoplasty NEC,D14,D14: Repair of eardrum,D10-D20,D10-D20: Mastoid and middle ear,D,D: Ear,4.2,Live
E315,1,E315,E315: Attention to artificial voice box in larynx,E31,E31: Reconstruction of larynx,E29-E38,E29-E38: Larynx,E,E: Respiratory Tract,4.2,Live
E338,2,E338,E338: Other specified other open operations on larynx,E33,E33: Other open operations on larynx,E29-E38,E29-E38: Larynx,E,E: Respiratory Tract,4.2,Live
E342,1,E342,E342: Microtherapeutic endoscopic resection of lesion of larynx NEC,E34,E34: Microtherapeutic endoscopic operations on larynx,E29-E38,E29-E38: Larynx,E,E: Respiratory Tract,4.2,Live
E348,2,E348,E348: Other specified microtherapeutic endoscopic operations on larynx,E34,E34: Microtherapeutic endoscopic operations on larynx,E29-E38,E29-E38: Larynx,E,E: Respiratory Tract,4.2,Live
E349,2,E349,E349: Unspecified microtherapeutic endoscopic operations on larynx,E34,E34: Microtherapeutic endoscopic operations on larynx,E29-E38,E29-E38: Larynx,E,E: Respiratory Tract,4.2,Live
E352,1,E352,E352: Endoscopic resection of lesion of larynx,E35,E35: Other therapeutic endoscopic operations on larynx,E29-E38,E29-E38: Larynx,E,E: Respiratory Tract,4.2,Live
E355,1,E355,E355: Endoscopic removal of foreign body from larynx,E35,E35: Other therapeutic endoscopic operations on larynx,E29-E38,E29-E38: Larynx,E,E: Respiratory Tract,4.2,Live
E359,5,E359,E359: Unspecified other therapeutic endoscopic operations on larynx,E35,E35: Other therapeutic endoscopic operations on larynx,E29-E38,E29-E38: Larynx,E,E: Respiratory Tract,4.2,Live
E361,15,E361,E361: Diagnostic endoscopic examination of larynx and biopsy of lesion of larynx,E36,E36: Diagnostic endoscopic examination of larynx,E29-E38,E29-E38: Larynx,E,E: Respiratory Tract,4.2,Live
E368,16,E368,E368: Other specified diagnostic endoscopic examination of larynx,E36,E36: Diagnostic endoscopic examination of larynx,E29-E38,E29-E38: Larynx,E,E: Respiratory Tract,4.2,Live
E369,1888,E369,E369: Unspecified diagnostic endoscopic examination of larynx,E36,E36: Diagnostic endoscopic examination of larynx,E29-E38,E29-E38: Larynx,E,E: Respiratory Tract,4.2,Live
G202,1,G202,G202: Fibreoptic endoscopic coagulation of bleeding lesion of oesophagus using haemostatic spray,G20,G20: Therapeutic fibreoptic endoscopic operations on oesophagus,G01-G25,G01-G25: Oesophagus including hiatus hernia,G,G: Upper Digestive System,4.10,Live
G211,2,G211,G211: Intubation of oesophagus for pH manometry,G21,G21: Other operations on oesophagus,G01-G25,G01-G25: Oesophagus including hiatus hernia,G,G: Upper Digestive System,4.2,Live
G212,1,G212,G212: Intubation of oesophagus for pressure manometry,G21,G21: Other operations on oesophagus,G01-G25,G01-G25: Oesophagus including hiatus hernia,G,G: Upper Digestive System,4.2,Live
G214,9,G214,G214: Intubation of oesophagus NEC,G21,G21: Other operations on oesophagus,G01-G25,G01-G25: Oesophagus including hiatus hernia,G,G: Upper Digestive System,4.2,Live
G215,2,G215,G215: Insertion of stent into oesophagus NEC,G21,G21: Other operations on oesophagus,G01-G25,G01-G25: Oesophagus including hiatus hernia,G,G: Upper Digestive System,4.4,Live
G234,2,G234,G234: Repair of diaphragmatic hernia using abdominal approach NEC,G23,G23: Repair of diaphragmatic hernia,G01-G25,G01-G25: Oesophagus including hiatus hernia,G,G: Upper Digestive System,4.2,Live
G243,2,G243,G243: Antireflux fundoplication using abdominal approach,G24,G24: Antireflux operations,G01-G25,G01-G25: Oesophagus including hiatus hernia,G,G: Upper Digestive System,4.2,Live
G511,5,G511,G511: Bypass of duodenum by anastomosis of stomach to jejunum,G51,G51: Bypass of duodenum,G49-G57,G49-G57: Duodenum,G,G: Upper Digestive System,4.2,Live
G513,4,G513,G513: Bypass of duodenum by anastomosis of duodenum to jejunum,G51,G51: Bypass of duodenum,G49-G57,G49-G57: Duodenum,G,G: Upper Digestive System,4.2,Live
G518,1,G518,G518: Other specified bypass of duodenum,G51,G51: Bypass of duodenum,G49-G57,G49-G57: Duodenum,G,G: Upper Digestive System,4.2,Live
G521,4317,G521,G521: Closure of perforated ulcer of duodenum,G52,G52: Operations on ulcer of duodenum,G49-G57,G49-G57: Duodenum,G,G: Upper Digestive System,4.2,Live
G522,256,G522,G522: Suture of ulcer of duodenum NEC,G52,G52: Operations on ulcer of duodenum,G49-G57,G49-G57: Duodenum,G,G: Upper Digestive System,4.2,Live
G523,191,G523,G523: Oversew of blood vessel of duodenal ulcer,G52,G52: Operations on ulcer of duodenum,G49-G57,G49-G57: Duodenum,G,G: Upper Digestive System,4.3,Live
G528,98,G528,G528: Other specified operations on ulcer of duodenum,G52,G52: Operations on ulcer of duodenum,G49-G57,G49-G57: Duodenum,G,G: Upper Digestive System,4.2,Live
G531,3,G531,G531: Open biopsy of lesion of duodenum,G53,G53: Other open operations on duodenum,G49-G57,G49-G57: Duodenum,G,G: Upper Digestive System,4.2,Live
G532,457,G532,G532: Closure of perforation of duodenum NEC,G53,G53: Other open operations on duodenum,G49-G57,G49-G57: Duodenum,G,G: Upper Digestive System,4.2,Live
G534,11,G534,G534: Open insertion of tubal prosthesis into duodenum,G53,G53: Other open operations on duodenum,G49-G57,G49-G57: Duodenum,G,G: Upper Digestive System,4.2,Live
G535,9,G535,G535: Incision of duodenum NEC,G53,G53: Other open operations on duodenum,G49-G57,G49-G57: Duodenum,G,G: Upper Digestive System,4.2,Live
G538,5,G538,G538: Other specified other open operations on duodenum,G53,G53: Other open operations on duodenum,G49-G57,G49-G57: Duodenum,G,G: Upper Digestive System,4.2,Live
G541,5,G541,G541: Endoscopic extirpation of lesion of duodenum,G54,G54: Therapeutic endoscopic operations on duodenum,G49-G57,G49-G57: Duodenum,G,G: Upper Digestive System,4.2,Live
G543,3,G543,G543: Endoscopic insertion of tubal prosthesis into duodenum,G54,G54: Therapeutic endoscopic operations on duodenum,G49-G57,G49-G57: Duodenum,G,G: Upper Digestive System,4.2,Live
G548,27,G548,G548: Other specified therapeutic endoscopic operations on duodenum,G54,G54: Therapeutic endoscopic operations on duodenum,G49-G57,G49-G57: Duodenum,G,G: Upper Digestive System,4.2,Live
G549,1,G549,G549: Unspecified therapeutic endoscopic operations on duodenum,G54,G54: Therapeutic endoscopic operations on duodenum,G49-G57,G49-G57: Duodenum,G,G: Upper Digestive System,4.2,Live
G551,1,G551,G551: Diagnostic endoscopic examination of duodenum and biopsy of lesion of duodenum,G55,G55: Diagnostic endoscopic examination of duodenum,G49-G57,G49-G57: Duodenum,G,G: Upper Digestive System,4.2,Live
G145,1,G145,G145: Fibreoptic endoscopic destruction of lesion of oesophagus NEC,G14,G14: Fibreoptic endoscopic extirpation of lesion of oesophagus,G01-G25,G01-G25: Oesophagus including hiatus hernia,G,G: Upper Digestive System,4.2,Live
G152,4,G152,G152: Fibreoptic endoscopic balloon dilation of oesophagus,G15,G15: Other therapeutic fibreoptic endoscopic operations on oesophagus,G01-G25,G01-G25: Oesophagus including hiatus hernia,G,G: Upper Digestive System,4.2,Live
G153,1,G153,G153: Fibreoptic endoscopic dilation of oesophagus NEC,G15,G15: Other therapeutic fibreoptic endoscopic operations on oesophagus,G01-G25,G01-G25: Oesophagus including hiatus hernia,G,G: Upper Digestive System,4.2,Live
G154,2,G154,G154: Fibreoptic endoscopic insertion of tubal prosthesis into oesophagus,G15,G15: Other therapeutic fibreoptic endoscopic operations on oesophagus,G01-G25,G01-G25: Oesophagus including hiatus hernia,G,G: Upper Digestive System,4.2,Live
G157,2,G157,G157: Fibreoptic endoscopic insertion of expanding covered metal stent into oesophagus,G15,G15: Other therapeutic fibreoptic endoscopic operations on oesophagus,G01-G25,G01-G25: Oesophagus including hiatus hernia,G,G: Upper Digestive System,4.3,Live
G158,1,G158,G158: Other specified other therapeutic fibreoptic endoscopic operations on oesophagus,G15,G15: Other therapeutic fibreoptic endoscopic operations on oesophagus,G01-G25,G01-G25: Oesophagus including hiatus hernia,G,G: Upper Digestive System,4.2,Live
