First_Procedure_Code,eol_broad_count,OPCS_L4_Code,OPCS_L4_Desc,OPCS_L3_Code,OPCS_L3_Desc,OPCS_L2_Code,OPCS_L2_Desc,OPCS_L1_Code,OPCS_L1_Desc,OPCS_Version,OPCS_Status
J608,43,J608,J608: Other specified other open operations on pancreatic duct,J60,J60: Other open operations on pancreatic duct,J54-J68,J54-J68: Pancreas,J,"J: Other Abdominal Organs, Principally Digestive",4.2,Live
J611,70,J611,J611: Open cystogastrotomy of pancreas,J61,J61: Open drainage of lesion of pancreas,J54-J68,J54-J68: Pancreas,J,"J: Other Abdominal Organs, Principally Digestive",4.2,Live
J614,118,J614,J614: Drainage of cyst of pancreas NEC,J61,J61: Open drainage of lesion of pancreas,J54-J68,J54-J68: Pancreas,J,"J: Other Abdominal Organs, Principally Digestive",4.2,Live
J618,23,J618,J618: Other specified open drainage of lesion of pancreas,J61,J61: Open drainage of lesion of pancreas,J54-J68,J54-J68: Pancreas,J,"J: Other Abdominal Organs, Principally Digestive",4.2,Live
J619,1,J619,J619: Unspecified open drainage of lesion of pancreas,J61,J61: Open drainage of lesion of pancreas,J54-J68,J54-J68: Pancreas,J,"J: Other Abdominal Organs, Principally Digestive",4.2,Live
J638,1,J638,J638: Other specified open examination of pancreas,J63,J63: Open examination of pancreas,J54-J68,J54-J68: Pancreas,J,"J: Other Abdominal Organs, Principally Digestive",4.2,Live
J639,1,J639,J639: Unspecified open examination of pancreas,J63,J63: Open examination of pancreas,J54-J68,J54-J68: Pancreas,J,"J: Other Abdominal Organs, Principally Digestive",4.2,Live
J651,71,J651,J651: Open biopsy of lesion of pancreas,J65,J65: Other open operations on pancreas,J54-J68,J54-J68: Pancreas,J,"J: Other Abdominal Organs, Principally Digestive",4.2,Live
J658,23,J658,J658: Other specified other open operations on pancreas,J65,J65: Other open operations on pancreas,J54-J68,J54-J68: Pancreas,J,"J: Other Abdominal Organs, Principally Digestive",4.2,Live
K187,3,K187,K187: Replacement of valved cardiac conduit,K18,K18: Creation of valved cardiac conduit,K01-K24,K01-K24: Wall septum and chambers of heart,K,K: Heart,4.3,Live
K196,1,K196,K196: Revision of cardiac conduit NEC,K19,K19: Creation of other cardiac conduit,K01-K24,K01-K24: Wall septum and chambers of heart,K,K: Heart,4.2,Live
K202,1,K202,K202: Correction of partial anomalous pulmonary venous drainage,K20,K20: Refashioning of atrium,K01-K24,K01-K24: Wall septum and chambers of heart,K,K: Heart,4.2,Live
K208,3,K208,K208: Other specified refashioning of atrium,K20,K20: Refashioning of atrium,K01-K24,K01-K24: Wall septum and chambers of heart,K,K: Heart,4.2,Live
K221,23,K221,K221: Excision of lesion of atrium,K22,K22: Other operations on wall of atrium,K01-K24,K01-K24: Wall septum and chambers of heart,K,K: Heart,4.2,Live
K222,9,K222,K222: Repair of atrium NEC,K22,K22: Other operations on wall of atrium,K01-K24,K01-K24: Wall septum and chambers of heart,K,K: Heart,4.2,Live
K223,11,K223,K223: Exclusion of left atrial appendage NEC,K22,K22: Other operations on wall of atrium,K01-K24,K01-K24: Wall septum and chambers of heart,K,K: Heart,4.7,Live
K231,6,K231,K231: Excision of lesion of wall of heart NEC,K23,K23: Other operations of wall of heart,K01-K24,K01-K24: Wall septum and chambers of heart,K,K: Heart,4.2,Live
K232,40,K232,K232: Biopsy of lesion of wall of heart,K23,K23: Other operations of wall of heart,K01-K24,K01-K24: Wall septum and chambers of heart,K,K: Heart,4.2,Live
K233,5,K233,K233: Repair of wall of heart NEC,K23,K23: Other operations of wall of heart,K01-K24,K01-K24: Wall septum and chambers of heart,K,K: Heart,4.2,Live
K235,1,K235,K235: Partial left ventriculectomy,K23,K23: Other operations of wall of heart,K01-K24,K01-K24: Wall septum and chambers of heart,K,K: Heart,4.3,Live
K238,1,K238,K238: Other specified other operations of wall of heart,K23,K23: Other operations of wall of heart,K01-K24,K01-K24: Wall septum and chambers of heart,K,K: Heart,4.2,Live
K241,2,K241,K241: Relief of right ventricular outflow tract obstruction,K24,K24: Other operations on ventricles of heart,K01-K24,K01-K24: Wall septum and chambers of heart,K,K: Heart,4.3,Live
K243,2,K243,K243: Repair of right ventricular aneurysm,K24,K24: Other operations on ventricles of heart,K01-K24,K01-K24: Wall septum and chambers of heart,K,K: Heart,4.3,Live
K488,1,K488,K488: Other specified other open operations on coronary artery,K48,K48: Other open operations on coronary artery,K40-K51,K40-K51: Coronary artery,K,K: Heart,4.2,Live
K491,2792,K491,K491: Percutaneous transluminal balloon angioplasty of one coronary artery,K49,K49: Transluminal balloon angioplasty of coronary artery,K40-K51,K40-K51: Coronary artery,K,K: Heart,4.2,Live
K492,399,K492,K492: Percutaneous transluminal balloon angioplasty of multiple coronary arteries,K49,K49: Transluminal balloon angioplasty of coronary artery,K40-K51,K40-K51: Coronary artery,K,K: Heart,4.2,Live
K493,41,K493,K493: Percutaneous transluminal balloon angioplasty of bypass graft of coronary artery,K49,K49: Transluminal balloon angioplasty of coronary artery,K40-K51,K40-K51: Coronary artery,K,K: Heart,4.2,Live
K494,87,K494,K494: Percutaneous transluminal cutting balloon angioplasty of coronary artery,K49,K49: Transluminal balloon angioplasty of coronary artery,K40-K51,K40-K51: Coronary artery,K,K: Heart,4.3,Live
K498,33,K498,K498: Other specified transluminal balloon angioplasty of coronary artery,K49,K49: Transluminal balloon angioplasty of coronary artery,K40-K51,K40-K51: Coronary artery,K,K: Heart,4.2,Live
K499,12,K499,K499: Unspecified transluminal balloon angioplasty of coronary artery,K49,K49: Transluminal balloon angioplasty of coronary artery,K40-K51,K40-K51: Coronary artery,K,K: Heart,4.2,Live
K501,5,K501,K501: Percutaneous transluminal laser coronary angioplasty,K50,K50: Other therapeutic transluminal operations on coronary artery,K40-K51,K40-K51: Coronary artery,K,K: Heart,4.2,Live
K502,2,K502,K502: Percutaneous transluminal coronary thrombolysis using streptokinase,K50,K50: Other therapeutic transluminal operations on coronary artery,K40-K51,K40-K51: Coronary artery,K,K: Heart,4.2,Live
K503,14,K503,K503: Percutaneous transluminal injection of therapeutic substance into coronary artery NEC,K50,K50: Other therapeutic transluminal operations on coronary artery,K40-K51,K40-K51: Coronary artery,K,K: Heart,4.2,Live
K504,30,K504,K504: Percutaneous transluminal atherectomy of coronary artery,K50,K50: Other therapeutic transluminal operations on coronary artery,K40-K51,K40-K51: Coronary artery,K,K: Heart,4.3,Live
K508,251,K508,K508: Other specified other therapeutic transluminal operations on coronary artery,K50,K50: Other therapeutic transluminal operations on coronary artery,K40-K51,K40-K51: Coronary artery,K,K: Heart,4.2,Live
K509,4,K509,K509: Unspecified other therapeutic transluminal operations on coronary artery,K50,K50: Other therapeutic transluminal operations on coronary artery,K40-K51,K40-K51: Coronary artery,K,K: Heart,4.2,Live
K512,31,K512,K512: Intravascular ultrasound of coronary artery,K51,K51: Diagnostic transluminal operations on coronary artery,K40-K51,K40-K51: Coronary artery,K,K: Heart,4.3,Live
K518,52,K518,K518: Other specified diagnostic transluminal operations on coronary artery,K51,K51: Diagnostic transluminal operations on coronary artery,K40-K51,K40-K51: Coronary artery,K,K: Heart,4.2,Live
K519,4,K519,K519: Unspecified diagnostic transluminal operations on coronary artery,K51,K51: Diagnostic transluminal operations on coronary artery,K40-K51,K40-K51: Coronary artery,K,K: Heart,4.2,Live
K521,2,K521,K521: Open ablation of atrioventricular node,K52,K52: Open operations on conducting system of heart,K52-K78,K52-K78: Other parts of heart and pericardium,K,K: Heart,4.2,Live
K522,4,K522,K522: Epicardial excision of rhythmogenic focus,K52,K52: Open operations on conducting system of heart,K52-K78,K52-K78: Other parts of heart and pericardium,K,K: Heart,4.2,Live
K523,1,K523,K523: Endocardial excision of rhythmogenic focus,K52,K52: Open operations on conducting system of heart,K52-K78,K52-K78: Other parts of heart and pericardium,K,K: Heart,4.2,Live
K528,5,K528,K528: Other specified open operations on conducting system of heart,K52,K52: Open operations on conducting system of heart,K52-K78,K52-K78: Other parts of heart and pericardium,K,K: Heart,4.2,Live
K531,2,K531,K531: Inspection of valve of heart,K53,K53: Other incision of heart,K52-K78,K52-K78: Other parts of heart and pericardium,K,K: Heart,4.2,Live
K532,2,K532,K532: Exploration of heart NEC,K53,K53: Other incision of heart,K52-K78,K52-K78: Other parts of heart and pericardium,K,K: Heart,4.2,Live
K538,2,K538,K538: Other specified other incision of heart,K53,K53: Other incision of heart,K52-K78,K52-K78: Other parts of heart and pericardium,K,K: Heart,4.2,Live
K541,77,K541,K541: Open implantation of ventricular assist device,K54,K54: Open heart assist operations,K52-K78,K52-K78: Other parts of heart and pericardium,K,K: Heart,4.3,Live
K542,2,K542,K542: Open removal of ventricular assist device,K54,K54: Open heart assist operations,K52-K78,K52-K78: Other parts of heart and pericardium,K,K: Heart,4.3,Live
K548,7,K548,K548: Other specified open heart assist operations,K54,K54: Open heart assist operations,K52-K78,K52-K78: Other parts of heart and pericardium,K,K: Heart,4.3,Live
K552,21,K552,K552: Open chest massage of heart,K55,K55: Other open operations on heart,K52-K78,K52-K78: Other parts of heart and pericardium,K,K: Heart,4.2,Live
K553,1,K553,K553: Open removal of cardiac thrombus,K55,K55: Other open operations on heart,K52-K78,K52-K78: Other parts of heart and pericardium,K,K: Heart,4.3,Live
K554,1,K554,K554: Open removal of cardiac vegetations NEC,K55,K55: Other open operations on heart,K52-K78,K52-K78: Other parts of heart and pericardium,K,K: Heart,4.3,Live
L102,4,L102,L102: Repair of pulmonary artery using patch,L10,L10: Repair of pulmonary artery,L01-L13,L01-L13: Great vessels and pulmonary artery,L,L: Arteries and Veins,4.2,Live
L124,6,L124,L124: Open embolectomy of pulmonary artery,L12,L12: Other open operations on pulmonary artery,L01-L13,L01-L13: Great vessels and pulmonary artery,L,L: Arteries and Veins,4.2,Live
L128,3,L128,L128: Other specified other open operations on pulmonary artery,L12,L12: Other open operations on pulmonary artery,L01-L13,L01-L13: Great vessels and pulmonary artery,L,L: Arteries and Veins,4.2,Live
L131,55,L131,L131: Percutaneous transluminal embolectomy of pulmonary artery,L13,L13: Transluminal operations on pulmonary artery,L01-L13,L01-L13: Great vessels and pulmonary artery,L,L: Arteries and Veins,4.2,Live
L132,37,L132,L132: Percutaneous transluminal embolisation of pulmonary artery,L13,L13: Transluminal operations on pulmonary artery,L01-L13,L01-L13: Great vessels and pulmonary artery,L,L: Arteries and Veins,4.2,Live
L133,102,L133,L133: Arteriography of pulmonary artery,L13,L13: Transluminal operations on pulmonary artery,L01-L13,L01-L13: Great vessels and pulmonary artery,L,L: Arteries and Veins,4.2,Live
L135,5,L135,L135: Percutaneous transluminal balloon angioplasty of pulmonary artery NEC,L13,L13: Transluminal operations on pulmonary artery,L01-L13,L01-L13: Great vessels and pulmonary artery,L,L: Arteries and Veins,4.3,Live
L136,8,L136,L136: Percutaneous transluminal insertion of stent into pulmonary artery,L13,L13: Transluminal operations on pulmonary artery,L01-L13,L01-L13: Great vessels and pulmonary artery,L,L: Arteries and Veins,4.3,Live
L138,10,L138,L138: Other specified transluminal operations on pulmonary artery,L13,L13: Transluminal operations on pulmonary artery,L01-L13,L01-L13: Great vessels and pulmonary artery,L,L: Arteries and Veins,4.2,Live
L161,41,L161,L161: Emergency bypass of aorta by anastomosis of axillary artery to femoral artery,L16,L16: Extra-anatomic bypass of aorta,L16-L28,L16-L28: Aorta,L,L: Arteries and Veins,4.2,Live
L162,61,L162,L162: Bypass of aorta by anastomosis of axillary artery to femoral artery NEC,L16,L16: Extra-anatomic bypass of aorta,L16-L28,L16-L28: Aorta,L,L: Arteries and Veins,4.2,Live
L163,126,L163,L163: Bypass of aorta by anastomosis of axillary artery to bilateral femoral arteries,L16,L16: Extra-anatomic bypass of aorta,L16-L28,L16-L28: Aorta,L,L: Arteries and Veins,4.6,Live
L168,24,L168,L168: Other specified extra-anatomic bypass of aorta,L16,L16: Extra-anatomic bypass of aorta,L16-L28,L16-L28: Aorta,L,L: Arteries and Veins,4.2,Live
L181,266,L181,L181: Emergency replacement of aneurysmal segment of ascending aorta by anastomosis of aorta to aorta,L18,L18: Emergency replacement of aneurysmal segment of aorta,L16-L28,L16-L28: Aorta,L,L: Arteries and Veins,4.2,Live
L182,31,L182,L182: Emergency replacement of aneurysmal segment of thoracic aorta by anastomosis of aorta to aorta NEC,L18,L18: Emergency replacement of aneurysmal segment of aorta,L16-L28,L16-L28: Aorta,L,L: Arteries and Veins,4.2,Live
L183,78,L183,L183: Emergency replacement of aneurysmal segment of suprarenal abdominal aorta by anastomosis of aorta to aorta,L18,L18: Emergency replacement of aneurysmal segment of aorta,L16-L28,L16-L28: Aorta,L,L: Arteries and Veins,4.2,Live
L184,550,L184,L184: Emergency replacement of aneurysmal segment of infrarenal abdominal aorta by anastomosis of aorta to aorta,L18,L18: Emergency replacement of aneurysmal segment of aorta,L16-L28,L16-L28: Aorta,L,L: Arteries and Veins,4.2,Live
L185,126,L185,L185: Emergency replacement of aneurysmal segment of abdominal aorta by anastomosis of aorta to aorta NEC,L18,L18: Emergency replacement of aneurysmal segment of aorta,L16-L28,L16-L28: Aorta,L,L: Arteries and Veins,4.2,Live
L438,1,L438,L438: Other specified transluminal operations on renal artery,L43,L43: Transluminal operations on renal artery,L41-L47,L41-L47: Abdominal branches of aorta,L,L: Arteries and Veins,4.2,Live
L439,2,L439,L439: Unspecified transluminal operations on renal artery,L43,L43: Transluminal operations on renal artery,L41-L47,L41-L47: Abdominal branches of aorta,L,L: Arteries and Veins,4.2,Live
L451,31,L451,L451: Bypass of visceral branch of abdominal aorta NEC,L45,L45: Reconstruction of other visceral branch of abdominal aorta,L41-L47,L41-L47: Abdominal branches of aorta,L,L: Arteries and Veins,4.2,Live
L452,2,L452,L452: Replantation of visceral branch of abdominal aorta NEC,L45,L45: Reconstruction of other visceral branch of abdominal aorta,L41-L47,L41-L47: Abdominal branches of aorta,L,L: Arteries and Veins,4.2,Live
L453,1,L453,L453: Endarterectomy of visceral branch of abdominal aorta and patch repair of visceral branch of abdominal aorta NEC,L45,L45: Reconstruction of other visceral branch of abdominal aorta,L41-L47,L41-L47: Abdominal branches of aorta,L,L: Arteries and Veins,4.2,Live
L461,68,L461,L461: Open embolectomy of visceral branch of abdominal aorta NEC,L46,L46: Other open operations on other visceral branch of abdominal aorta,L41-L47,L41-L47: Abdominal branches of aorta,L,L: Arteries and Veins,4.2,Live
L462,13,L462,L462: Open embolisation of visceral branch of abdominal aorta NEC,L46,L46: Other open operations on other visceral branch of abdominal aorta,L41-L47,L41-L47: Abdominal branches of aorta,L,L: Arteries and Veins,4.2,Live
L463,4,L463,L463: Ligation of visceral branch of abdominal aorta NEC,L46,L46: Other open operations on other visceral branch of abdominal aorta,L41-L47,L41-L47: Abdominal branches of aorta,L,L: Arteries and Veins,4.2,Live
L464,7,L464,L464: Operations on aneurysm of visceral branch of abdominal aorta NEC,L46,L46: Other open operations on other visceral branch of abdominal aorta,L41-L47,L41-L47: Abdominal branches of aorta,L,L: Arteries and Veins,4.2,Live
L468,11,L468,L468: Other specified other open operations on other visceral branch of abdominal aorta,L46,L46: Other open operations on other visceral branch of abdominal aorta,L41-L47,L41-L47: Abdominal branches of aorta,L,L: Arteries and Veins,4.2,Live
L471,31,L471,L471: Percutaneous transluminal angioplasty of visceral branch of abdominal aorta NEC,L47,L47: Transluminal operations on other visceral branch of abdominal aorta,L41-L47,L41-L47: Abdominal branches of aorta,L,L: Arteries and Veins,4.2,Live
L472,448,L472,L472: Percutaneous transluminal embolisation of visceral branch of abdominal aorta NEC,L47,L47: Transluminal operations on other visceral branch of abdominal aorta,L41-L47,L41-L47: Abdominal branches of aorta,L,L: Arteries and Veins,4.2,Live
L473,186,L473,L473: Arteriography of visceral branch of abdominal aorta NEC,L47,L47: Transluminal operations on other visceral branch of abdominal aorta,L41-L47,L41-L47: Abdominal branches of aorta,L,L: Arteries and Veins,4.2,Live
L474,180,L474,L474: Percutaneous transluminal insertion of stent into visceral branch of abdominal aorta NEC,L47,L47: Transluminal operations on other visceral branch of abdominal aorta,L41-L47,L41-L47: Abdominal branches of aorta,L,L: Arteries and Veins,4.3,Live
L478,2,L478,L478: Other specified transluminal operations on other visceral branch of abdominal aorta,L47,L47: Transluminal operations on other visceral branch of abdominal aorta,L41-L47,L41-L47: Abdominal branches of aorta,L,L: Arteries and Veins,4.2,Live
L481,2,L481,L481: Emergency replacement of aneurysmal common iliac artery by anastomosis of aorta to common iliac artery,L48,L48: Emergency replacement of aneurysmal iliac artery,L48-L63,L48-L63: Iliac and femoral arteries,L,L: Arteries and Veins,4.2,Live
L482,4,L482,L482: Emergency replacement of aneurysmal iliac artery by anastomosis of aorta to external iliac artery,L48,L48: Emergency replacement of aneurysmal iliac artery,L48-L63,L48-L63: Iliac and femoral arteries,L,L: Arteries and Veins,4.2,Live
L483,1,L483,L483: Emergency replacement of aneurysmal artery of leg by anastomosis of aorta to common femoral artery,L48,L48: Emergency replacement of aneurysmal iliac artery,L48-L63,L48-L63: Iliac and femoral arteries,L,L: Arteries and Veins,4.2,Live
L484,1,L484,L484: Emergency replacement of aneurysmal artery of leg by anastomosis of aorta to superficial femoral artery,L48,L48: Emergency replacement of aneurysmal iliac artery,L48-L63,L48-L63: Iliac and femoral arteries,L,L: Arteries and Veins,4.2,Live
L485,5,L485,L485: Emergency replacement of aneurysmal iliac artery by anastomosis of iliac artery to iliac artery,L48,L48: Emergency replacement of aneurysmal iliac artery,L48-L63,L48-L63: Iliac and femoral arteries,L,L: Arteries and Veins,4.2,Live
L486,3,L486,L486: Emergency replacement of aneurysmal artery of leg by anastomosis of iliac artery to femoral artery,L48,L48: Emergency replacement of aneurysmal iliac artery,L48-L63,L48-L63: Iliac and femoral arteries,L,L: Arteries and Veins,4.2,Live
L488,2,L488,L488: Other specified emergency replacement of aneurysmal iliac artery,L48,L48: Emergency replacement of aneurysmal iliac artery,L48-L63,L48-L63: Iliac and femoral arteries,L,L: Arteries and Veins,4.2,Live
L489,3,L489,L489: Unspecified emergency replacement of aneurysmal iliac artery,L48,L48: Emergency replacement of aneurysmal iliac artery,L48-L63,L48-L63: Iliac and femoral arteries,L,L: Arteries and Veins,4.2,Live
L491,3,L491,L491: Replacement of aneurysmal common iliac artery by anastomosis of aorta to common iliac artery NEC,L49,L49: Other replacement of aneurysmal iliac artery,L48-L63,L48-L63: Iliac and femoral arteries,L,L: Arteries and Veins,4.2,Live
L492,8,L492,L492: Replacement of aneurysmal iliac artery by anastomosis of aorta to external iliac artery NEC,L49,L49: Other replacement of aneurysmal iliac artery,L48-L63,L48-L63: Iliac and femoral arteries,L,L: Arteries and Veins,4.2,Live
L732,1,L732,L732: Mechanical embolic protection of artery,L73,L73: Mechanical embolic protection of blood vessel,L73-L99,L73-L99: Veins and other blood vessels,L,L: Arteries and Veins,4.4,Live
L741,81,L741,L741: Insertion of arteriovenous prosthesis,L74,L74: Arteriovenous shunt,L73-L99,L73-L99: Veins and other blood vessels,L,L: Arteries and Veins,4.2,Live
L742,3666,L742,L742: Creation of arteriovenous fistula NEC,L74,L74: Arteriovenous shunt,L73-L99,L73-L99: Veins and other blood vessels,L,L: Arteries and Veins,4.2,Live
L743,4794,L743,L743: Attention to arteriovenous shunt,L74,L74: Arteriovenous shunt,L73-L99,L73-L99: Veins and other blood vessels,L,L: Arteries and Veins,4.2,Live
L744,73,L744,L744: Banding of arteriovenous fistula,L74,L74: Arteriovenous shunt,L73-L99,L73-L99: Veins and other blood vessels,L,L: Arteries and Veins,4.3,Live
L745,475,L745,L745: Thrombectomy of arteriovenous fistula,L74,L74: Arteriovenous shunt,L73-L99,L73-L99: Veins and other blood vessels,L,L: Arteries and Veins,4.3,Live
L747,439,L747,L747: Injection of radiocontrast substance into arteriovenous fistula,L74,L74: Arteriovenous shunt,L73-L99,L73-L99: Veins and other blood vessels,L,L: Arteries and Veins,4.7,Live
L748,96,L748,L748: Other specified arteriovenous shunt,L74,L74: Arteriovenous shunt,L73-L99,L73-L99: Veins and other blood vessels,L,L: Arteries and Veins,4.2,Live
L749,3,L749,L749: Unspecified arteriovenous shunt,L74,L74: Arteriovenous shunt,L73-L99,L73-L99: Veins and other blood vessels,L,L: Arteries and Veins,4.2,Live
L751,35,L751,L751: Excision of congenital arteriovenous malformation,L75,L75: Other arteriovenous operations,L73-L99,L73-L99: Veins and other blood vessels,L,L: Arteries and Veins,4.2,Live
L752,180,L752,L752: Repair of acquired arteriovenous fistula,L75,L75: Other arteriovenous operations,L73-L99,L73-L99: Veins and other blood vessels,L,L: Arteries and Veins,4.2,Live
L753,6,L753,L753: Embolisation of arteriovenous abnormality NEC,L75,L75: Other arteriovenous operations,L73-L99,L73-L99: Veins and other blood vessels,L,L: Arteries and Veins,4.2,Live
L754,15,L754,L754: Percutaneous transluminal embolisation of arteriovenous malformation NEC,L75,L75: Other arteriovenous operations,L73-L99,L73-L99: Veins and other blood vessels,L,L: Arteries and Veins,4.3,Live
L755,3,L755,L755: Percutaneous transluminal venous embolisation of arteriovenous malformation,L75,L75: Other arteriovenous operations,L73-L99,L73-L99: Veins and other blood vessels,L,L: Arteries and Veins,4.3,Live
L756,4,L756,L756: Percutaneous transluminal arterial and venous embolisation of arteriovenous malformation,L75,L75: Other arteriovenous operations,L73-L99,L73-L99: Veins and other blood vessels,L,L: Arteries and Veins,4.3,Live
L758,17,L758,L758: Other specified other arteriovenous operations,L75,L75: Other arteriovenous operations,L73-L99,L73-L99: Veins and other blood vessels,L,L: Arteries and Veins,4.2,Live
L765,1,L765,L765: Endovascular placement of three or more metallic stents,L76,L76: Endovascular placement of stent,L73-L99,L73-L99: Veins and other blood vessels,L,L: Arteries and Veins,4.3,Live
L771,1,L771,L771: Creation of portocaval shunt,L77,L77: Connection of vena cava or branch of vena cava,L73-L99,L73-L99: Veins and other blood vessels,L,L: Arteries and Veins,4.2,Live
L772,1,L772,L772: Creation of mesocaval shunt,L77,L77: Connection of vena cava or branch of vena cava,L73-L99,L73-L99: Veins and other blood vessels,L,L: Arteries and Veins,4.2,Live
L773,2,L773,L773: Creation of portosystemic shunt NEC,L77,L77: Connection of vena cava or branch of vena cava,L73-L99,L73-L99: Veins and other blood vessels,L,L: Arteries and Veins,4.2,Live
L774,1,L774,L774: Creation of distal splenorenal shunt,L77,L77: Connection of vena cava or branch of vena cava,L73-L99,L73-L99: Veins and other blood vessels,L,L: Arteries and Veins,4.2,Live
L779,2,L779,L779: Unspecified connection of vena cava or branch of vena cava,L77,L77: Connection of vena cava or branch of vena cava,L73-L99,L73-L99: Veins and other blood vessels,L,L: Arteries and Veins,4.2,Live
L791,928,L791,L791: Insertion of filter into vena cava,L79,L79: Other operations on vena cava,L73-L99,L73-L99: Veins and other blood vessels,L,L: Arteries and Veins,4.2,Live
L793,862,L793,L793: Insertion of stent into vena cava NEC,L79,L79: Other operations on vena cava,L73-L99,L73-L99: Veins and other blood vessels,L,L: Arteries and Veins,4.3,Live
M061,2,M061,M061: Open removal of calculus from kidney,M06,M06: Incision of kidney,M01-M17,M01-M17: Kidney,M,M: Urinary,4.2,Live
M062,1667,M062,M062: Drainage of kidney NEC,M06,M06: Incision of kidney,M01-M17,M01-M17: Kidney,M,M: Urinary,4.2,Live
M063,35,M063,M063: Closure of nephrostomy,M06,M06: Incision of kidney,M01-M17,M01-M17: Kidney,M,M: Urinary,4.2,Live
M064,2,M064,M064: Code retired - refer to introduction,M06,M06: Incision of kidney,M01-M17,M01-M17: Kidney,M,M: Urinary,4.3,Live
M068,68,M068,M068: Other specified incision of kidney,M06,M06: Incision of kidney,M01-M17,M01-M17: Kidney,M,M: Urinary,4.2,Live
M069,23,M069,M069: Unspecified incision of kidney,M06,M06: Incision of kidney,M01-M17,M01-M17: Kidney,M,M: Urinary,4.2,Live
M071,297,M071,M071: Ureteroscopic laser fragmentation of calculus of kidney,M07,M07: Therapeutic ureteroscopic operations on kidney,M01-M17,M01-M17: Kidney,M,M: Urinary,4.9,Live
M072,22,M072,M072: Ureteroscopic extraction of calculus of kidney NEC,M07,M07: Therapeutic ureteroscopic operations on kidney,M01-M17,M01-M17: Kidney,M,M: Urinary,4.9,Live
M078,23,M078,M078: Other specified therapeutic ureteroscopic operations on kidney,M07,M07: Therapeutic ureteroscopic operations on kidney,M01-M17,M01-M17: Kidney,M,M: Urinary,4.9,Live
M081,34,M081,M081: Open biopsy of lesion of kidney,M08,M08: Other open operations on kidney,M01-M17,M01-M17: Kidney,M,M: Urinary,4.2,Live
M083,1,M083,M083: Exploration of kidney,M08,M08: Other open operations on kidney,M01-M17,M01-M17: Kidney,M,M: Urinary,4.2,Live
M084,1,M084,M084: Exploration of transplanted kidney,M08,M08: Other open operations on kidney,M01-M17,M01-M17: Kidney,M,M: Urinary,4.2,Live
M088,7,M088,M088: Other specified other open operations on kidney,M08,M08: Other open operations on kidney,M01-M17,M01-M17: Kidney,M,M: Urinary,4.2,Live
M091,29,M091,M091: Endoscopic ultrasound fragmentation of calculus of kidney,M09,M09: Therapeutic endoscopic operations on calculus of kidney,M01-M17,M01-M17: Kidney,M,M: Urinary,4.2,Live
M092,4,M092,M092: Endoscopic electrohydraulic shockwave fragmentation of calculus of kidney,M09,M09: Therapeutic endoscopic operations on calculus of kidney,M01-M17,M01-M17: Kidney,M,M: Urinary,4.2,Live
M093,388,M093,M093: Endoscopic laser fragmentation of calculus of kidney,M09,M09: Therapeutic endoscopic operations on calculus of kidney,M01-M17,M01-M17: Kidney,M,M: Urinary,4.2,Live
M094,122,M094,M094: Endoscopic extraction of calculus of kidney NEC,M09,M09: Therapeutic endoscopic operations on calculus of kidney,M01-M17,M01-M17: Kidney,M,M: Urinary,4.2,Live
M098,7,M098,M098: Other specified therapeutic endoscopic operations on calculus of kidney,M09,M09: Therapeutic endoscopic operations on calculus of kidney,M01-M17,M01-M17: Kidney,M,M: Urinary,4.2,Live
M101,74,M101,M101: Endoscopic extirpation of lesion of kidney NEC,M10,M10: Other therapeutic endoscopic operations on kidney,M01-M17,M01-M17: Kidney,M,M: Urinary,4.2,Live
M102,2,M102,M102: Endoscopic pyeloplasty,M10,M10: Other therapeutic endoscopic operations on kidney,M01-M17,M01-M17: Kidney,M,M: Urinary,4.2,Live
M104,14,M104,M104: Endoscopic cryoablation of lesion of kidney,M10,M10: Other therapeutic endoscopic operations on kidney,M01-M17,M01-M17: Kidney,M,M: Urinary,4.3,Live
M108,31,M108,M108: Other specified other therapeutic endoscopic operations on kidney,M10,M10: Other therapeutic endoscopic operations on kidney,M01-M17,M01-M17: Kidney,M,M: Urinary,4.2,Live
M111,144,M111,M111: Diagnostic endoscopic examination of kidney and biopsy of lesion of kidney NEC,M11,M11: Diagnostic endoscopic examination of kidney,M01-M17,M01-M17: Kidney,M,M: Urinary,4.2,Live
M112,66,M112,M112: Diagnostic endoscopic retrograde examination of kidney and biopsy of lesion of kidney,M11,M11: Diagnostic endoscopic examination of kidney,M01-M17,M01-M17: Kidney,M,M: Urinary,4.4,Live
M113,74,M113,M113: Diagnostic endoscopic retrograde examination of kidney NEC,M11,M11: Diagnostic endoscopic examination of kidney,M01-M17,M01-M17: Kidney,M,M: Urinary,4.4,Live
M118,6,M118,M118: Other specified diagnostic endoscopic examination of kidney,M11,M11: Diagnostic endoscopic examination of kidney,M01-M17,M01-M17: Kidney,M,M: Urinary,4.2,Live
M119,12,M119,M119: Unspecified diagnostic endoscopic examination of kidney,M11,M11: Diagnostic endoscopic examination of kidney,M01-M17,M01-M17: Kidney,M,M: Urinary,4.2,Live
M121,1,M121,M121: Percutaneous pyeloureterodynamics,M12,M12: Percutaneous studies of upper urinary tract,M01-M17,M01-M17: Kidney,M,M: Urinary,4.3,Live
M131,5513,M131,M131: Percutaneous needle biopsy of lesion of kidney,M13,M13: Percutaneous puncture of kidney,M01-M17,M01-M17: Kidney,M,M: Urinary,4.2,Live
