First_Procedure_Code,frail_count,OPCS_L4_Code,OPCS_L4_Desc,OPCS_L3_Code,OPCS_L3_Desc,OPCS_L2_Code,OPCS_L2_Desc,OPCS_L1_Code,OPCS_L1_Desc,OPCS_Version,OPCS_Status
J314,2,J314,J314: Open removal of tubal prosthesis from bile duct,J31,J31: Open introduction of prosthesis into bile duct,"J27-J53, J76","J27-J53, J76: Bile duct",J,"J: Other Abdominal Organs, Principally Digestive",4.2,Live
J318,1,J318,J318: Other specified open introduction of prosthesis into bile duct,J31,J31: Open introduction of prosthesis into bile duct,"J27-J53, J76","J27-J53, J76: Bile duct",J,"J: Other Abdominal Organs, Principally Digestive",4.2,Live
J319,1,J319,J319: Unspecified open introduction of prosthesis into bile duct,J31,J31: Open introduction of prosthesis into bile duct,"J27-J53, J76","J27-J53, J76: Bile duct",J,"J: Other Abdominal Organs, Principally Digestive",4.2,Live
J328,2,J328,J328: Other specified repair of bile duct,J32,J32: Repair of bile duct,"J27-J53, J76","J27-J53, J76: Bile duct",J,"J: Other Abdominal Organs, Principally Digestive",4.2,Live
J331,4,J331,J331: Open removal of calculus from bile duct and drainage of bile duct,J33,J33: Incision of bile duct,"J27-J53, J76","J27-J53, J76: Bile duct",J,"J: Other Abdominal Organs, Principally Digestive",4.2,Live
J333,19,J333,J333: Drainage of bile duct NEC,J33,J33: Incision of bile duct,"J27-J53, J76","J27-J53, J76: Bile duct",J,"J: Other Abdominal Organs, Principally Digestive",4.2,Live
J342,7,J342,J342: Sphincteroplasty of bile duct using duodenal approach NEC,J34,J34: Plastic repair of sphincter of Oddi using duodenal approach,"J27-J53, J76","J27-J53, J76: Bile duct",J,"J: Other Abdominal Organs, Principally Digestive",4.2,Live
J661,1,J661,J661: Percutaneous drainage of lesion of pancreas and insertion of cystogastrostomy tube NEC,J66,J66: Therapeutic percutaneous operations on pancreas,J54-J68,J54-J68: Pancreas,J,"J: Other Abdominal Organs, Principally Digestive",4.2,Live
J662,6,J662,J662: Percutaneous drainage of lesion of pancreas and insertion of temporary external drain HFQ,J66,J66: Therapeutic percutaneous operations on pancreas,J54-J68,J54-J68: Pancreas,J,"J: Other Abdominal Organs, Principally Digestive",4.2,Live
J664,1,J664,J664: Percutaneous aspiration of lesion of pancreas,J66,J66: Therapeutic percutaneous operations on pancreas,J54-J68,J54-J68: Pancreas,J,"J: Other Abdominal Organs, Principally Digestive",4.2,Live
J671,1,J671,J671: Diagnostic percutaneous aspiration of lesion of pancreas,J67,J67: Diagnostic percutaneous operations on pancreas,J54-J68,J54-J68: Pancreas,J,"J: Other Abdominal Organs, Principally Digestive",4.2,Live
J673,2,J673,J673: Percutaneous biopsy of lesion of pancreas,J67,J67: Diagnostic percutaneous operations on pancreas,J54-J68,J54-J68: Pancreas,J,"J: Other Abdominal Organs, Principally Digestive",4.3,Live
J678,1,J678,J678: Other specified diagnostic percutaneous operations on pancreas,J67,J67: Diagnostic percutaneous operations on pancreas,J54-J68,J54-J68: Pancreas,J,"J: Other Abdominal Organs, Principally Digestive",4.2,Live
J692,4,J692,J692: Total splenectomy,J69,J69: Total excision of spleen,J69-J72,J69-J72: Spleen,J,"J: Other Abdominal Organs, Principally Digestive",4.2,Live
J699,3,J699,J699: Unspecified total excision of spleen,J69,J69: Total excision of spleen,J69-J72,J69-J72: Spleen,J,"J: Other Abdominal Organs, Principally Digestive",4.2,Live
J701,1,J701,J701: Partial splenectomy,J70,J70: Other excision of spleen,J69-J72,J69-J72: Spleen,J,"J: Other Abdominal Organs, Principally Digestive",4.2,Live
J702,1,J702,J702: Marsupialisation of lesion of spleen,J70,J70: Other excision of spleen,J69-J72,J69-J72: Spleen,J,"J: Other Abdominal Organs, Principally Digestive",4.2,Live
J722,23,J722,J722: Embolisation of spleen,J72,J72: Other operations on spleen,J69-J72,J69-J72: Spleen,J,"J: Other Abdominal Organs, Principally Digestive",4.2,Live
J723,11,J723,J723: Biopsy of lesion of spleen,J72,J72: Other operations on spleen,J69-J72,J69-J72: Spleen,J,"J: Other Abdominal Organs, Principally Digestive",4.2,Live
J728,8,J728,J728: Other specified other operations on spleen,J72,J72: Other operations on spleen,J69-J72,J69-J72: Spleen,J,"J: Other Abdominal Organs, Principally Digestive",4.2,Live
J741,24,J741,J741: Endoscopic ultrasound examination of pancreas and biopsy of lesion of pancreas,J74,J74: Endoscopic ultrasound examination of pancreas,J73-J74,J73-J74: Pancreas,J,"J: Other Abdominal Organs, Principally Digestive",4.3,Live
J748,4,J748,J748: Other specified endoscopic ultrasound examination of pancreas,J74,J74: Endoscopic ultrasound examination of pancreas,J73-J74,J73-J74: Pancreas,J,"J: Other Abdominal Organs, Principally Digestive",4.3,Live
J749,19,J749,J749: Unspecified endoscopic ultrasound examination of pancreas,J74,J74: Endoscopic ultrasound examination of pancreas,J73-J74,J73-J74: Pancreas,J,"J: Other Abdominal Organs, Principally Digestive",4.3,Live
J761,3,J761,J761: Percutaneous transhepatic removal of calculus from bile duct,J76,J76: Therapeutic percutaneous operations on bile duct,"J27-J53, J76","J27-J53, J76: Bile duct",J,"J: Other Abdominal Organs, Principally Digestive",4.4,Live
K302,1,K302,K302: Revision of plastic repair of aortic valve,K30,K30: Revision of plastic repair of valve of heart,K25-K38,K25-K38: Valves of heart and adjacent structures,K,K: Heart,4.2,Live
K334,1,K334,K334: Aortic root replacement using mechanical prosthesis,K33,K33: Operations on aortic root,K25-K38,K25-K38: Valves of heart and adjacent structures,K,K: Heart,4.3,Live
K624,1,K624,K624: Percutaneous transluminal internal cardioversion NEC,K62,K62: Therapeutic transluminal operations on heart,K52-K78,K52-K78: Other parts of heart and pericardium,K,K: Heart,4.4,Live
K625,2,K625,K625: Percutaneous transluminal occlusion of left atrial appendage,K62,K62: Therapeutic transluminal operations on heart,K52-K78,K52-K78: Other parts of heart and pericardium,K,K: Heart,4.7,Live
K631,32,K631,K631: Angiocardiography of combination of right and left side of heart,K63,K63: Contrast radiology of heart,K52-K78,K52-K78: Other parts of heart and pericardium,K,K: Heart,4.2,Live
K632,10,K632,K632: Angiocardiography of right side of heart NEC,K63,K63: Contrast radiology of heart,K52-K78,K52-K78: Other parts of heart and pericardium,K,K: Heart,4.2,Live
K633,178,K633,K633: Angiocardiography of left side of heart NEC,K63,K63: Contrast radiology of heart,K52-K78,K52-K78: Other parts of heart and pericardium,K,K: Heart,4.2,Live
K634,1004,K634,K634: Coronary arteriography using two catheters,K63,K63: Contrast radiology of heart,K52-K78,K52-K78: Other parts of heart and pericardium,K,K: Heart,4.2,Live
K635,151,K635,K635: Coronary arteriography using single catheter,K63,K63: Contrast radiology of heart,K52-K78,K52-K78: Other parts of heart and pericardium,K,K: Heart,4.2,Live
K636,367,K636,K636: Coronary arteriography NEC,K63,K63: Contrast radiology of heart,K52-K78,K52-K78: Other parts of heart and pericardium,K,K: Heart,4.2,Live
K639,5,K639,K639: Unspecified contrast radiology of heart,K63,K63: Contrast radiology of heart,K52-K78,K52-K78: Other parts of heart and pericardium,K,K: Heart,4.2,Live
K651,2,K651,K651: Catheterisation of combination of right and left side of heart NEC,K65,K65: Catheterisation of heart,K52-K78,K52-K78: Other parts of heart and pericardium,K,K: Heart,4.2,Live
K652,14,K652,K652: Catheterisation of right side of heart NEC,K65,K65: Catheterisation of heart,K52-K78,K52-K78: Other parts of heart and pericardium,K,K: Heart,4.2,Live
K653,4,K653,K653: Catheterisation of left side of heart NEC,K65,K65: Catheterisation of heart,K52-K78,K52-K78: Other parts of heart and pericardium,K,K: Heart,4.2,Live
L262,2,L262,L262: Percutaneous transluminal angioplasty of aorta NEC,L26,L26: Transluminal operations on aorta,L16-L28,L16-L28: Aorta,L,L: Arteries and Veins,4.2,Live
L264,74,L264,L264: Aortography,L26,L26: Transluminal operations on aorta,L16-L28,L16-L28: Aorta,L,L: Arteries and Veins,4.2,Live
L265,1,L265,L265: Percutaneous transluminal insertion of stent into aorta,L26,L26: Transluminal operations on aorta,L16-L28,L16-L28: Aorta,L,L: Arteries and Veins,4.3,Live
L268,2,L268,L268: Other specified transluminal operations on aorta,L26,L26: Transluminal operations on aorta,L16-L28,L16-L28: Aorta,L,L: Arteries and Veins,4.2,Live
L269,1,L269,L269: Unspecified transluminal operations on aorta,L26,L26: Transluminal operations on aorta,L16-L28,L16-L28: Aorta,L,L: Arteries and Veins,4.2,Live
L271,15,L271,L271: Endovascular insertion of stent graft for infrarenal abdominal aortic aneurysm,L27,L27: Transluminal insertion of stent graft for aneurysmal segment of aorta,L16-L28,L16-L28: Aorta,L,L: Arteries and Veins,4.4,Live
L272,1,L272,L272: Endovascular insertion of stent graft for suprarenal aortic aneurysm,L27,L27: Transluminal insertion of stent graft for aneurysmal segment of aorta,L16-L28,L16-L28: Aorta,L,L: Arteries and Veins,4.4,Live
L273,3,L273,L273: Endovascular insertion of stent graft for thoracic aortic aneurysm,L27,L27: Transluminal insertion of stent graft for aneurysmal segment of aorta,L16-L28,L16-L28: Aorta,L,L: Arteries and Veins,4.4,Live
L274,2,L274,L274: Endovascular insertion of stent graft for aortic dissection in any position,L27,L27: Transluminal insertion of stent graft for aneurysmal segment of aorta,L16-L28,L16-L28: Aorta,L,L: Arteries and Veins,4.4,Live
L276,1,L276,L276: Endovascular insertion of stent graft for aorto-uni-iliac aneurysm,L27,L27: Transluminal insertion of stent graft for aneurysmal segment of aorta,L16-L28,L16-L28: Aorta,L,L: Arteries and Veins,4.4,Live
L278,4,L278,L278: Other specified transluminal insertion of stent graft for aneurysmal segment of aorta,L27,L27: Transluminal insertion of stent graft for aneurysmal segment of aorta,L16-L28,L16-L28: Aorta,L,L: Arteries and Veins,4.4,Live
L289,1,L289,L289: Unspecified transluminal operations on aneurysmal segment of aorta,L28,L28: Transluminal operations on aneurysmal segment of aorta,L16-L28,L16-L28: Aorta,L,L: Arteries and Veins,4.3,Live
L291,1,L291,L291: Replacement of carotid artery using graft,L29,L29: Reconstruction of carotid artery,L29-L39,L29-L39: Carotid cerebral and subclavian arteries,L,L: Arteries and Veins,4.2,Live
L293,3,L293,L293: Bypass to carotid artery NEC,L29,L29: Reconstruction of carotid artery,L29-L39,L29-L39: Carotid cerebral and subclavian arteries,L,L: Arteries and Veins,4.2,Live
L294,756,L294,L294: Endarterectomy of carotid artery and patch repair of carotid artery,L29,L29: Reconstruction of carotid artery,L29-L39,L29-L39: Carotid cerebral and subclavian arteries,L,L: Arteries and Veins,4.2,Live
L295,118,L295,L295: Endarterectomy of carotid artery NEC,L29,L29: Reconstruction of carotid artery,L29-L39,L29-L39: Carotid cerebral and subclavian arteries,L,L: Arteries and Veins,4.2,Live
L595,13,L595,L595: Bypass of femoral artery by anastomosis of femoral artery to tibial artery using vein graft NEC,L59,L59: Other bypass of femoral artery,L48-L63,L48-L63: Iliac and femoral arteries,L,L: Arteries and Veins,4.2,Live
L596,1,L596,L596: Bypass of femoral artery by anastomosis of femoral artery to peroneal artery using prosthesis NEC,L59,L59: Other bypass of femoral artery,L48-L63,L48-L63: Iliac and femoral arteries,L,L: Arteries and Veins,4.2,Live
L597,3,L597,L597: Bypass of femoral artery by anastomosis of femoral artery to peroneal artery using vein graft NEC,L59,L59: Other bypass of femoral artery,L48-L63,L48-L63: Iliac and femoral arteries,L,L: Arteries and Veins,4.2,Live
L598,5,L598,L598: Other specified other bypass of femoral artery,L59,L59: Other bypass of femoral artery,L48-L63,L48-L63: Iliac and femoral arteries,L,L: Arteries and Veins,4.2,Live
L601,50,L601,L601: Endarterectomy of femoral artery and patch repair of femoral artery,L60,L60: Reconstruction of femoral artery,L48-L63,L48-L63: Iliac and femoral arteries,L,L: Arteries and Veins,4.2,Live
L602,7,L602,L602: Endarterectomy of femoral artery NEC,L60,L60: Reconstruction of femoral artery,L48-L63,L48-L63: Iliac and femoral arteries,L,L: Arteries and Veins,4.2,Live
L603,2,L603,L603: Profundoplasty of femoral artery and patch repair of deep femoral artery,L60,L60: Reconstruction of femoral artery,L48-L63,L48-L63: Iliac and femoral arteries,L,L: Arteries and Veins,4.2,Live
L608,1,L608,L608: Other specified reconstruction of femoral artery,L60,L60: Reconstruction of femoral artery,L48-L63,L48-L63: Iliac and femoral arteries,L,L: Arteries and Veins,4.2,Live
L621,5,L621,L621: Repair of femoral artery NEC,L62,L62: Other open operations on femoral artery,L48-L63,L48-L63: Iliac and femoral arteries,L,L: Arteries and Veins,4.2,Live
L622,15,L622,L622: Open embolectomy of femoral artery,L62,L62: Other open operations on femoral artery,L48-L63,L48-L63: Iliac and femoral arteries,L,L: Arteries and Veins,4.2,Live
L624,6,L624,L624: Operations on aneurysm of femoral artery NEC,L62,L62: Other open operations on femoral artery,L48-L63,L48-L63: Iliac and femoral arteries,L,L: Arteries and Veins,4.2,Live
L628,1,L628,L628: Other specified other open operations on femoral artery,L62,L62: Other open operations on femoral artery,L48-L63,L48-L63: Iliac and femoral arteries,L,L: Arteries and Veins,4.2,Live
L631,539,L631,L631: Percutaneous transluminal angioplasty of femoral artery,L63,L63: Transluminal operations on femoral artery,L48-L63,L48-L63: Iliac and femoral arteries,L,L: Arteries and Veins,4.2,Live
L632,12,L632,L632: Percutaneous transluminal embolectomy of femoral artery,L63,L63: Transluminal operations on femoral artery,L48-L63,L48-L63: Iliac and femoral arteries,L,L: Arteries and Veins,4.2,Live
L633,28,L633,L633: Percutaneous transluminal embolisation of femoral artery,L63,L63: Transluminal operations on femoral artery,L48-L63,L48-L63: Iliac and femoral arteries,L,L: Arteries and Veins,4.2,Live
L634,146,L634,L634: Arteriography of femoral artery,L63,L63: Transluminal operations on femoral artery,L48-L63,L48-L63: Iliac and femoral arteries,L,L: Arteries and Veins,4.2,Live
L635,72,L635,L635: Percutaneous transluminal insertion of stent into femoral artery,L63,L63: Transluminal operations on femoral artery,L48-L63,L48-L63: Iliac and femoral arteries,L,L: Arteries and Veins,4.3,Live
L638,6,L638,L638: Other specified transluminal operations on femoral artery,L63,L63: Transluminal operations on femoral artery,L48-L63,L48-L63: Iliac and femoral arteries,L,L: Arteries and Veins,4.2,Live
L639,1,L639,L639: Unspecified transluminal operations on femoral artery,L63,L63: Transluminal operations on femoral artery,L48-L63,L48-L63: Iliac and femoral arteries,L,L: Arteries and Veins,4.2,Live
L661,2,L661,L661: Percutaneous transluminal arterial thrombolysis and reconstruction,L66,L66: Other therapeutic transluminal operations on artery,L65-L72,L65-L72: Other arteries,L,L: Arteries and Veins,4.3,Live
L663,2,L663,L663: Percutaneous transluminal occlusion of artery,L66,L66: Other therapeutic transluminal operations on artery,L65-L72,L65-L72: Other arteries,L,L: Arteries and Veins,4.3,Live
L665,84,L665,L665: Percutaneous transluminal balloon angioplasty of artery,L66,L66: Other therapeutic transluminal operations on artery,L65-L72,L65-L72: Other arteries,L,L: Arteries and Veins,4.3,Live
L667,5,L667,L667: Percutaneous transluminal placement of peripheral stent in artery,L66,L66: Other therapeutic transluminal operations on artery,L65-L72,L65-L72: Other arteries,L,L: Arteries and Veins,4.3,Live
L986,1,L986,L986: Placement of Doppler ultrasound probe into microvascular vessel anastomosis,L98,L98: Operations on microvascular vessel,L73-L99,L73-L99: Veins and other blood vessels,L,L: Arteries and Veins,4.5,Live
L988,1,L988,L988: Other specified operations on microvascular vessel,L98,L98: Operations on microvascular vessel,L73-L99,L73-L99: Veins and other blood vessels,L,L: Arteries and Veins,4.3,Live
L992,2,L992,L992: Percutaneous transluminal stent reconstruction of vein,L99,L99: Other therapeutic transluminal operations on vein,L73-L99,L73-L99: Veins and other blood vessels,L,L: Arteries and Veins,4.3,Live
L994,43,L994,L994: Percutaneous transluminal venous thrombolysis NEC,L99,L99: Other therapeutic transluminal operations on vein,L73-L99,L73-L99: Veins and other blood vessels,L,L: Arteries and Veins,4.3,Live
L995,2,L995,L995: Percutaneous transluminal occlusion of vein NEC,L99,L99: Other therapeutic transluminal operations on vein,L73-L99,L73-L99: Veins and other blood vessels,L,L: Arteries and Veins,4.3,Live
L996,1,L996,L996: Percutaneous transluminal balloon test occlusion of vein,L99,L99: Other therapeutic transluminal operations on vein,L73-L99,L73-L99: Veins and other blood vessels,L,L: Arteries and Veins,4.3,Live
L997,7750,L997,L997: Percutaneous transluminal peripheral insertion of central catheter,L99,L99: Other therapeutic transluminal operations on vein,L73-L99,L73-L99: Veins and other blood vessels,L,L: Arteries and Veins,4.3,Live
L998,1,L998,L998: Other specified other therapeutic transluminal operations on vein,L99,L99: Other therapeutic transluminal operations on vein,L73-L99,L73-L99: Veins and other blood vessels,L,L: Arteries and Veins,4.3,Live
M011,1,M011,M011: Autotransplantation of kidney,M01,M01: Transplantation of kidney,M01-M17,M01-M17: Kidney,M,M: Urinary,4.2,Live
M012,40,M012,M012: Allotransplantation of kidney from live donor,M01,M01: Transplantation of kidney,M01-M17,M01-M17: Kidney,M,M: Urinary,4.2,Live
M013,241,M013,M013: Allotransplantation of kidney from cadaver NEC,M01,M01: Transplantation of kidney,M01-M17,M01-M17: Kidney,M,M: Urinary,4.2,Live
M014,996,M014,M014: Allotransplantation of kidney from cadaver heart beating,M01,M01: Transplantation of kidney,M01-M17,M01-M17: Kidney,M,M: Urinary,4.3,Live
M015,970,M015,M015: Allotransplantation of kidney from cadaver heart non-beating,M01,M01: Transplantation of kidney,M01-M17,M01-M17: Kidney,M,M: Urinary,4.3,Live
M018,2,M018,M018: Other specified transplantation of kidney,M01,M01: Transplantation of kidney,M01-M17,M01-M17: Kidney,M,M: Urinary,4.2,Live
M019,2,M019,M019: Unspecified transplantation of kidney,M01,M01: Transplantation of kidney,M01-M17,M01-M17: Kidney,M,M: Urinary,4.2,Live
M021,5,M021,M021: Nephrectomy and excision of perirenal tissue,M02,M02: Total excision of kidney,M01-M17,M01-M17: Kidney,M,M: Urinary,4.2,Live
M022,3,M022,M022: Nephroureterectomy NEC,M02,M02: Total excision of kidney,M01-M17,M01-M17: Kidney,M,M: Urinary,4.2,Live
M023,3,M023,M023: Bilateral nephrectomy,M02,M02: Total excision of kidney,M01-M17,M01-M17: Kidney,M,M: Urinary,4.2,Live
M025,19,M025,M025: Nephrectomy NEC,M02,M02: Total excision of kidney,M01-M17,M01-M17: Kidney,M,M: Urinary,4.2,Live
M027,1,M027,M027: Excision of transplanted kidney NEC,M02,M02: Total excision of kidney,M01-M17,M01-M17: Kidney,M,M: Urinary,4.7,Live
M029,1,M029,M029: Unspecified total excision of kidney,M02,M02: Total excision of kidney,M01-M17,M01-M17: Kidney,M,M: Urinary,4.2,Live
M039,1,M039,M039: Unspecified partial excision of kidney,M03,M03: Partial excision of kidney,M01-M17,M01-M17: Kidney,M,M: Urinary,4.2,Live
M048,1,M048,M048: Other specified open extirpation of lesion of kidney,M04,M04: Open extirpation of lesion of kidney,M01-M17,M01-M17: Kidney,M,M: Urinary,4.2,Live
M051,1,M051,M051: Open pyeloplasty,M05,M05: Open repair of kidney,M01-M17,M01-M17: Kidney,M,M: Urinary,4.2,Live
M455,319,M455,M455: Diagnostic endoscopic examination of bladder using rigid cystoscope,M45,M45: Diagnostic endoscopic examination of bladder,M34-M49,M34-M49: Bladder,M,M: Urinary,4.3,Live
M458,45,M458,M458: Other specified diagnostic endoscopic examination of bladder,M45,M45: Diagnostic endoscopic examination of bladder,M34-M49,M34-M49: Bladder,M,M: Urinary,4.2,Live
M459,3615,M459,M459: Unspecified diagnostic endoscopic examination of bladder,M45,M45: Diagnostic endoscopic examination of bladder,M34-M49,M34-M49: Bladder,M,M: Urinary,4.2,Live
M471,43059,M471,M471: Urethral irrigation of bladder,M47,M47: Urethral catheterisation of bladder,M34-M49,M34-M49: Bladder,M,M: Urinary,4.2,Live
M472,54862,M472,M472: Change of urethral catheter into bladder,M47,M47: Urethral catheterisation of bladder,M34-M49,M34-M49: Bladder,M,M: Urinary,4.2,Live
M473,23147,M473,M473: Removal of urethral catheter from bladder,M47,M47: Urethral catheterisation of bladder,M34-M49,M34-M49: Bladder,M,M: Urinary,4.2,Live
M474,24,M474,M474: Urodynamic studies using catheter,M47,M47: Urethral catheterisation of bladder,M34-M49,M34-M49: Bladder,M,M: Urinary,4.3,Live
M475,7530,M475,M475: Maintenance of urethral catheter in bladder,M47,M47: Urethral catheterisation of bladder,M34-M49,M34-M49: Bladder,M,M: Urinary,4.4,Live
M478,791,M478,M478: Other specified urethral catheterisation of bladder,M47,M47: Urethral catheterisation of bladder,M34-M49,M34-M49: Bladder,M,M: Urinary,4.2,Live
M479,269923,M479,M479: Unspecified urethral catheterisation of bladder,M47,M47: Urethral catheterisation of bladder,M34-M49,M34-M49: Bladder,M,M: Urinary,4.2,Live
M481,264,M481,M481: Suprapubic aspiration of bladder,M48,M48: Operations on bladder,M34-M49,M34-M49: Bladder,M,M: Urinary,4.4,Live
M482,5,M482,M482: Urodynamic studies using suprapubic tube,M48,M48: Operations on bladder,M34-M49,M34-M49: Bladder,M,M: Urinary,4.7,Live
M491,13,M491,M491: Closure of cystostomy,M49,M49: Other operations on bladder,M34-M49,M34-M49: Bladder,M,M: Urinary,4.2,Live
M492,6160,M492,M492: Change of suprapubic tube into bladder,M49,M49: Other operations on bladder,M34-M49,M34-M49: Bladder,M,M: Urinary,4.2,Live
M493,181,M493,M493: Removal of suprapubic tube from bladder,M49,M49: Other operations on bladder,M34-M49,M34-M49: Bladder,M,M: Urinary,4.2,Live
M494,34,M494,M494: Introduction of therapeutic substance into bladder,M49,M49: Other operations on bladder,M34-M49,M34-M49: Bladder,M,M: Urinary,4.2,Live
M495,4,M495,M495: Injection of therapeutic substance into bladder wall,M49,M49: Other operations on bladder,M34-M49,M34-M49: Bladder,M,M: Urinary,4.3,Live
M496,40,M496,M496: Micturating cystography,M49,M49: Other operations on bladder,M34-M49,M34-M49: Bladder,M,M: Urinary,4.3,Live
M497,2,M497,M497: High intensity focused ultrasound of bladder,M49,M49: Other operations on bladder,M34-M49,M34-M49: Bladder,M,M: Urinary,4.4,Live
M498,1061,M498,M498: Other specified other operations on bladder,M49,M49: Other operations on bladder,M34-M49,M34-M49: Bladder,M,M: Urinary,4.2,Live
M499,3,M499,M499: Unspecified other operations on bladder,M49,M49: Other operations on bladder,M34-M49,M34-M49: Bladder,M,M: Urinary,4.2,Live
M513,1,M513,M513: Insertion of autologous sling,M51,M51: Combined abdominal and vaginal operations to support outlet of female bladder,M51-M71,M51-M71: Outlet of bladder and prostate,M,M: Urinary,4.10,Live
M538,1,M538,M538: Other specified vaginal operations to support outlet of female bladder,M53,M53: Vaginal operations to support outlet of female bladder,M51-M71,M51-M71: Outlet of bladder and prostate,M,M: Urinary,4.2,Live
M833,2,M833,M833: Removal of foreign body from urinary tract NEC,M83,M83: Other operations on urinary tract,M72-M86,M72-M86: Urethra and other parts of urinary tract,M,M: Urinary,4.2,Live
M838,50,M838,M838: Other specified other operations on urinary tract,M83,M83: Other operations on urinary tract,M72-M86,M72-M86: Urethra and other parts of urinary tract,M,M: Urinary,4.2,Live
M851,14,M851,M851: Endoscopic examination of intestinal conduit,M85,M85: Diagnostic endoscopic examination of urinary diversion,M72-M86,M72-M86: Urethra and other parts of urinary tract,M,M: Urinary,4.3,Live
M858,4,M858,M858: Other specified diagnostic endoscopic examination of urinary diversion,M85,M85: Diagnostic endoscopic examination of urinary diversion,M72-M86,M72-M86: Urethra and other parts of urinary tract,M,M: Urinary,4.3,Live
M868,22,M868,M868: Other specified therapeutic endoscopic operations on urinary diversion,M86,M86: Therapeutic endoscopic operations on urinary diversion,M72-M86,M72-M86: Urethra and other parts of urinary tract,M,M: Urinary,4.4,Live
M869,1,M869,M869: Unspecified therapeutic endoscopic operations on urinary diversion,M86,M86: Therapeutic endoscopic operations on urinary diversion,M72-M86,M72-M86: Urethra and other parts of urinary tract,M,M: Urinary,4.4,Live
N011,1,N011,N011: Excision of scrotum,N01,N01: Extirpation of scrotum,N01-N13,N01-N13: Scrotum and testis,N,N: Male Genital Organs,4.2,Live
N012,18,N012,N012: Excision of lesion of scrotum,N01,N01: Extirpation of scrotum,N01-N13,N01-N13: Scrotum and testis,N,N: Male Genital Organs,4.2,Live
N013,1,N013,N013: Destruction of lesion of scrotum,N01,N01: Extirpation of scrotum,N01-N13,N01-N13: Scrotum and testis,N,N: Male Genital Organs,4.2,Live
N018,2,N018,N018: Other specified extirpation of scrotum,N01,N01: Extirpation of scrotum,N01-N13,N01-N13: Scrotum and testis,N,N: Male Genital Organs,4.2,Live
N031,3,N031,N031: Biopsy of lesion of scrotum,N03,N03: Other operations on scrotum,N01-N13,N01-N13: Scrotum and testis,N,N: Male Genital Organs,4.2,Live
N032,47,N032,N032: Drainage of scrotum,N03,N03: Other operations on scrotum,N01-N13,N01-N13: Scrotum and testis,N,N: Male Genital Organs,4.2,Live
N033,5,N033,N033: Suture of scrotum,N03,N03: Other operations on scrotum,N01-N13,N01-N13: Scrotum and testis,N,N: Male Genital Organs,4.2,Live
N034,2,N034,N034: Exploration of scrotum,N03,N03: Other operations on scrotum,N01-N13,N01-N13: Scrotum and testis,N,N: Male Genital Organs,4.2,Live
N035,1,N035,N035: Removal of foreign body from scrotum,N03,N03: Other operations on scrotum,N01-N13,N01-N13: Scrotum and testis,N,N: Male Genital Organs,4.3,Live
N038,17,N038,N038: Other specified other operations on scrotum,N03,N03: Other operations on scrotum,N01-N13,N01-N13: Scrotum and testis,N,N: Male Genital Organs,4.2,Live
N051,1,N051,N051: Bilateral subcapsular orchidectomy,N05,N05: Bilateral excision of testes,N01-N13,N01-N13: Scrotum and testis,N,N: Male Genital Organs,4.2,Live
N052,2,N052,N052: Bilateral orchidectomy NEC,N05,N05: Bilateral excision of testes,N01-N13,N01-N13: Scrotum and testis,N,N: Male Genital Organs,4.2,Live
N063,7,N063,N063: Orchidectomy NEC,N06,N06: Other excision of testis,N01-N13,N01-N13: Scrotum and testis,N,N: Male Genital Organs,4.2,Live
N066,2,N066,N066: Inguinal orchidectomy NEC,N06,N06: Other excision of testis,N01-N13,N01-N13: Scrotum and testis,N,N: Male Genital Organs,4.7,Live
O143,1,O143,O143: Mesenteric lymph node,O14,O14: Other lymph node,Z52-Z62,Z52-Z62: Soft tissue,Z,Z: Subsidiary Classification of Sites of Operation.,4.9,Live
O161,894,O161,O161: Pelvis NEC,O16,O16: Body region,Z89-Z99,Z89-Z99: Other sites,Z,Z: Subsidiary Classification of Sites of Operation.,4.6,Live
O171,28,O171,O171: Remanipulation of intracapsular fracture of neck of femur and fixation using nail or screw,O17,O17: Secondary closed reduction of fracture of bone and internal fixation,W05-W36,W05-W36: Bone,W,W: Other Bones and Joints,4.5,Live
O172,171,O172,O172: Remanipulation of fracture of long bone and rigid internal fixation NEC,O17,O17: Secondary closed reduction of fracture of bone and internal fixation,W05-W36,W05-W36: Bone,W,W: Other Bones and Joints,4.5,Live
O173,8,O173,O173: Remanipulation of fracture of long bone and flexible internal fixation HFQ,O17,O17: Secondary closed reduction of fracture of bone and internal fixation,W05-W36,W05-W36: Bone,W,W: Other Bones and Joints,4.5,Live
O175,4,O175,O175: Remanipulation of fragment of bone and fixation using screw,O17,O17: Secondary closed reduction of fracture of bone and internal fixation,W05-W36,W05-W36: Bone,W,W: Other Bones and Joints,4.5,Live
O176,11,O176,O176: Remanipulation of fracture of bone and fixation using plate,O17,O17: Secondary closed reduction of fracture of bone and internal fixation,W05-W36,W05-W36: Bone,W,W: Other Bones and Joints,4.8,Live
O178,9,O178,O178: Other specified secondary closed reduction of fracture of bone and internal fixation,O17,O17: Secondary closed reduction of fracture of bone and internal fixation,W05-W36,W05-W36: Bone,W,W: Other Bones and Joints,4.5,Live
O179,1,O179,O179: Unspecified secondary closed reduction of fracture of bone and internal fixation,O17,O17: Secondary closed reduction of fracture of bone and internal fixation,W05-W36,W05-W36: Bone,W,W: Other Bones and Joints,4.5,Live
