First_Procedure_Code,falls_count,OPCS_L4_Code,OPCS_L4_Desc,OPCS_L3_Code,OPCS_L3_Desc,OPCS_L2_Code,OPCS_L2_Desc,OPCS_L1_Code,OPCS_L1_Desc,OPCS_Version,OPCS_Status
S182,1,S182,S182: Distant fasciocutaneous subcutaneous pedicle flap NEC,S18,S18: Distant flap of skin and fascia,S01-S63,S01-S63: Skin or subcutaneous tissue,S,S: Skin,4.2,Live
S233,1,S233,S233: W plasty to head or neck,S23,S23: Flap operations to relax contracture of skin,S01-S63,S01-S63: Skin or subcutaneous tissue,S,S: Skin,4.2,Live
S543,1,S543,S543: Toilet to burnt skin of head or neck NEC,S54,S54: Exploration of burnt skin of head or neck,S01-S63,S01-S63: Skin or subcutaneous tissue,S,S: Skin,4.2,Live
S551,3,S551,S551: Debridement of burnt skin NEC,S55,S55: Exploration of burnt skin of other site,S01-S63,S01-S63: Skin or subcutaneous tissue,S,S: Skin,4.2,Live
S554,5,S554,S554: Dressing of burnt skin NEC,S55,S55: Exploration of burnt skin of other site,S01-S63,S01-S63: Skin or subcutaneous tissue,S,S: Skin,4.2,Live
S555,1,S555,S555: Attention to dressing of burnt skin NEC,S55,S55: Exploration of burnt skin of other site,S01-S63,S01-S63: Skin or subcutaneous tissue,S,S: Skin,4.2,Live
S561,12,S561,S561: Debridement of skin of head or neck NEC,S56,S56: Exploration of other skin of head or neck,S01-S63,S01-S63: Skin or subcutaneous tissue,S,S: Skin,4.2,Live
S563,13,S563,S563: Toilet to skin of head or neck NEC,S56,S56: Exploration of other skin of head or neck,S01-S63,S01-S63: Skin or subcutaneous tissue,S,S: Skin,4.2,Live
S564,27,S564,S564: Dressing of skin of head or neck NEC,S56,S56: Exploration of other skin of head or neck,S01-S63,S01-S63: Skin or subcutaneous tissue,S,S: Skin,4.2,Live
S565,4,S565,S565: Attention to dressing of skin of head or neck NEC,S56,S56: Exploration of other skin of head or neck,S01-S63,S01-S63: Skin or subcutaneous tissue,S,S: Skin,4.2,Live
S566,16,S566,S566: Cleansing and sterilisation of skin of head or neck NEC,S56,S56: Exploration of other skin of head or neck,S01-S63,S01-S63: Skin or subcutaneous tissue,S,S: Skin,4.3,Live
S571,287,S571,S571: Debridement of skin NEC,S57,S57: Exploration of other skin of other site,S01-S63,S01-S63: Skin or subcutaneous tissue,S,S: Skin,4.2,Live
S572,3,S572,S572: Removal of slough from skin NEC,S57,S57: Exploration of other skin of other site,S01-S63,S01-S63: Skin or subcutaneous tissue,S,S: Skin,4.2,Live
S573,95,S573,S573: Toilet of skin NEC,S57,S57: Exploration of other skin of other site,S01-S63,S01-S63: Skin or subcutaneous tissue,S,S: Skin,4.2,Live
S574,335,S574,S574: Dressing of skin NEC,S57,S57: Exploration of other skin of other site,S01-S63,S01-S63: Skin or subcutaneous tissue,S,S: Skin,4.2,Live
S575,78,S575,S575: Attention to dressing of skin NEC,S57,S57: Exploration of other skin of other site,S01-S63,S01-S63: Skin or subcutaneous tissue,S,S: Skin,4.2,Live
S576,49,S576,S576: Cleansing and sterilisation of skin NEC,S57,S57: Exploration of other skin of other site,S01-S63,S01-S63: Skin or subcutaneous tissue,S,S: Skin,4.3,Live
S577,37,S577,S577: Dressing of skin using vacuum assisted closure device NEC,S57,S57: Exploration of other skin of other site,S01-S63,S01-S63: Skin or subcutaneous tissue,S,S: Skin,4.4,Live
S578,11,S578,S578: Other specified exploration of other skin of other site,S57,S57: Exploration of other skin of other site,S01-S63,S01-S63: Skin or subcutaneous tissue,S,S: Skin,4.2,Live
S579,1,S579,S579: Unspecified exploration of other skin of other site,S57,S57: Exploration of other skin of other site,S01-S63,S01-S63: Skin or subcutaneous tissue,S,S: Skin,4.2,Live
S582,8,S582,S582: Larvae debridement therapy of skin NEC,S58,S58: Larvae therapy of skin,S01-S63,S01-S63: Skin or subcutaneous tissue,S,S: Skin,4.4,Live
S589,1,S589,S589: Unspecified larvae therapy of skin,S58,S58: Larvae therapy of skin,S01-S63,S01-S63: Skin or subcutaneous tissue,S,S: Skin,4.4,Live
T202,3,T202,T202: Primary repair of inguinal hernia using insert of prosthetic material,T20,T20: Primary repair of inguinal hernia,"T19-T32, T97-T98","T19-T32, T97-T98: Abdominal wall",T,T: Soft Tissue,4.2,Live
T213,1,T213,T213: Repair of recurrent inguinal hernia using sutures,T21,T21: Repair of recurrent inguinal hernia,"T19-T32, T97-T98","T19-T32, T97-T98: Abdominal wall",T,T: Soft Tissue,4.2,Live
T214,1,T214,T214: Removal of prosthetic material from previous repair of inguinal hernia,T21,T21: Repair of recurrent inguinal hernia,"T19-T32, T97-T98","T19-T32, T97-T98: Abdominal wall",T,T: Soft Tissue,4.2,Live
T222,1,T222,T222: Primary repair of femoral hernia using insert of prosthetic material,T22,T22: Primary repair of femoral hernia,"T19-T32, T97-T98","T19-T32, T97-T98: Abdominal wall",T,T: Soft Tissue,4.2,Live
T223,2,T223,T223: Primary repair of femoral hernia using sutures,T22,T22: Primary repair of femoral hernia,"T19-T32, T97-T98","T19-T32, T97-T98: Abdominal wall",T,T: Soft Tissue,4.2,Live
T243,2,T243,T243: Repair of umbilical hernia using sutures,T24,T24: Primary repair of umbilical hernia,"T19-T32, T97-T98","T19-T32, T97-T98: Abdominal wall",T,T: Soft Tissue,4.2,Live
T624,2,T624,T624: Aspiration of bursa,T62,T62: Operations on bursa,T50-T62,T50-T62: Fascia ganglion and bursa,T,T: Soft Tissue,4.2,Live
T625,4,T625,T625: Injection into bursa,T62,T62: Operations on bursa,T50-T62,T50-T62: Fascia ganglion and bursa,T,T: Soft Tissue,4.2,Live
T644,1,T644,T644: Insertion of tendon into bone NEC,T64,T64: Transposition of tendon,"T64-T75, T78, T82","T64-T75, T78, T82: Tendon",T,T: Soft Tissue,4.2,Live
T962,2,T962,T962: Excision of lesion of soft tissue NEC,T96,T96: Other operations on soft tissue,T85-T96,T85-T96: Lymphatic tissue,T,T: Soft Tissue,4.2,Live
T963,6,T963,T963: Debridement of soft tissue NEC,T96,T96: Other operations on soft tissue,T85-T96,T85-T96: Lymphatic tissue,T,T: Soft Tissue,4.3,Live
T964,2,T964,T964: Evacuation of seroma from soft tissue,T96,T96: Other operations on soft tissue,T85-T96,T85-T96: Lymphatic tissue,T,T: Soft Tissue,4.5,Live
T965,2,T965,T965: Aspiration of soft tissue NEC,T96,T96: Other operations on soft tissue,T85-T96,T85-T96: Lymphatic tissue,T,T: Soft Tissue,4.9,Live
T966,1,T966,T966: Biopsy of soft tissue NEC,T96,T96: Other operations on soft tissue,T85-T96,T85-T96: Lymphatic tissue,T,T: Soft Tissue,4.9,Live
T968,3,T968,T968: Other specified other operations on soft tissue,T96,T96: Other operations on soft tissue,T85-T96,T85-T96: Lymphatic tissue,T,T: Soft Tissue,4.2,Live
U011,244,U011,U011: Computed tomography of whole body,U01,U01: Diagnostic imaging of whole body,"U01-U21, U35-U37","U01-U21, U35-U37: Diagnostic Imaging",U,"U: Diagnostic Imaging, Testing and Rehabilitation",4.3,Live
U012,7,U012,U012: Magnetic resonance imaging of whole body,U01,U01: Diagnostic imaging of whole body,"U01-U21, U35-U37","U01-U21, U35-U37: Diagnostic Imaging",U,"U: Diagnostic Imaging, Testing and Rehabilitation",4.3,Live
U041,2,U041,U041: Bitewing radiology,U04,U04: Diagnostic imaging of mouth,"U01-U21, U35-U37","U01-U21, U35-U37: Diagnostic Imaging",U,"U: Diagnostic Imaging, Testing and Rehabilitation",4.3,Live
U051,127411,U051,U051: Computed tomography of head,U05,U05: Diagnostic imaging of central nervous system,"U01-U21, U35-U37","U01-U21, U35-U37: Diagnostic Imaging",U,"U: Diagnostic Imaging, Testing and Rehabilitation",4.3,Live
U052,2844,U052,U052: Magnetic resonance imaging of head,U05,U05: Diagnostic imaging of central nervous system,"U01-U21, U35-U37","U01-U21, U35-U37: Diagnostic Imaging",U,"U: Diagnostic Imaging, Testing and Rehabilitation",4.3,Live
U053,5,U053,U053: Functional magnetic resonance imaging of head,U05,U05: Diagnostic imaging of central nervous system,"U01-U21, U35-U37","U01-U21, U35-U37: Diagnostic Imaging",U,"U: Diagnostic Imaging, Testing and Rehabilitation",4.3,Live
U054,6187,U054,U054: Computed tomography of spine,U05,U05: Diagnostic imaging of central nervous system,"U01-U21, U35-U37","U01-U21, U35-U37: Diagnostic Imaging",U,"U: Diagnostic Imaging, Testing and Rehabilitation",4.3,Live
U055,2933,U055,U055: Magnetic resonance imaging of spine,U05,U05: Diagnostic imaging of central nervous system,"U01-U21, U35-U37","U01-U21, U35-U37: Diagnostic Imaging",U,"U: Diagnostic Imaging, Testing and Rehabilitation",4.3,Live
U058,8,U058,U058: Other specified diagnostic imaging of central nervous system,U05,U05: Diagnostic imaging of central nervous system,"U01-U21, U35-U37","U01-U21, U35-U37: Diagnostic Imaging",U,"U: Diagnostic Imaging, Testing and Rehabilitation",4.3,Live
U211,15074,U211,U211: Magnetic resonance imaging NEC,U21,U21: Diagnostic imaging procedures,"U01-U21, U35-U37","U01-U21, U35-U37: Diagnostic Imaging",U,"U: Diagnostic Imaging, Testing and Rehabilitation",4.3,Live
U212,59888,U212,U212: Computed tomography NEC,U21,U21: Diagnostic imaging procedures,"U01-U21, U35-U37","U01-U21, U35-U37: Diagnostic Imaging",U,"U: Diagnostic Imaging, Testing and Rehabilitation",4.3,Live
U213,7,U213,U213: Positron emission tomography NEC,U21,U21: Diagnostic imaging procedures,"U01-U21, U35-U37","U01-U21, U35-U37: Diagnostic Imaging",U,"U: Diagnostic Imaging, Testing and Rehabilitation",4.3,Live
U214,22,U214,U214: Single photon emission computed tomography NEC,U21,U21: Diagnostic imaging procedures,"U01-U21, U35-U37","U01-U21, U35-U37: Diagnostic Imaging",U,"U: Diagnostic Imaging, Testing and Rehabilitation",4.3,Live
U215,6,U215,U215: Contrast fluoroscopy NEC,U21,U21: Diagnostic imaging procedures,"U01-U21, U35-U37","U01-U21, U35-U37: Diagnostic Imaging",U,"U: Diagnostic Imaging, Testing and Rehabilitation",4.3,Live
U216,2,U216,U216: Ultrasound scan NEC,U21,U21: Diagnostic imaging procedures,"U01-U21, U35-U37","U01-U21, U35-U37: Diagnostic Imaging",U,"U: Diagnostic Imaging, Testing and Rehabilitation",4.3,Live
U217,14,U217,U217: Plain x-ray NEC,U21,U21: Diagnostic imaging procedures,"U01-U21, U35-U37","U01-U21, U35-U37: Diagnostic Imaging",U,"U: Diagnostic Imaging, Testing and Rehabilitation",4.3,Live
U221,17,U221,U221: Electroencephalograph telemetry,U22,U22: Neuropsychology tests,U22-U41,U22-U41: Diagnostic tests,U,"U: Diagnostic Imaging, Testing and Rehabilitation",4.3,Live
U254,2,U254,U254: Urea helicobacter pylori breath test NEC,U25,U25: Breath tests,U22-U41,U22-U41: Diagnostic tests,U,"U: Diagnostic Imaging, Testing and Rehabilitation",4.3,Live
V082,1,V082,V082: Open reduction of fracture of maxilla NEC,V08,V08: Reduction of fracture of maxilla,V01-V21,"V01-V21: Bones and joints of cranium, face and jaw",V,V: Bones and Joints of Skull and Spine,4.2,Live
V092,2,V092,V092: Reduction of fracture of nasal bone NEC,V09,V09: Reduction of fracture of other bone of face,V01-V21,"V01-V21: Bones and joints of cranium, face and jaw",V,V: Bones and Joints of Skull and Spine,4.2,Live
V093,1,V093,V093: Reduction of fracture of zygomatic complex of bones,V09,V09: Reduction of fracture of other bone of face,V01-V21,"V01-V21: Bones and joints of cranium, face and jaw",V,V: Bones and Joints of Skull and Spine,4.2,Live
V336,1,V336,V336: Primary anterior excision of lumbar intervertebral disc and posterior instrumentation of lumbar spine,V33,V33: Primary excision of lumbar intervertebral disc,V22-V70,V22-V70: Bones and joints of spine,V,V: Bones and Joints of Skull and Spine,4.2,Live
V544,19,V544,V544: Injection around spinal facet of spine,V54,V54: Other operations on spine,V22-V70,V22-V70: Bones and joints of spine,V,V: Bones and Joints of Skull and Spine,4.2,Live
V548,2,V548,V548: Other specified other operations on spine,V54,V54: Other operations on spine,V22-V70,V22-V70: Bones and joints of spine,V,V: Bones and Joints of Skull and Spine,4.2,Live
W178,2,W178,W178: Other specified other reconstruction of bone,W17,W17: Other reconstruction of bone,W05-W36,W05-W36: Bone,W,W: Other Bones and Joints,4.2,Live
W189,1,W189,W189: Unspecified drainage of bone,W18,W18: Drainage of bone,W05-W36,W05-W36: Bone,W,W: Other Bones and Joints,4.2,Live
W191,18059,W191,W191: Primary open reduction of fracture of neck of femur and open fixation using pin and plate,W19,W19: Primary open reduction of fracture of bone and intramedullary fixation,W05-W36,W05-W36: Bone,W,W: Other Bones and Joints,4.2,Live
W192,20838,W192,W192: Primary open reduction of fracture of long bone and fixation using rigid nail NEC,W19,W19: Primary open reduction of fracture of bone and intramedullary fixation,W05-W36,W05-W36: Bone,W,W: Other Bones and Joints,4.2,Live
W193,738,W193,W193: Primary open reduction of fracture of long bone and fixation using flexible nail,W19,W19: Primary open reduction of fracture of bone and intramedullary fixation,W05-W36,W05-W36: Bone,W,W: Other Bones and Joints,4.2,Live
W194,163,W194,W194: Primary open reduction of fracture of short bone and fixation using screw,W19,W19: Primary open reduction of fracture of bone and intramedullary fixation,W05-W36,W05-W36: Bone,W,W: Other Bones and Joints,4.2,Live
W195,462,W195,W195: Primary open reduction of fragment of bone and fixation using screw,W19,W19: Primary open reduction of fracture of bone and intramedullary fixation,W05-W36,W05-W36: Bone,W,W: Other Bones and Joints,4.2,Live
W196,203,W196,W196: Primary open reduction of fragment of bone and fixation using wire system,W19,W19: Primary open reduction of fracture of bone and intramedullary fixation,W05-W36,W05-W36: Bone,W,W: Other Bones and Joints,4.2,Live
W198,4781,W198,W198: Other specified primary open reduction of fracture of bone and intramedullary fixation,W19,W19: Primary open reduction of fracture of bone and intramedullary fixation,W05-W36,W05-W36: Bone,W,W: Other Bones and Joints,4.2,Live
W199,141,W199,W199: Unspecified primary open reduction of fracture of bone and intramedullary fixation,W19,W19: Primary open reduction of fracture of bone and intramedullary fixation,W05-W36,W05-W36: Bone,W,W: Other Bones and Joints,4.2,Live
W201,17764,W201,W201: Primary open reduction of fracture of long bone and extramedullary fixation using plate NEC,W20,W20: Primary open reduction of fracture of bone and extramedullary fixation,W05-W36,W05-W36: Bone,W,W: Other Bones and Joints,4.2,Live
W202,1432,W202,W202: Primary open reduction of fracture of long bone and extramedullary fixation using cerclage,W20,W20: Primary open reduction of fracture of bone and extramedullary fixation,W05-W36,W05-W36: Bone,W,W: Other Bones and Joints,4.2,Live
W203,175,W203,W203: Primary open reduction of fracture of long bone and extramedullary fixation using suture,W20,W20: Primary open reduction of fracture of bone and extramedullary fixation,W05-W36,W05-W36: Bone,W,W: Other Bones and Joints,4.2,Live
W204,75,W204,W204: Primary open reduction of fracture of long bone and complex extramedullary fixation NEC,W20,W20: Primary open reduction of fracture of bone and extramedullary fixation,W05-W36,W05-W36: Bone,W,W: Other Bones and Joints,4.2,Live
W205,25,W205,W205: Primary open reduction of fracture of ankle and extramedullary fixation NEC,W20,W20: Primary open reduction of fracture of bone and extramedullary fixation,W05-W36,W05-W36: Bone,W,W: Other Bones and Joints,4.2,Live
W206,2,W206,W206: Wiring of sternum,W20,W20: Primary open reduction of fracture of bone and extramedullary fixation,W05-W36,W05-W36: Bone,W,W: Other Bones and Joints,4.2,Live
W208,800,W208,W208: Other specified primary open reduction of fracture of bone and extramedullary fixation,W20,W20: Primary open reduction of fracture of bone and extramedullary fixation,W05-W36,W05-W36: Bone,W,W: Other Bones and Joints,4.2,Live
W209,185,W209,W209: Unspecified primary open reduction of fracture of bone and extramedullary fixation,W20,W20: Primary open reduction of fracture of bone and extramedullary fixation,W05-W36,W05-W36: Bone,W,W: Other Bones and Joints,4.2,Live
W211,42,W211,W211: Primary reduction of intra-articular fracture of bone using arthrotomy as approach,W21,W21: Primary open reduction of intra-articular fracture of bone,W05-W36,W05-W36: Bone,W,W: Other Bones and Joints,4.2,Live
W212,22,W212,W212: Primary excision of intra-articular fragment of intra-articular fracture of bone,W21,W21: Primary open reduction of intra-articular fracture of bone,W05-W36,W05-W36: Bone,W,W: Other Bones and Joints,4.2,Live
W213,1,W213,W213: Primary fixation of fragment of chondral cartilage of intra-articular fracture of bone,W21,W21: Primary open reduction of intra-articular fracture of bone,W05-W36,W05-W36: Bone,W,W: Other Bones and Joints,4.2,Live
W214,657,W214,W214: Primary intra-articular fixation of intra-articular fracture of bone NEC,W21,W21: Primary open reduction of intra-articular fracture of bone,W05-W36,W05-W36: Bone,W,W: Other Bones and Joints,4.2,Live
W215,113,W215,W215: Primary extra-articular reduction of intra-articular fracture of bone,W21,W21: Primary open reduction of intra-articular fracture of bone,W05-W36,W05-W36: Bone,W,W: Other Bones and Joints,4.2,Live
W218,319,W218,W218: Other specified primary open reduction of intra-articular fracture of bone,W21,W21: Primary open reduction of intra-articular fracture of bone,W05-W36,W05-W36: Bone,W,W: Other Bones and Joints,4.2,Live
W219,37,W219,W219: Unspecified primary open reduction of intra-articular fracture of bone,W21,W21: Primary open reduction of intra-articular fracture of bone,W05-W36,W05-W36: Bone,W,W: Other Bones and Joints,4.2,Live
W221,17,W221,W221: Primary open reduction of fracture of bone and skeletal traction HFQ,W22,W22: Other primary open reduction of fracture of bone,W05-W36,W05-W36: Bone,W,W: Other Bones and Joints,4.2,Live
W222,62,W222,W222: Primary open reduction of fracture of bone and external fixation HFQ,W22,W22: Other primary open reduction of fracture of bone,W05-W36,W05-W36: Bone,W,W: Other Bones and Joints,4.2,Live
W228,11,W228,W228: Other specified other primary open reduction of fracture of bone,W22,W22: Other primary open reduction of fracture of bone,W05-W36,W05-W36: Bone,W,W: Other Bones and Joints,4.2,Live
W443,1,W443,W443: Revision of total prosthetic replacement of joint not using cement NEC,W44,W44: Total prosthetic replacement of other joint not using cement,W37-W99,W37-W99: Joint,W,W: Other Bones and Joints,4.2,Live
W444,1,W444,W444: Revision of one component of total prosthetic replacement of joint not using cement NEC,W44,W44: Total prosthetic replacement of other joint not using cement,W37-W99,W37-W99: Joint,W,W: Other Bones and Joints,4.3,Live
W451,18,W451,W451: Primary total prosthetic replacement of joint NEC,W45,W45: Other total prosthetic replacement of other joint,W37-W99,W37-W99: Joint,W,W: Other Bones and Joints,4.2,Live
W458,1,W458,W458: Other specified other total prosthetic replacement of other joint,W45,W45: Other total prosthetic replacement of other joint,W37-W99,W37-W99: Joint,W,W: Other Bones and Joints,4.2,Live
W460,1,W460,W460: Conversion from previous cemented prosthetic replacement of head of femur,W46,W46: Prosthetic replacement of head of femur using cement,W37-W99,W37-W99: Joint,W,W: Other Bones and Joints,4.2,Live
W461,149346,W461,W461: Primary prosthetic replacement of head of femur using cement,W46,W46: Prosthetic replacement of head of femur using cement,W37-W99,W37-W99: Joint,W,W: Other Bones and Joints,4.2,Live
W462,67,W462,W462: Conversion to prosthetic replacement of head of femur using cement,W46,W46: Prosthetic replacement of head of femur using cement,W37-W99,W37-W99: Joint,W,W: Other Bones and Joints,4.2,Live
W463,27,W463,W463: Revision of prosthetic replacement of head of femur using cement,W46,W46: Prosthetic replacement of head of femur using cement,W37-W99,W37-W99: Joint,W,W: Other Bones and Joints,4.2,Live
W468,12,W468,W468: Other specified prosthetic replacement of head of femur using cement,W46,W46: Prosthetic replacement of head of femur using cement,W37-W99,W37-W99: Joint,W,W: Other Bones and Joints,4.2,Live
W469,109,W469,W469: Unspecified prosthetic replacement of head of femur using cement,W46,W46: Prosthetic replacement of head of femur using cement,W37-W99,W37-W99: Joint,W,W: Other Bones and Joints,4.2,Live
W471,8140,W471,W471: Primary prosthetic replacement of head of femur not using cement,W47,W47: Prosthetic replacement of head of femur not using cement,W37-W99,W37-W99: Joint,W,W: Other Bones and Joints,4.2,Live
W472,4,W472,W472: Conversion to prosthetic replacement of head of femur not using cement,W47,W47: Prosthetic replacement of head of femur not using cement,W37-W99,W37-W99: Joint,W,W: Other Bones and Joints,4.2,Live
W478,3,W478,W478: Other specified prosthetic replacement of head of femur not using cement,W47,W47: Prosthetic replacement of head of femur not using cement,W37-W99,W37-W99: Joint,W,W: Other Bones and Joints,4.2,Live
W479,9,W479,W479: Unspecified prosthetic replacement of head of femur not using cement,W47,W47: Prosthetic replacement of head of femur not using cement,W37-W99,W37-W99: Joint,W,W: Other Bones and Joints,4.2,Live
W481,2680,W481,W481: Primary prosthetic replacement of head of femur NEC,W48,W48: Other prosthetic replacement of head of femur,W37-W99,W37-W99: Joint,W,W: Other Bones and Joints,4.2,Live
W483,3,W483,W483: Revision of prosthetic replacement of head of femur NEC,W48,W48: Other prosthetic replacement of head of femur,W37-W99,W37-W99: Joint,W,W: Other Bones and Joints,4.2,Live
W484,4,W484,W484: Attention to prosthetic replacement of head of femur NEC,W48,W48: Other prosthetic replacement of head of femur,W37-W99,W37-W99: Joint,W,W: Other Bones and Joints,4.2,Live
W485,5,W485,W485: Closed reduction of dislocated prosthetic replacement of head of femur,W48,W48: Other prosthetic replacement of head of femur,W37-W99,W37-W99: Joint,W,W: Other Bones and Joints,4.3,Live
W488,6,W488,W488: Other specified other prosthetic replacement of head of femur,W48,W48: Other prosthetic replacement of head of femur,W37-W99,W37-W99: Joint,W,W: Other Bones and Joints,4.2,Live
W489,34,W489,W489: Unspecified other prosthetic replacement of head of femur,W48,W48: Other prosthetic replacement of head of femur,W37-W99,W37-W99: Joint,W,W: Other Bones and Joints,4.2,Live
L708,1,L708,L708: Other specified other open operations on other artery,L70,L70: Other open operations on other artery,L65-L72,L65-L72: Other arteries,L,L: Arteries and Veins,4.2,Live
L713,15,L713,L713: Percutaneous transluminal embolisation of artery,L71,L71: Therapeutic transluminal operations on other artery,L65-L72,L65-L72: Other arteries,L,L: Arteries and Veins,4.2,Live
L714,10,L714,L714: Percutaneous transluminal cannulation of artery,L71,L71: Therapeutic transluminal operations on other artery,L65-L72,L65-L72: Other arteries,L,L: Arteries and Veins,4.2,Live
L721,4,L721,L721: Arteriography NEC,L72,L72: Diagnostic transluminal operations on other artery,L65-L72,L65-L72: Other arteries,L,L: Arteries and Veins,4.2,Live
L722,5,L722,L722: Monitoring of arterial pressure,L72,L72: Diagnostic transluminal operations on other artery,L65-L72,L65-L72: Other arteries,L,L: Arteries and Veins,4.2,Live
M292,10,M292,M292: Endoscopic insertion of tubal prosthesis into ureter NEC,M29,M29: Other therapeutic endoscopic operations on ureter,M18-M33,M18-M33: Ureter,M,M: Urinary,4.2,Live
M293,1,M293,M293: Endoscopic removal of tubal prosthesis from ureter,M29,M29: Other therapeutic endoscopic operations on ureter,M18-M33,M18-M33: Ureter,M,M: Urinary,4.2,Live
M295,8,M295,M295: Endoscopic renewal of tubal prosthesis into ureter,M29,M29: Other therapeutic endoscopic operations on ureter,M18-M33,M18-M33: Ureter,M,M: Urinary,4.3,Live
M302,1,M302,M302: Endoscopic catheterisation of ureter,M30,M30: Diagnostic endoscopic examination of ureter,M18-M33,M18-M33: Ureter,M,M: Urinary,4.2,Live
M332,1,M332,M332: Percutaneous insertion of plastic stent into ureter,M33,M33: Percutaneous ureteric stent procedures,M18-M33,M18-M33: Ureter,M,M: Urinary,4.3,Live
M335,2,M335,M335: Percutaneous insertion of ureteric stent into ureter NEC,M33,M33: Percutaneous ureteric stent procedures,M18-M33,M18-M33: Ureter,M,M: Urinary,4.3,Live
O071,2,O071,O071: Primary hybrid prosthetic replacement of shoulder joint using cemented glenoid component,O07,O07: Hybrid prosthetic replacement of shoulder joint using cemented glenoid component,W37-W99,W37-W99: Joint,W,W: Other Bones and Joints,4.3,Live
O081,1,O081,O081: Primary hybrid prosthetic replacement of shoulder joint using cement NEC,O08,O08: Hybrid prosthetic replacement of shoulder joint using cement,W37-W99,W37-W99: Joint,W,W: Other Bones and Joints,4.3,Live
O132,2,O132,O132: Knee NEC,O13,O13: Other leg region,Z89-Z99,Z89-Z99: Other sites,Z,Z: Subsidiary Classification of Sites of Operation.,4.7,Live
O491,1,O491,O491: Removal of intramedullary fixation from bone,O49,O49: Internal fixation of bone,W05-W36,W05-W36: Bone,W,W: Other Bones and Joints,4.10,Live
P262,11,P262,P262: Insertion of ring pessary into vagina,P26,P26: Introduction of supporting pessary into vagina,P14-P32,P14-P32: Vagina,P,P: Lower Female Genital Tract,4.2,Live
P263,7,P263,P263: Removal of supporting pessary from vagina,P26,P26: Introduction of supporting pessary into vagina,P14-P32,P14-P32: Vagina,P,P: Lower Female Genital Tract,4.2,Live
P264,10,P264,P264: Renewal of supporting pessary in vagina,P26,P26: Introduction of supporting pessary into vagina,P14-P32,P14-P32: Vagina,P,P: Lower Female Genital Tract,4.4,Live
P268,2,P268,P268: Other specified introduction of supporting pessary into vagina,P26,P26: Introduction of supporting pessary into vagina,P14-P32,P14-P32: Vagina,P,P: Lower Female Genital Tract,4.2,Live
P269,2,P269,P269: Unspecified introduction of supporting pessary into vagina,P26,P26: Introduction of supporting pessary into vagina,P14-P32,P14-P32: Vagina,P,P: Lower Female Genital Tract,4.2,Live
Q202,3,Q202,Q202: Biopsy of lesion of uterus NEC,Q20,Q20: Other operations on uterus,"Q01-Q21, Q58","Q01-Q21, Q58: Uterus",Q,Q: Upper Female Genital Tract,4.2,Live
Q203,1,Q203,Q203: Manual manipulation of uterus,Q20,Q20: Other operations on uterus,"Q01-Q21, Q58","Q01-Q21, Q58: Uterus",Q,Q: Upper Female Genital Tract,4.2,Live
Q555,70,Q555,Q555: Transvaginal ultrasound examination of female genital tract,Q55,Q55: Other examination of female genital tract,Q43-Q57,Q43-Q57: Ovary and broad ligament,Q,Q: Upper Female Genital Tract,4.3,Live
S249,1,S249,S249: Unspecified local flap of skin and muscle,S24,S24: Local flap of skin and muscle,S01-S63,S01-S63: Skin or subcutaneous tissue,S,S: Skin,4.2,Live
S262,1,S262,S262: Axial pattern local subcutaneous pedicle flap of skin NEC,S26,S26: Local subcutaneous pedicle flap of skin,S01-S63,S01-S63: Skin or subcutaneous tissue,S,S: Skin,4.2,Live
J741,1,J741,J741: Endoscopic ultrasound examination of pancreas and biopsy of lesion of pancreas,J74,J74: Endoscopic ultrasound examination of pancreas,J73-J74,J73-J74: Pancreas,J,"J: Other Abdominal Organs, Principally Digestive",4.3,Live
K492,2,K492,K492: Percutaneous transluminal balloon angioplasty of multiple coronary arteries,K49,K49: Transluminal balloon angioplasty of coronary artery,K40-K51,K40-K51: Coronary artery,K,K: Heart,4.2,Live
L352,1,L352,L352: Arteriography of cerebral artery,L35,L35: Transluminal operations on cerebral artery,L29-L39,L29-L39: Carotid cerebral and subclavian arteries,L,L: Arteries and Veins,4.2,Live
L371,1,L371,L371: Bypass of subclavian artery NEC,L37,L37: Reconstruction of subclavian artery,L29-L39,L29-L39: Carotid cerebral and subclavian arteries,L,L: Arteries and Veins,4.2,Live
L622,1,L622,L622: Open embolectomy of femoral artery,L62,L62: Other open operations on femoral artery,L48-L63,L48-L63: Iliac and femoral arteries,L,L: Arteries and Veins,4.2,Live
L631,13,L631,L631: Percutaneous transluminal angioplasty of femoral artery,L63,L63: Transluminal operations on femoral artery,L48-L63,L48-L63: Iliac and femoral arteries,L,L: Arteries and Veins,4.2,Live
L632,1,L632,L632: Percutaneous transluminal embolectomy of femoral artery,L63,L63: Transluminal operations on femoral artery,L48-L63,L48-L63: Iliac and femoral arteries,L,L: Arteries and Veins,4.2,Live
L633,5,L633,L633: Percutaneous transluminal embolisation of femoral artery,L63,L63: Transluminal operations on femoral artery,L48-L63,L48-L63: Iliac and femoral arteries,L,L: Arteries and Veins,4.2,Live
L634,3,L634,L634: Arteriography of femoral artery,L63,L63: Transluminal operations on femoral artery,L48-L63,L48-L63: Iliac and femoral arteries,L,L: Arteries and Veins,4.2,Live
