First_Procedure_Code,emergency_elderly_count,OPCS_L4_Code,OPCS_L4_Desc,OPCS_L3_Code,OPCS_L3_Desc,OPCS_L2_Code,OPCS_L2_Desc,OPCS_L1_Code,OPCS_L1_Desc,OPCS_Version,OPCS_Status
A651,158,A651,A651: Carpal tunnel release,A65,A65: Release of entrapment of peripheral nerve at wrist,A59-A73,A59-A73: Peripheral nerves,A,A: Nervous System,4.2,Live
A669,1,A669,A669: Unspecified release of entrapment of peripheral nerve at ankle,A66,A66: Release of entrapment of peripheral nerve at ankle,A59-A73,A59-A73: Peripheral nerves,A,A: Nervous System,4.2,Live
A671,7,A671,A671: Cubital tunnel release,A67,A67: Release of entrapment of peripheral nerve at other site,A59-A73,A59-A73: Peripheral nerves,A,A: Nervous System,4.2,Live
A678,1,A678,A678: Other specified release of entrapment of peripheral nerve at other site,A67,A67: Release of entrapment of peripheral nerve at other site,A59-A73,A59-A73: Peripheral nerves,A,A: Nervous System,4.2,Live
C011,5,C011,C011: Exenteration of orbit,C01,C01: Excision of eye,C01-C08,C01-C08: Orbit,C,C: Eye,4.2,Live
C012,30,C012,C012: Enucleation of eye,C01,C01: Excision of eye,C01-C08,C01-C08: Orbit,C,C: Eye,4.2,Live
C013,232,C013,C013: Evisceration of eye,C01,C01: Excision of eye,C01-C08,C01-C08: Orbit,C,C: Eye,4.2,Live
C021,1,C021,C021: Excision of lesion of orbit,C02,C02: Extirpation of lesion of orbit,C01-C08,C01-C08: Orbit,C,C: Eye,4.2,Live
C028,2,C028,C028: Other specified extirpation of lesion of orbit,C02,C02: Extirpation of lesion of orbit,C01-C08,C01-C08: Orbit,C,C: Eye,4.2,Live
C031,1,C031,C031: Insertion of prosthetic replacement for orbit,C03,C03: Insertion of prosthesis of eye,C01-C08,C01-C08: Orbit,C,C: Eye,4.2,Live
C032,2,C032,C032: Insertion of prosthetic replacement for eyeball,C03,C03: Insertion of prosthesis of eye,C01-C08,C01-C08: Orbit,C,C: Eye,4.2,Live
C043,1,C043,C043: Removal of prosthetic replacement for orbit,C04,C04: Attention to prosthesis of eye,C01-C08,C01-C08: Orbit,C,C: Eye,4.2,Live
C044,2,C044,C044: Removal of prosthetic replacement for eyeball,C04,C04: Attention to prosthesis of eye,C01-C08,C01-C08: Orbit,C,C: Eye,4.2,Live
C048,3,C048,C048: Other specified attention to prosthesis of eye,C04,C04: Attention to prosthesis of eye,C01-C08,C01-C08: Orbit,C,C: Eye,4.2,Live
C051,8,C051,C051: Reconstruction of cavity of orbit,C05,C05: Plastic repair of orbit,C01-C08,C01-C08: Orbit,C,C: Eye,4.2,Live
B311,1,B311,B311: Reduction mammoplasty,B31,B31: Other plastic operations on breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
B312,1,B312,B312: Augmentation mammoplasty,B31,B31: Other plastic operations on breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
B313,1,B313,B313: Mastopexy,B31,B31: Other plastic operations on breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
B321,691,B321,B321: Percutaneous biopsy of lesion of breast,B32,B32: Biopsy of breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
B322,451,B322,B322: Biopsy of lesion of breast NEC,B32,B32: Biopsy of breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
B323,16,B323,B323: Wire guided biopsy of lesion of breast,B32,B32: Biopsy of breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.3,Live
B324,1,B324,B324: Vacuum biopsy of lesion of breast,B32,B32: Biopsy of breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.8,Live
B328,5,B328,B328: Other specified biopsy of breast,B32,B32: Biopsy of breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
B329,13,B329,B329: Unspecified biopsy of breast,B32,B32: Biopsy of breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
B331,520,B331,B331: Drainage of lesion of breast,B33,B33: Incision of breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
B333,6,B333,B333: Exploration of breast,B33,B33: Incision of breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
B338,10,B338,B338: Other specified incision of breast,B33,B33: Incision of breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
B352,1,B352,B352: Excision of nipple,B35,B35: Operations on nipple and areola,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
B353,2,B353,B353: Extirpation of lesion of nipple,B35,B35: Operations on nipple and areola,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
B355,11,B355,B355: Biopsy of lesion of nipple,B35,B35: Operations on nipple and areola,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
B358,1,B358,B358: Other specified operations on nipple,B35,B35: Operations on nipple and areola,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
B364,1,B364,B364: Tattooing of nipple,B36,B36: Reconstruction of nipple and areola,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.3,Live
B371,314,B371,B371: Aspiration of lesion of breast,B37,B37: Other operations on breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
C453,2,C453,C453: Cauterisation of lesion of cornea,C45,C45: Extirpation of lesion of cornea,C39-C51,C39-C51: Conjunctiva and cornea,C,C: Eye,4.2,Live
C457,49,C457,C457: Debridement of lesion of cornea,C45,C45: Extirpation of lesion of cornea,C39-C51,C39-C51: Conjunctiva and cornea,C,C: Eye,4.2,Live
C458,4,C458,C458: Other specified extirpation of lesion of cornea,C45,C45: Extirpation of lesion of cornea,C39-C51,C39-C51: Conjunctiva and cornea,C,C: Eye,4.2,Live
C462,28,C462,C462: Lamellar graft to cornea NEC,C46,C46: Plastic operations on cornea,C39-C51,C39-C51: Conjunctiva and cornea,C,C: Eye,4.2,Live
C463,114,C463,C463: Penetrating graft to cornea,C46,C46: Plastic operations on cornea,C39-C51,C39-C51: Conjunctiva and cornea,C,C: Eye,4.2,Live
C464,3,C464,C464: Insertion of prosthesis into cornea,C46,C46: Plastic operations on cornea,C39-C51,C39-C51: Conjunctiva and cornea,C,C: Eye,4.2,Live
C465,11,C465,C465: Deep lamellar graft to cornea,C46,C46: Plastic operations on cornea,C39-C51,C39-C51: Conjunctiva and cornea,C,C: Eye,4.3,Live
C466,75,C466,C466: Amniotic membrane graft to cornea,C46,C46: Plastic operations on cornea,C39-C51,C39-C51: Conjunctiva and cornea,C,C: Eye,4.3,Live
C467,1,C467,C467: Transplant of corneal limbal cells,C46,C46: Plastic operations on cornea,C39-C51,C39-C51: Conjunctiva and cornea,C,C: Eye,4.3,Live
C468,146,C468,C468: Other specified plastic operations on cornea,C46,C46: Plastic operations on cornea,C39-C51,C39-C51: Conjunctiva and cornea,C,C: Eye,4.2,Live
E669,1,E669,E669: Unspecified other operations on external nose,E66,E66: Other operations on external nose,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.8,Live
E851,15081,E851,E851: Invasive ventilation,E85,E85: Ventilation support,E85-E98,E85-E98: Non operations on lower respiratory tract,E,E: Respiratory Tract,4.3,Live
E852,56337,E852,E852: Non-invasive ventilation NEC,E85,E85: Ventilation support,E85-E98,E85-E98: Non operations on lower respiratory tract,E,E: Respiratory Tract,4.3,Live
E853,43,E853,E853: Improving efficiency of ventilation,E85,E85: Ventilation support,E85-E98,E85-E98: Non operations on lower respiratory tract,E,E: Respiratory Tract,4.3,Live
E854,515,E854,E854: Bag valve mask ventilation,E85,E85: Ventilation support,E85-E98,E85-E98: Non operations on lower respiratory tract,E,E: Respiratory Tract,4.3,Live
E855,2348,E855,E855: Nebuliser ventilation,E85,E85: Ventilation support,E85-E98,E85-E98: Non operations on lower respiratory tract,E,E: Respiratory Tract,4.3,Live
E856,16139,E856,E856: Continuous positive airway pressure,E85,E85: Ventilation support,E85-E98,E85-E98: Non operations on lower respiratory tract,E,E: Respiratory Tract,4.9,Live
E858,305,E858,E858: Other specified ventilation support,E85,E85: Ventilation support,E85-E98,E85-E98: Non operations on lower respiratory tract,E,E: Respiratory Tract,4.3,Live
E859,194,E859,E859: Unspecified ventilation support,E85,E85: Ventilation support,E85-E98,E85-E98: Non operations on lower respiratory tract,E,E: Respiratory Tract,4.3,Live
E871,18,E871,E871: Home oxygen support,E87,E87: Oxygen therapy support,E85-E98,E85-E98: Non operations on lower respiratory tract,E,E: Respiratory Tract,4.3,Live
E872,27,E872,E872: Long term oxygen assessment,E87,E87: Oxygen therapy support,E85-E98,E85-E98: Non operations on lower respiratory tract,E,E: Respiratory Tract,4.3,Live
E873,7,E873,E873: Ambulatory oxygen assessment,E87,E87: Oxygen therapy support,E85-E98,E85-E98: Non operations on lower respiratory tract,E,E: Respiratory Tract,4.3,Live
E878,17,E878,E878: Other specified oxygen therapy support,E87,E87: Oxygen therapy support,E85-E98,E85-E98: Non operations on lower respiratory tract,E,E: Respiratory Tract,4.3,Live
E879,24,E879,E879: Unspecified oxygen therapy support,E87,E87: Oxygen therapy support,E85-E98,E85-E98: Non operations on lower respiratory tract,E,E: Respiratory Tract,4.3,Live
F228,1,F228,F228: Other specified excision of tongue,F22,F22: Excision of tongue,F22-F32,F22-F32: Tongue and palate,F,F: Mouth,4.2,Live
F231,43,F231,F231: Excision of lesion of tongue,F23,F23: Extirpation of lesion of tongue,F22-F32,F22-F32: Tongue and palate,F,F: Mouth,4.2,Live
F232,21,F232,F232: Destruction of lesion of tongue,F23,F23: Extirpation of lesion of tongue,F22-F32,F22-F32: Tongue and palate,F,F: Mouth,4.2,Live
F238,2,F238,F238: Other specified extirpation of lesion of tongue,F23,F23: Extirpation of lesion of tongue,F22-F32,F22-F32: Tongue and palate,F,F: Mouth,4.2,Live
F239,1,F239,F239: Unspecified extirpation of lesion of tongue,F23,F23: Extirpation of lesion of tongue,F22-F32,F22-F32: Tongue and palate,F,F: Mouth,4.2,Live
F241,172,F241,F241: Biopsy of lesion of tongue,F24,F24: Incision of tongue,F22-F32,F22-F32: Tongue and palate,F,F: Mouth,4.2,Live
F242,14,F242,F242: Removal of foreign body from tongue,F24,F24: Incision of tongue,F22-F32,F22-F32: Tongue and palate,F,F: Mouth,4.2,Live
F248,2,F248,F248: Other specified incision of tongue,F24,F24: Incision of tongue,F22-F32,F22-F32: Tongue and palate,F,F: Mouth,4.2,Live
F265,90,F265,F265: Suture of tongue,F26,F26: Other operations on tongue,F22-F32,F22-F32: Tongue and palate,F,F: Mouth,4.2,Live
F268,36,F268,F268: Other specified other operations on tongue,F26,F26: Other operations on tongue,F22-F32,F22-F32: Tongue and palate,F,F: Mouth,4.2,Live
F269,1,F269,F269: Unspecified other operations on tongue,F26,F26: Other operations on tongue,F22-F32,F22-F32: Tongue and palate,F,F: Mouth,4.2,Live
F281,14,F281,F281: Excision of lesion of palate,F28,F28: Extirpation of lesion of palate,F22-F32,F22-F32: Tongue and palate,F,F: Mouth,4.2,Live
F282,6,F282,F282: Destruction of lesion of palate,F28,F28: Extirpation of lesion of palate,F22-F32,F22-F32: Tongue and palate,F,F: Mouth,4.2,Live
A738,74,A738,A738: Other specified other operations on peripheral nerve,A73,A73: Other operations on peripheral nerve,A59-A73,A59-A73: Peripheral nerves,A,A: Nervous System,4.2,Live
A753,4,A753,A753: Excision of lumbar sympathetic nerve,A75,A75: Excision of sympathetic nerve,A75-A84,A75-A84: Other parts of nervous system,A,A: Nervous System,4.2,Live
A755,1,A755,A755: Excision of splanchnic sympathetic nerve,A75,A75: Excision of sympathetic nerve,A75-A84,A75-A84: Other parts of nervous system,A,A: Nervous System,4.2,Live
B374,3,B374,B374: Capsulectomy of breast NEC,B37,B37: Other operations on breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.3,Live
B378,47,B378,B378: Other specified other operations on breast,B37,B37: Other operations on breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
B408,1,B408,B408: Other specified destruction of lesion of breast,B40,B40: Destruction of lesion of breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.4,Live
C271,17,C271,C271: Drainage of nasolacrimal duct,C27,C27: Operations on nasolacrimal duct,C24-C29,C24-C29: Lacrimal apparatus,C,C: Eye,4.2,Live
C273,1,C273,C273: Irrigation of nasolacrimal duct,C27,C27: Operations on nasolacrimal duct,C24-C29,C24-C29: Lacrimal apparatus,C,C: Eye,4.2,Live
C274,1,C274,C274: Removal of tube from nasolacrimal duct,C27,C27: Operations on nasolacrimal duct,C24-C29,C24-C29: Lacrimal apparatus,C,C: Eye,4.2,Live
C275,2,C275,C275: Probing of nasolacrimal duct NEC,C27,C27: Operations on nasolacrimal duct,C24-C29,C24-C29: Lacrimal apparatus,C,C: Eye,4.2,Live
C278,2,C278,C278: Other specified operations on nasolacrimal duct,C27,C27: Operations on nasolacrimal duct,C24-C29,C24-C29: Lacrimal apparatus,C,C: Eye,4.2,Live
C291,13,C291,C291: Repair of canaliculus,C29,C29: Other operations on lacrimal apparatus,C24-C29,C24-C29: Lacrimal apparatus,C,C: Eye,4.2,Live
C292,2,C292,C292: Enlargement of lacrimal punctum,C29,C29: Other operations on lacrimal apparatus,C24-C29,C24-C29: Lacrimal apparatus,C,C: Eye,4.2,Live
C293,4,C293,C293: Occlusion of lacrimal punctum,C29,C29: Other operations on lacrimal apparatus,C24-C29,C24-C29: Lacrimal apparatus,C,C: Eye,4.2,Live
C295,1,C295,C295: Canaliculotomy,C29,C29: Other operations on lacrimal apparatus,C24-C29,C24-C29: Lacrimal apparatus,C,C: Eye,4.3,Live
C298,6,C298,C298: Other specified other operations on lacrimal apparatus,C29,C29: Other operations on lacrimal apparatus,C24-C29,C24-C29: Lacrimal apparatus,C,C: Eye,4.2,Live
C316,1,C316,C316: Recession of lateral rectus muscle and resection of medial rectus muscle of eye,C31,C31: Combined operations on muscles of eye,C31-C37,C31-C37: Muscles of eye,C,C: Eye,4.4,Live
C326,2,C326,C326: Recession of inferior oblique muscle of eye,C32,C32: Recession of muscle of eye,C31-C37,C31-C37: Muscles of eye,C,C: Eye,4.2,Live
C841,5,C841,C841: Epiretinal dissection,C84,C84: Other operations on retina,C79-C91,"C79-C91: Retina, other parts of eye and anaesthetics",C,C: Eye,4.2,Live
C843,1,C843,C843: Biopsy of lesion of retina,C84,C84: Other operations on retina,C79-C91,"C79-C91: Retina, other parts of eye and anaesthetics",C,C: Eye,4.2,Live
C845,15,C845,C845: Drainage of subretinal fluid through retina,C84,C84: Other operations on retina,C79-C91,"C79-C91: Retina, other parts of eye and anaesthetics",C,C: Eye,4.3,Live
C846,2,C846,C846: Retinotomy NEC,C84,C84: Other operations on retina,C79-C91,"C79-C91: Retina, other parts of eye and anaesthetics",C,C: Eye,4.3,Live
C848,5,C848,C848: Other specified other operations on retina,C84,C84: Other operations on retina,C79-C91,"C79-C91: Retina, other parts of eye and anaesthetics",C,C: Eye,4.2,Live
C851,147,C851,C851: Retinopexy using cryotherapy,C85,C85: Fixation of retina,C79-C91,"C79-C91: Retina, other parts of eye and anaesthetics",C,C: Eye,4.3,Live
C852,1,C852,C852: Retinopexy using diathermy,C85,C85: Fixation of retina,C79-C91,"C79-C91: Retina, other parts of eye and anaesthetics",C,C: Eye,4.3,Live
C855,28,C855,C855: Retinopexy NEC,C85,C85: Fixation of retina,C79-C91,"C79-C91: Retina, other parts of eye and anaesthetics",C,C: Eye,4.3,Live
C858,21,C858,C858: Other specified fixation of retina,C85,C85: Fixation of retina,C79-C91,"C79-C91: Retina, other parts of eye and anaesthetics",C,C: Eye,4.3,Live
C052,3,C052,C052: Plastic repair of cavity of orbit,C05,C05: Plastic repair of orbit,C01-C08,C01-C08: Orbit,C,C: Eye,4.2,Live
C058,4,C058,C058: Other specified plastic repair of orbit,C05,C05: Plastic repair of orbit,C01-C08,C01-C08: Orbit,C,C: Eye,4.2,Live
C186,3,C186,C186: Correction of ptosis of eyelid using aponeurosis technique,C18,C18: Correction of ptosis of eyelid,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C191,33,C191,C191: Drainage of lesion of eyelid,C19,C19: Incision of eyelid,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C198,1,C198,C198: Other specified incision of eyelid,C19,C19: Incision of eyelid,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C202,7,C202,C202: Central protective suture of eyelid,C20,C20: Protective suture of eyelid,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C203,12,C203,C203: Lateral protective suture of eyelid,C20,C20: Protective suture of eyelid,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C204,1,C204,C204: Medial protective suture of eyelid,C20,C20: Protective suture of eyelid,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C205,1,C205,C205: Removal of protective suture from eyelid,C20,C20: Protective suture of eyelid,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C208,5,C208,C208: Other specified protective suture of eyelid,C20,C20: Protective suture of eyelid,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C209,10,C209,C209: Unspecified protective suture of eyelid,C20,C20: Protective suture of eyelid,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C222,141,C222,C222: Biopsy of lesion of eyelid,C22,C22: Other operations on eyelid,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C223,6,C223,C223: Removal of foreign body from eyelid,C22,C22: Other operations on eyelid,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C224,57,C224,C224: Injection into eyelid,C22,C22: Other operations on eyelid,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C225,10,C225,C225: Exploration of eyelid,C22,C22: Other operations on eyelid,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C226,10,C226,C226: Epilation of eyelash,C22,C22: Other operations on eyelid,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C228,44,C228,C228: Other specified other operations on eyelid,C22,C22: Other operations on eyelid,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.2,Live
C231,5,C231,C231: Insertion of weight into upper eyelid,C23,C23: Operations on eyelid,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.7,Live
C232,1,C232,C232: Renewal of weight into upper eyelid,C23,C23: Operations on eyelid,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.7,Live
C233,3,C233,C233: Removal of weight from upper eyelid,C23,C23: Operations on eyelid,C09-C23,C09-C23: Eyebrow and eyelid,C,C: Eye,4.7,Live
C244,4,C244,C244: Biopsy of lesion of lacrimal gland,C24,C24: Operations on lacrimal gland,C24-C29,C24-C29: Lacrimal apparatus,C,C: Eye,4.2,Live
C245,1,C245,C245: Incision of lacrimal gland,C24,C24: Operations on lacrimal gland,C24-C29,C24-C29: Lacrimal apparatus,C,C: Eye,4.2,Live
C248,2,C248,C248: Other specified operations on lacrimal gland,C24,C24: Operations on lacrimal gland,C24-C29,C24-C29: Lacrimal apparatus,C,C: Eye,4.2,Live
C253,6,C253,C253: Dacryocystorhinostomy and insertion of tube HFQ,C25,C25: Connection between lacrimal apparatus and nose,C24-C29,C24-C29: Lacrimal apparatus,C,C: Eye,4.2,Live
C254,2,C254,C254: Dacryocystorhinostomy NEC,C25,C25: Connection between lacrimal apparatus and nose,C24-C29,C24-C29: Lacrimal apparatus,C,C: Eye,4.2,Live
C258,5,C258,C258: Other specified connection between lacrimal apparatus and nose,C25,C25: Connection between lacrimal apparatus and nose,C24-C29,C24-C29: Lacrimal apparatus,C,C: Eye,4.2,Live
C261,1,C261,C261: Excision of lacrimal sac,C26,C26: Other operations on lacrimal sac,C24-C29,C24-C29: Lacrimal apparatus,C,C: Eye,4.2,Live
C264,10,C264,C264: Incision of lacrimal sac,C26,C26: Other operations on lacrimal sac,C24-C29,C24-C29: Lacrimal apparatus,C,C: Eye,4.2,Live
C268,4,C268,C268: Other specified other operations on lacrimal sac,C26,C26: Other operations on lacrimal sac,C24-C29,C24-C29: Lacrimal apparatus,C,C: Eye,4.2,Live
C812,142,C812,C812: Laser photocoagulation of retina for detachment,C81,C81: Photocoagulation of retina for detachment,C79-C91,"C79-C91: Retina, other parts of eye and anaesthetics",C,C: Eye,4.2,Live
C818,1,C818,C818: Other specified photocoagulation of retina for detachment,C81,C81: Photocoagulation of retina for detachment,C79-C91,"C79-C91: Retina, other parts of eye and anaesthetics",C,C: Eye,4.2,Live
C821,2,C821,C821: Cauterisation of lesion of retina,C82,C82: Destruction of lesion of retina,C79-C91,"C79-C91: Retina, other parts of eye and anaesthetics",C,C: Eye,4.2,Live
C822,20,C822,C822: Cryotherapy to lesion of retina,C82,C82: Destruction of lesion of retina,C79-C91,"C79-C91: Retina, other parts of eye and anaesthetics",C,C: Eye,4.2,Live
C823,1,C823,C823: External beam radiotherapy to lesion of retina,C82,C82: Destruction of lesion of retina,C79-C91,"C79-C91: Retina, other parts of eye and anaesthetics",C,C: Eye,4.2,Live
C824,1,C824,C824: Plaque radiotherapy to lesion of retina,C82,C82: Destruction of lesion of retina,C79-C91,"C79-C91: Retina, other parts of eye and anaesthetics",C,C: Eye,4.3,Live
C825,52,C825,C825: Panretinal laser photocoagulation to lesion of retina,C82,C82: Destruction of lesion of retina,C79-C91,"C79-C91: Retina, other parts of eye and anaesthetics",C,C: Eye,4.3,Live
C826,9,C826,C826: Laser photocoagulation to lesion of retina NEC,C82,C82: Destruction of lesion of retina,C79-C91,"C79-C91: Retina, other parts of eye and anaesthetics",C,C: Eye,4.3,Live
E059,17,E059,E059: Unspecified surgical arrest of bleeding from internal nose,E05,E05: Surgical arrest of bleeding from internal nose,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.2,Live
E061,1168,E061,E061: Packing of posterior cavity of nose NEC,E06,E06: Packing of cavity of nose,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.2,Live
E062,3224,E062,E062: Packing of anterior cavity of nose NEC,E06,E06: Packing of cavity of nose,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.2,Live
E063,5800,E063,E063: Removal of packing from cavity of nose,E06,E06: Packing of cavity of nose,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.2,Live
E064,11405,E064,E064: Balloon packing of cavity of nose,E06,E06: Packing of cavity of nose,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.4,Live
E068,585,E068,E068: Other specified packing of cavity of nose,E06,E06: Packing of cavity of nose,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.2,Live
E069,2472,E069,E069: Unspecified packing of cavity of nose,E06,E06: Packing of cavity of nose,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.2,Live
E081,15,E081,E081: Polypectomy of internal nose,E08,E08: Other operations on internal nose,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.2,Live
E082,24,E082,E082: Extirpation of lesion of internal nose NEC,E08,E08: Other operations on internal nose,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.2,Live
E084,3,E084,E084: Division of adhesions of internal nose,E08,E08: Other operations on internal nose,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.2,Live
E085,19,E085,E085: Removal of foreign body from cavity of nose,E08,E08: Other operations on internal nose,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.2,Live
E086,1,E086,E086: Surgical closure of anterior nares,E08,E08: Other operations on internal nose,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.3,Live
E088,177,E088,E088: Other specified other operations on internal nose,E08,E08: Other operations on internal nose,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.2,Live
E089,1,E089,E089: Unspecified other operations on internal nose,E08,E08: Other operations on internal nose,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.2,Live
E091,88,E091,E091: Excision of lesion of external nose,E09,E09: Operations on external nose,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.2,Live
E092,20,E092,E092: Destruction of lesion of external nose NEC,E09,E09: Operations on external nose,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.2,Live
E093,782,E093,E093: Suture of external nose,E09,E09: Operations on external nose,"E01-E11, E64-E66","E01-E11, E64-E66: Nose",E,E: Respiratory Tract,4.2,Live
F291,1,F291,F291: Primary repair of cleft palate,F29,F29: Correction of deformity of palate,F22-F32,F22-F32: Tongue and palate,F,F: Mouth,4.2,Live
F302,1,F302,F302: Plastic repair of palate using flap of skin,F30,F30: Other repair of palate,F22-F32,F22-F32: Tongue and palate,F,F: Mouth,4.2,Live
F307,3,F307,F307: Suture of palate,F30,F30: Other repair of palate,F22-F32,F22-F32: Tongue and palate,F,F: Mouth,4.2,Live
F321,46,F321,F321: Biopsy of lesion of palate,F32,F32: Other operations on palate,F22-F32,F22-F32: Tongue and palate,F,F: Mouth,4.2,Live
F322,2,F322,F322: Removal of foreign body from palate,F32,F32: Other operations on palate,F22-F32,F22-F32: Tongue and palate,F,F: Mouth,4.2,Live
F323,2,F323,F323: Incision of palate,F32,F32: Other operations on palate,F22-F32,F22-F32: Tongue and palate,F,F: Mouth,4.2,Live
F324,1,F324,F324: Operations on uvula NEC,F32,F32: Other operations on palate,F22-F32,F22-F32: Tongue and palate,F,F: Mouth,4.2,Live
F328,20,F328,F328: Other specified other operations on palate,F32,F32: Other operations on palate,F22-F32,F22-F32: Tongue and palate,F,F: Mouth,4.2,Live
F341,9,F341,F341: Bilateral dissection tonsillectomy,F34,F34: Excision of tonsil,"F34-F43, F64-F67","F34-F43, F64-F67: Tonsil and other parts of mouth",F,F: Mouth,4.2,Live
F344,1,F344,F344: Bilateral excision of tonsil NEC,F34,F34: Excision of tonsil,"F34-F43, F64-F67","F34-F43, F64-F67: Tonsil and other parts of mouth",F,F: Mouth,4.2,Live
G182,24,G182,G182: Endoscopic balloon dilation of oesophagus using rigid oesophagoscope,G18,G18: Other therapeutic endoscopic operations on oesophagus using rigid oesophagoscope,G01-G25,G01-G25: Oesophagus including hiatus hernia,G,G: Upper Digestive System,4.2,Live
G183,10,G183,G183: Endoscopic dilation of oesophagus using rigid oesophagoscope NEC,G18,G18: Other therapeutic endoscopic operations on oesophagus using rigid oesophagoscope,G01-G25,G01-G25: Oesophagus including hiatus hernia,G,G: Upper Digestive System,4.2,Live
G184,7,G184,G184: Endoscopic insertion of tubal prosthesis into oesophagus using rigid oesophagoscope,G18,G18: Other therapeutic endoscopic operations on oesophagus using rigid oesophagoscope,G01-G25,G01-G25: Oesophagus including hiatus hernia,G,G: Upper Digestive System,4.2,Live
G185,1,G185,G185: Dilation of web of oesophagus using rigid oesophagoscope,G18,G18: Other therapeutic endoscopic operations on oesophagus using rigid oesophagoscope,G01-G25,G01-G25: Oesophagus including hiatus hernia,G,G: Upper Digestive System,4.3,Live
