First_Procedure_Code,amb_vac_prev_count,OPCS_L4_Code,OPCS_L4_Desc,OPCS_L3_Code,OPCS_L3_Desc,OPCS_L2_Code,OPCS_L2_Desc,OPCS_L1_Code,OPCS_L1_Desc,OPCS_Version,OPCS_Status
H442,19,H442,H442: Manual reduction of prolapse of rectum,H44,H44: Manipulation of rectum,"H33-H36, H40-H46","H33-H36, H40-H46: Rectum",H,H: Lower Digestive System,4.2,Live
H443,75,H443,H443: Manual evacuation of impacted faeces from rectum,H44,H44: Manipulation of rectum,"H33-H36, H40-H46","H33-H36, H40-H46: Rectum",H,H: Lower Digestive System,4.2,Live
H444,2,H444,H444: Examination of rectum under anaesthetic,H44,H44: Manipulation of rectum,"H33-H36, H40-H46","H33-H36, H40-H46: Rectum",H,H: Lower Digestive System,4.2,Live
H448,4,H448,H448: Other specified manipulation of rectum,H44,H44: Manipulation of rectum,"H33-H36, H40-H46","H33-H36, H40-H46: Rectum",H,H: Lower Digestive System,4.2,Live
H449,1,H449,H449: Unspecified manipulation of rectum,H44,H44: Manipulation of rectum,"H33-H36, H40-H46","H33-H36, H40-H46: Rectum",H,H: Lower Digestive System,4.2,Live
L746,1,L746,L746: Creation of graft fistula for dialysis,L74,L74: Arteriovenous shunt,L73-L99,L73-L99: Veins and other blood vessels,L,L: Arteries and Veins,4.3,Live
A706,1,A706,A706: Acupuncture NEC,A70,A70: Neurostimulation of peripheral nerve,A59-A73,A59-A73: Peripheral nerves,A,A: Nervous System,4.4,Live
A735,78,A735,A735: Injection of therapeutic substance around peripheral nerve,A73,A73: Other operations on peripheral nerve,A59-A73,A59-A73: Peripheral nerves,A,A: Nervous System,4.2,Live
A738,4,A738,A738: Other specified other operations on peripheral nerve,A73,A73: Other operations on peripheral nerve,A59-A73,A59-A73: Peripheral nerves,A,A: Nervous System,4.2,Live
B321,20,B321,B321: Percutaneous biopsy of lesion of breast,B32,B32: Biopsy of breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
B322,21,B322,B322: Biopsy of lesion of breast NEC,B32,B32: Biopsy of breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
B323,1,B323,B323: Wire guided biopsy of lesion of breast,B32,B32: Biopsy of breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.3,Live
B331,3,B331,B331: Drainage of lesion of breast,B33,B33: Incision of breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
B371,5,B371,B371: Aspiration of lesion of breast,B37,B37: Other operations on breast,B27-B45,B27-B45: Breast,B,B: Endocrine System and Breast,4.2,Live
C451,1,C451,C451: Superficial keratectomy,C45,C45: Extirpation of lesion of cornea,C39-C51,C39-C51: Conjunctiva and cornea,C,C: Eye,4.2,Live
D021,2,D021,D021: Excision of lesion of external ear,D02,D02: Extirpation of lesion of external ear,D01-D08,D01-D08: External ear and external auditory canal,D,D: Ear,4.2,Live
D041,1,D041,D041: Drainage of haematoma of external ear,D04,D04: Drainage of external ear,D01-D08,D01-D08: External ear and external auditory canal,D,D: Ear,4.2,Live
D042,1,D042,D042: Drainage of abscess of external ear,D04,D04: Drainage of external ear,D01-D08,D01-D08: External ear and external auditory canal,D,D: Ear,4.2,Live
D048,1,D048,D048: Other specified drainage of external ear,D04,D04: Drainage of external ear,D01-D08,D01-D08: External ear and external auditory canal,D,D: Ear,4.2,Live
D061,2,D061,D061: Biopsy of lesion of external ear,D06,D06: Other operations on external ear,D01-D08,D01-D08: External ear and external auditory canal,D,D: Ear,4.2,Live
D062,1,D062,D062: Repair of lobe of external ear,D06,D06: Other operations on external ear,D01-D08,D01-D08: External ear and external auditory canal,D,D: Ear,4.2,Live
D063,6,D063,D063: Repair of external ear NEC,D06,D06: Other operations on external ear,D01-D08,D01-D08: External ear and external auditory canal,D,D: Ear,4.2,Live
E238,1,E238,E238: Other specified other open operations on pharynx,E23,E23: Other open operations on pharynx,E19-E28,E19-E28: Pharynx,E,E: Respiratory Tract,4.2,Live
E241,1,E241,E241: Endoscopic extirpation of lesion of nasopharynx,E24,E24: Therapeutic endoscopic operations on pharynx,E19-E28,E19-E28: Pharynx,E,E: Respiratory Tract,4.2,Live
E243,3,E243,E243: Endoscopic operations on pharyngeal pouch,E24,E24: Therapeutic endoscopic operations on pharynx,E19-E28,E19-E28: Pharynx,E,E: Respiratory Tract,4.7,Live
E248,1,E248,E248: Other specified therapeutic endoscopic operations on pharynx,E24,E24: Therapeutic endoscopic operations on pharynx,E19-E28,E19-E28: Pharynx,E,E: Respiratory Tract,4.2,Live
E252,1,E252,E252: Diagnostic endoscopic examination of pharynx and biopsy of lesion of pharynx NEC,E25,E25: Diagnostic endoscopic examination of pharynx,E19-E28,E19-E28: Pharynx,E,E: Respiratory Tract,4.2,Live
E253,94,E253,E253: Diagnostic endoscopic examination of nasopharynx NEC,E25,E25: Diagnostic endoscopic examination of pharynx,E19-E28,E19-E28: Pharynx,E,E: Respiratory Tract,4.2,Live
E258,1,E258,E258: Other specified diagnostic endoscopic examination of pharynx,E25,E25: Diagnostic endoscopic examination of pharynx,E19-E28,E19-E28: Pharynx,E,E: Respiratory Tract,4.2,Live
E259,192,E259,E259: Unspecified diagnostic endoscopic examination of pharynx,E25,E25: Diagnostic endoscopic examination of pharynx,E19-E28,E19-E28: Pharynx,E,E: Respiratory Tract,4.2,Live
E274,3,E274,E274: Removal of foreign body from pharynx,E27,E27: Other operations on pharynx,E19-E28,E19-E28: Pharynx,E,E: Respiratory Tract,4.2,Live
J388,2,J388,J388: Other specified endoscopic incision of sphincter of Oddi,J38,J38: Endoscopic incision of sphincter of Oddi,"J27-J53, J76","J27-J53, J76: Bile duct",J,"J: Other Abdominal Organs, Principally Digestive",4.2,Live
J393,3,J393,J393: Endoscopic sphincteroplasty of ampulla of Vater and removal of calculus HFQ,J39,J39: Other therapeutic endoscopic operations on ampulla of Vater,"J27-J53, J76","J27-J53, J76: Bile duct",J,"J: Other Abdominal Organs, Principally Digestive",4.9,Live
J398,2,J398,J398: Other specified other therapeutic endoscopic operations on ampulla of Vater,J39,J39: Other therapeutic endoscopic operations on ampulla of Vater,"J27-J53, J76","J27-J53, J76: Bile duct",J,"J: Other Abdominal Organs, Principally Digestive",4.2,Live
J402,5,J402,J402: Endoscopic retrograde insertion of tubal prosthesis into bile duct NEC,J40,J40: Endoscopic retrograde placement of prosthesis in bile duct,"J27-J53, J76","J27-J53, J76: Bile duct",J,"J: Other Abdominal Organs, Principally Digestive",4.2,Live
J403,3,J403,J403: Endoscopic retrograde renewal of tubal prosthesis in bile duct NEC,J40,J40: Endoscopic retrograde placement of prosthesis in bile duct,"J27-J53, J76","J27-J53, J76: Bile duct",J,"J: Other Abdominal Organs, Principally Digestive",4.2,Live
J404,1,J404,J404: Endoscopic retrograde removal of tubal prosthesis from bile duct,J40,J40: Endoscopic retrograde placement of prosthesis in bile duct,"J27-J53, J76","J27-J53, J76: Bile duct",J,"J: Other Abdominal Organs, Principally Digestive",4.2,Live
J661,1,J661,J661: Percutaneous drainage of lesion of pancreas and insertion of cystogastrostomy tube NEC,J66,J66: Therapeutic percutaneous operations on pancreas,J54-J68,J54-J68: Pancreas,J,"J: Other Abdominal Organs, Principally Digestive",4.2,Live
J662,1,J662,J662: Percutaneous drainage of lesion of pancreas and insertion of temporary external drain HFQ,J66,J66: Therapeutic percutaneous operations on pancreas,J54-J68,J54-J68: Pancreas,J,"J: Other Abdominal Organs, Principally Digestive",4.2,Live
J688,1,J688,J688: Other specified other operations on pancreas,J68,J68: Other operations on pancreas,J54-J68,J54-J68: Pancreas,J,"J: Other Abdominal Organs, Principally Digestive",4.4,Live
J692,1,J692,J692: Total splenectomy,J69,J69: Total excision of spleen,J69-J72,J69-J72: Spleen,J,"J: Other Abdominal Organs, Principally Digestive",4.2,Live
J699,1,J699,J699: Unspecified total excision of spleen,J69,J69: Total excision of spleen,J69-J72,J69-J72: Spleen,J,"J: Other Abdominal Organs, Principally Digestive",4.2,Live
J741,1,J741,J741: Endoscopic ultrasound examination of pancreas and biopsy of lesion of pancreas,J74,J74: Endoscopic ultrasound examination of pancreas,J73-J74,J73-J74: Pancreas,J,"J: Other Abdominal Organs, Principally Digestive",4.3,Live
J749,1,J749,J749: Unspecified endoscopic ultrasound examination of pancreas,J74,J74: Endoscopic ultrasound examination of pancreas,J73-J74,J73-J74: Pancreas,J,"J: Other Abdominal Organs, Principally Digestive",4.3,Live
K631,10,K631,K631: Angiocardiography of combination of right and left side of heart,K63,K63: Contrast radiology of heart,K52-K78,K52-K78: Other parts of heart and pericardium,K,K: Heart,4.2,Live
K632,2,K632,K632: Angiocardiography of right side of heart NEC,K63,K63: Contrast radiology of heart,K52-K78,K52-K78: Other parts of heart and pericardium,K,K: Heart,4.2,Live
K633,32,K633,K633: Angiocardiography of left side of heart NEC,K63,K63: Contrast radiology of heart,K52-K78,K52-K78: Other parts of heart and pericardium,K,K: Heart,4.2,Live
K634,197,K634,K634: Coronary arteriography using two catheters,K63,K63: Contrast radiology of heart,K52-K78,K52-K78: Other parts of heart and pericardium,K,K: Heart,4.2,Live
K635,36,K635,K635: Coronary arteriography using single catheter,K63,K63: Contrast radiology of heart,K52-K78,K52-K78: Other parts of heart and pericardium,K,K: Heart,4.2,Live
K636,62,K636,K636: Coronary arteriography NEC,K63,K63: Contrast radiology of heart,K52-K78,K52-K78: Other parts of heart and pericardium,K,K: Heart,4.2,Live
K639,1,K639,K639: Unspecified contrast radiology of heart,K63,K63: Contrast radiology of heart,K52-K78,K52-K78: Other parts of heart and pericardium,K,K: Heart,4.2,Live
K652,1,K652,K652: Catheterisation of right side of heart NEC,K65,K65: Catheterisation of heart,K52-K78,K52-K78: Other parts of heart and pericardium,K,K: Heart,4.2,Live
K653,1,K653,K653: Catheterisation of left side of heart NEC,K65,K65: Catheterisation of heart,K52-K78,K52-K78: Other parts of heart and pericardium,K,K: Heart,4.2,Live
E499,132,E499,E499: Unspecified diagnostic fibreoptic endoscopic examination of lower respiratory tract,E49,E49: Diagnostic fibreoptic endoscopic examination of lower respiratory tract,"E39-E52, E67","E39-E52, E67: Trachea and bronchus",E,E: Respiratory Tract,4.2,Live
E503,1,E503,E503: Endoscopic destruction of lesion of lower respiratory tract using rigid bronchoscope NEC,E50,E50: Therapeutic endoscopic operations on lower respiratory tract using rigid bronchoscope,"E39-E52, E67","E39-E52, E67: Trachea and bronchus",E,E: Respiratory Tract,4.2,Live
E504,1,E504,E504: Endoscopic aspiration of lower respiratory tract using rigid bronchoscope,E50,E50: Therapeutic endoscopic operations on lower respiratory tract using rigid bronchoscope,"E39-E52, E67","E39-E52, E67: Trachea and bronchus",E,E: Respiratory Tract,4.2,Live
E505,2,E505,E505: Endoscopic removal of foreign body from lower respiratory tract using rigid bronchoscope,E50,E50: Therapeutic endoscopic operations on lower respiratory tract using rigid bronchoscope,"E39-E52, E67","E39-E52, E67: Trachea and bronchus",E,E: Respiratory Tract,4.2,Live
E506,2,E506,E506: Endoscopic irrigation of lower respiratory tract using rigid bronchoscope,E50,E50: Therapeutic endoscopic operations on lower respiratory tract using rigid bronchoscope,"E39-E52, E67","E39-E52, E67: Trachea and bronchus",E,E: Respiratory Tract,4.2,Live
E508,2,E508,E508: Other specified therapeutic endoscopic operations on lower respiratory tract using rigid bronchoscope,E50,E50: Therapeutic endoscopic operations on lower respiratory tract using rigid bronchoscope,"E39-E52, E67","E39-E52, E67: Trachea and bronchus",E,E: Respiratory Tract,4.2,Live
F104,6,F104,F104: Extraction of multiple teeth NEC,F10,F10: Simple extraction of tooth,"F08-F21, F65-F66","F08-F21, F65-F66: Tooth and gingiva",F,F: Mouth,4.2,Live
F105,2,F105,F105: Extraction of retained root of tooth,F10,F10: Simple extraction of tooth,"F08-F21, F65-F66","F08-F21, F65-F66: Tooth and gingiva",F,F: Mouth,4.9,Live
F109,13,F109,F109: Unspecified simple extraction of tooth,F10,F10: Simple extraction of tooth,"F08-F21, F65-F66","F08-F21, F65-F66: Tooth and gingiva",F,F: Mouth,4.2,Live
F132,1,F132,F132: Partial restoration of crown of tooth,F13,F13: Restoration of tooth,"F08-F21, F65-F66","F08-F21, F65-F66: Tooth and gingiva",F,F: Mouth,4.2,Live
F135,1,F135,F135: Restoration of part of tooth using filling NEC,F13,F13: Restoration of tooth,"F08-F21, F65-F66","F08-F21, F65-F66: Tooth and gingiva",F,F: Mouth,4.2,Live
F581,1,F581,F581: Operations on parotid duct NEC,F58,F58: Other operations on salivary duct,F44-F58,F44-F58: Salivary apparatus,F,F: Mouth,4.2,Live
F588,3,F588,F588: Other specified other operations on salivary duct,F58,F58: Other operations on salivary duct,F44-F58,F44-F58: Salivary apparatus,F,F: Mouth,4.2,Live
F638,1,F638,F638: Other specified insertion of dental prosthesis,F63,F63: Insertion of dental prosthesis,F63,F63: Other dental,F,F: Mouth,4.3,Live
G305,2,G305,G305: Maintenance of gastric band,G30,G30: Plastic operations on stomach,G26-G48,G26-G48: Stomach pylorus and general upper gastrointestinal tract endoscopy,G,G: Upper Digestive System,4.5,Live
G325,1,G325,G325: Attention to connection of stomach to transposed jejunum,G32,G32: Connection of stomach to transposed jejunum,G26-G48,G26-G48: Stomach pylorus and general upper gastrointestinal tract endoscopy,G,G: Upper Digestive System,4.3,Live
G331,2,G331,G331: Bypass of stomach by anastomosis of stomach to jejunum NEC,G33,G33: Other connection of stomach to jejunum,G26-G48,G26-G48: Stomach pylorus and general upper gastrointestinal tract endoscopy,G,G: Upper Digestive System,4.2,Live
G332,1,G332,G332: Revision of anastomosis of stomach to jejunum NEC,G33,G33: Other connection of stomach to jejunum,G26-G48,G26-G48: Stomach pylorus and general upper gastrointestinal tract endoscopy,G,G: Upper Digestive System,4.2,Live
G336,2,G336,G336: Attention to connection of stomach to jejunum,G33,G33: Other connection of stomach to jejunum,G26-G48,G26-G48: Stomach pylorus and general upper gastrointestinal tract endoscopy,G,G: Upper Digestive System,4.3,Live
G338,1,G338,G338: Other specified other connection of stomach to jejunum,G33,G33: Other connection of stomach to jejunum,G26-G48,G26-G48: Stomach pylorus and general upper gastrointestinal tract endoscopy,G,G: Upper Digestive System,4.2,Live
G341,5,G341,G341: Creation of permanent gastrostomy,G34,G34: Artificial opening into stomach,G26-G48,G26-G48: Stomach pylorus and general upper gastrointestinal tract endoscopy,G,G: Upper Digestive System,4.2,Live
L622,4,L622,L622: Open embolectomy of femoral artery,L62,L62: Other open operations on femoral artery,L48-L63,L48-L63: Iliac and femoral arteries,L,L: Arteries and Veins,4.2,Live
L631,10,L631,L631: Percutaneous transluminal angioplasty of femoral artery,L63,L63: Transluminal operations on femoral artery,L48-L63,L48-L63: Iliac and femoral arteries,L,L: Arteries and Veins,4.2,Live
L633,1,L633,L633: Percutaneous transluminal embolisation of femoral artery,L63,L63: Transluminal operations on femoral artery,L48-L63,L48-L63: Iliac and femoral arteries,L,L: Arteries and Veins,4.2,Live
L634,7,L634,L634: Arteriography of femoral artery,L63,L63: Transluminal operations on femoral artery,L48-L63,L48-L63: Iliac and femoral arteries,L,L: Arteries and Veins,4.2,Live
L635,1,L635,L635: Percutaneous transluminal insertion of stent into femoral artery,L63,L63: Transluminal operations on femoral artery,L48-L63,L48-L63: Iliac and femoral arteries,L,L: Arteries and Veins,4.3,Live
L665,1,L665,L665: Percutaneous transluminal balloon angioplasty of artery,L66,L66: Other therapeutic transluminal operations on artery,L65-L72,L65-L72: Other arteries,L,L: Arteries and Veins,4.3,Live
L986,1,L986,L986: Placement of Doppler ultrasound probe into microvascular vessel anastomosis,L98,L98: Operations on microvascular vessel,L73-L99,L73-L99: Veins and other blood vessels,L,L: Arteries and Veins,4.5,Live
L997,1458,L997,L997: Percutaneous transluminal peripheral insertion of central catheter,L99,L99: Other therapeutic transluminal operations on vein,L73-L99,L73-L99: Veins and other blood vessels,L,L: Arteries and Veins,4.3,Live
M455,4,M455,M455: Diagnostic endoscopic examination of bladder using rigid cystoscope,M45,M45: Diagnostic endoscopic examination of bladder,M34-M49,M34-M49: Bladder,M,M: Urinary,4.3,Live
M459,110,M459,M459: Unspecified diagnostic endoscopic examination of bladder,M45,M45: Diagnostic endoscopic examination of bladder,M34-M49,M34-M49: Bladder,M,M: Urinary,4.2,Live
M471,604,M471,M471: Urethral irrigation of bladder,M47,M47: Urethral catheterisation of bladder,M34-M49,M34-M49: Bladder,M,M: Urinary,4.2,Live
M472,1608,M472,M472: Change of urethral catheter into bladder,M47,M47: Urethral catheterisation of bladder,M34-M49,M34-M49: Bladder,M,M: Urinary,4.2,Live
M473,1708,M473,M473: Removal of urethral catheter from bladder,M47,M47: Urethral catheterisation of bladder,M34-M49,M34-M49: Bladder,M,M: Urinary,4.2,Live
M475,96,M475,M475: Maintenance of urethral catheter in bladder,M47,M47: Urethral catheterisation of bladder,M34-M49,M34-M49: Bladder,M,M: Urinary,4.4,Live
M478,49,M478,M478: Other specified urethral catheterisation of bladder,M47,M47: Urethral catheterisation of bladder,M34-M49,M34-M49: Bladder,M,M: Urinary,4.2,Live
M479,21845,M479,M479: Unspecified urethral catheterisation of bladder,M47,M47: Urethral catheterisation of bladder,M34-M49,M34-M49: Bladder,M,M: Urinary,4.2,Live
M481,4,M481,M481: Suprapubic aspiration of bladder,M48,M48: Operations on bladder,M34-M49,M34-M49: Bladder,M,M: Urinary,4.4,Live
M492,211,M492,M492: Change of suprapubic tube into bladder,M49,M49: Other operations on bladder,M34-M49,M34-M49: Bladder,M,M: Urinary,4.2,Live
M493,3,M493,M493: Removal of suprapubic tube from bladder,M49,M49: Other operations on bladder,M34-M49,M34-M49: Bladder,M,M: Urinary,4.2,Live
M494,1,M494,M494: Introduction of therapeutic substance into bladder,M49,M49: Other operations on bladder,M34-M49,M34-M49: Bladder,M,M: Urinary,4.2,Live
M497,1,M497,M497: High intensity focused ultrasound of bladder,M49,M49: Other operations on bladder,M34-M49,M34-M49: Bladder,M,M: Urinary,4.4,Live
M498,13,M498,M498: Other specified other operations on bladder,M49,M49: Other operations on bladder,M34-M49,M34-M49: Bladder,M,M: Urinary,4.2,Live
N092,1,N092,N092: One stage orchidopexy NEC,N09,N09: Other placement of testis in scrotum,N01-N13,N01-N13: Scrotum and testis,N,N: Male Genital Organs,4.2,Live
N115,1,N115,N115: Aspiration of hydrocele sac,N11,N11: Operations on hydrocele sac,N01-N13,N01-N13: Scrotum and testis,N,N: Male Genital Organs,4.2,Live
N135,1,N135,N135: Exploration of testis,N13,N13: Other operations on testis,N01-N13,N01-N13: Scrotum and testis,N,N: Male Genital Organs,4.2,Live
N179,1,N179,N179: Unspecified excision of vas deferens,N17,N17: Excision of vas deferens,N15-N24,N15-N24: Spermatic cord and male perineum,N,N: Male Genital Organs,4.2,Live
H464,12,H464,H464: Intubation of rectum NEC,H46,H46: Other operations on rectum,"H33-H36, H40-H46","H33-H36, H40-H46: Rectum",H,H: Lower Digestive System,4.2,Live
H468,3,H468,H468: Other specified other operations on rectum,H46,H46: Other operations on rectum,"H33-H36, H40-H46","H33-H36, H40-H46: Rectum",H,H: Lower Digestive System,4.2,Live
H489,1,H489,H489: Unspecified excision of lesion of anus,H48,H48: Excision of lesion of anus,H47-H73,H47-H73: Anus and perianal region,H,H: Lower Digestive System,4.2,Live
J091,1,J091,J091: Diagnostic endoscopic examination of liver and biopsy of lesion of liver using laparoscope,J09,J09: Diagnostic endoscopic examination of liver using laparoscope,"J01-J17, J77","J01-J17, J77: Liver",J,"J: Other Abdominal Organs, Principally Digestive",4.2,Live
J101,1,J101,J101: Percutaneous transluminal embolisation of hepatic artery,J10,J10: Transluminal operations on blood vessel of liver,"J01-J17, J77","J01-J17, J77: Liver",J,"J: Other Abdominal Organs, Principally Digestive",4.2,Live
J121,17,J121,J121: Percutaneous drainage of liver,J12,J12: Other therapeutic percutaneous operations on liver,"J01-J17, J77","J01-J17, J77: Liver",J,"J: Other Abdominal Organs, Principally Digestive",4.2,Live
J405,1,J405,J405: Endoscopic retrograde insertion of expanding covered metal stent into bile duct,J40,J40: Endoscopic retrograde placement of prosthesis in bile duct,"J27-J53, J76","J27-J53, J76: Bile duct",J,"J: Other Abdominal Organs, Principally Digestive",4.3,Live
J406,1,J406,J406: Endoscopic retrograde insertion of expanding metal stent into bile duct NEC,J40,J40: Endoscopic retrograde placement of prosthesis in bile duct,"J27-J53, J76","J27-J53, J76: Bile duct",J,"J: Other Abdominal Organs, Principally Digestive",4.3,Live
J411,8,J411,J411: Endoscopic retrograde extraction of calculus from bile duct,J41,J41: Other therapeutic endoscopic retrograde operations on bile duct,"J27-J53, J76","J27-J53, J76: Bile duct",J,"J: Other Abdominal Organs, Principally Digestive",4.2,Live
J418,1,J418,J418: Other specified other therapeutic endoscopic retrograde operations on bile duct,J41,J41: Other therapeutic endoscopic retrograde operations on bile duct,"J27-J53, J76","J27-J53, J76: Bile duct",J,"J: Other Abdominal Organs, Principally Digestive",4.2,Live
J439,6,J439,J439: Unspecified diagnostic endoscopic retrograde examination of bile duct and pancreatic duct,J43,J43: Diagnostic endoscopic retrograde examination of bile duct and pancreatic duct,"J27-J53, J76","J27-J53, J76: Bile duct",J,"J: Other Abdominal Organs, Principally Digestive",4.2,Live
J449,2,J449,J449: Unspecified diagnostic endoscopic retrograde examination of bile duct,J44,J44: Diagnostic endoscopic retrograde examination of bile duct,"J27-J53, J76","J27-J53, J76: Bile duct",J,"J: Other Abdominal Organs, Principally Digestive",4.2,Live
K255,1,K255,K255: Mitral valve repair NEC,K25,K25: Plastic repair of mitral valve,K25-K38,K25-K38: Valves of heart and adjacent structures,K,K: Heart,4.2,Live
K265,1,K265,K265: Aortic valve repair NEC,K26,K26: Plastic repair of aortic valve,K25-K38,K25-K38: Valves of heart and adjacent structures,K,K: Heart,4.2,Live
K491,3,K491,K491: Percutaneous transluminal balloon angioplasty of one coronary artery,K49,K49: Transluminal balloon angioplasty of coronary artery,K40-K51,K40-K51: Coronary artery,K,K: Heart,4.2,Live
K492,1,K492,K492: Percutaneous transluminal balloon angioplasty of multiple coronary arteries,K49,K49: Transluminal balloon angioplasty of coronary artery,K40-K51,K40-K51: Coronary artery,K,K: Heart,4.2,Live
K494,1,K494,K494: Percutaneous transluminal cutting balloon angioplasty of coronary artery,K49,K49: Transluminal balloon angioplasty of coronary artery,K40-K51,K40-K51: Coronary artery,K,K: Heart,4.3,Live
K499,1,K499,K499: Unspecified transluminal balloon angioplasty of coronary artery,K49,K49: Transluminal balloon angioplasty of coronary artery,K40-K51,K40-K51: Coronary artery,K,K: Heart,4.2,Live
K508,1,K508,K508: Other specified other therapeutic transluminal operations on coronary artery,K50,K50: Other therapeutic transluminal operations on coronary artery,K40-K51,K40-K51: Coronary artery,K,K: Heart,4.2,Live
K541,1,K541,K541: Open implantation of ventricular assist device,K54,K54: Open heart assist operations,K52-K78,K52-K78: Other parts of heart and pericardium,K,K: Heart,4.3,Live
K552,1,K552,K552: Open chest massage of heart,K55,K55: Other open operations on heart,K52-K78,K52-K78: Other parts of heart and pericardium,K,K: Heart,4.2,Live
L132,2,L132,L132: Percutaneous transluminal embolisation of pulmonary artery,L13,L13: Transluminal operations on pulmonary artery,L01-L13,L01-L13: Great vessels and pulmonary artery,L,L: Arteries and Veins,4.2,Live
L383,1,L383,L383: Open embolectomy of subclavian artery,L38,L38: Other open operations on subclavian artery,L29-L39,L29-L39: Carotid cerebral and subclavian arteries,L,L: Arteries and Veins,4.2,Live
L392,1,L392,L392: Percutaneous transluminal embolectomy of subclavian artery,L39,L39: Transluminal operations on subclavian artery,L29-L39,L29-L39: Carotid cerebral and subclavian arteries,L,L: Arteries and Veins,4.2,Live
L395,1,L395,L395: Percutaneous transluminal insertion of stent into subclavian artery,L39,L39: Transluminal operations on subclavian artery,L29-L39,L29-L39: Carotid cerebral and subclavian arteries,L,L: Arteries and Veins,4.3,Live
L434,1,L434,L434: Arteriography of renal artery,L43,L43: Transluminal operations on renal artery,L41-L47,L41-L47: Abdominal branches of aorta,L,L: Arteries and Veins,4.2,Live
L435,1,L435,L435: Percutaneous transluminal insertion of stent into renal artery,L43,L43: Transluminal operations on renal artery,L41-L47,L41-L47: Abdominal branches of aorta,L,L: Arteries and Veins,4.3,Live
L671,4,L671,L671: Biopsy of artery NEC,L67,L67: Excision of other artery,L65-L72,L65-L72: Other arteries,L,L: Arteries and Veins,4.2,Live
L703,2,L703,L703: Ligation of artery NEC,L70,L70: Other open operations on other artery,L65-L72,L65-L72: Other arteries,L,L: Arteries and Veins,4.2,Live
L704,16,L704,L704: Open cannulation of artery,L70,L70: Other open operations on other artery,L65-L72,L65-L72: Other arteries,L,L: Arteries and Veins,4.2,Live
L708,2,L708,L708: Other specified other open operations on other artery,L70,L70: Other open operations on other artery,L65-L72,L65-L72: Other arteries,L,L: Arteries and Veins,4.2,Live
L712,1,L712,L712: Percutaneous transluminal embolectomy of artery,L71,L71: Therapeutic transluminal operations on other artery,L65-L72,L65-L72: Other arteries,L,L: Arteries and Veins,4.2,Live
L713,9,L713,L713: Percutaneous transluminal embolisation of artery,L71,L71: Therapeutic transluminal operations on other artery,L65-L72,L65-L72: Other arteries,L,L: Arteries and Veins,4.2,Live
L714,548,L714,L714: Percutaneous transluminal cannulation of artery,L71,L71: Therapeutic transluminal operations on other artery,L65-L72,L65-L72: Other arteries,L,L: Arteries and Veins,4.2,Live
L716,2,L716,L716: Percutaneous transluminal thrombolysis of artery,L71,L71: Therapeutic transluminal operations on other artery,L65-L72,L65-L72: Other arteries,L,L: Arteries and Veins,4.3,Live
L721,7,L721,L721: Arteriography NEC,L72,L72: Diagnostic transluminal operations on other artery,L65-L72,L65-L72: Other arteries,L,L: Arteries and Veins,4.2,Live
L722,290,L722,L722: Monitoring of arterial pressure,L72,L72: Diagnostic transluminal operations on other artery,L65-L72,L65-L72: Other arteries,L,L: Arteries and Veins,4.2,Live
M062,11,M062,M062: Drainage of kidney NEC,M06,M06: Incision of kidney,M01-M17,M01-M17: Kidney,M,M: Urinary,4.2,Live
M093,1,M093,M093: Endoscopic laser fragmentation of calculus of kidney,M09,M09: Therapeutic endoscopic operations on calculus of kidney,M01-M17,M01-M17: Kidney,M,M: Urinary,4.2,Live
M131,30,M131,M131: Percutaneous needle biopsy of lesion of kidney,M13,M13: Percutaneous puncture of kidney,M01-M17,M01-M17: Kidney,M,M: Urinary,4.2,Live
M132,34,M132,M132: Percutaneous drainage of kidney,M13,M13: Percutaneous puncture of kidney,M01-M17,M01-M17: Kidney,M,M: Urinary,4.2,Live
M136,31,M136,M136: Percutaneous insertion of nephrostomy tube,M13,M13: Percutaneous puncture of kidney,M01-M17,M01-M17: Kidney,M,M: Urinary,4.2,Live
M543,1,M543,M543: Removal of artificial urinary sphincter from outlet of female bladder,M54,M54: Open operations on outlet of female bladder,M51-M71,M51-M71: Outlet of bladder and prostate,M,M: Urinary,4.7,Live
M858,1,M858,M858: Other specified diagnostic endoscopic examination of urinary diversion,M85,M85: Diagnostic endoscopic examination of urinary diversion,M72-M86,M72-M86: Urethra and other parts of urinary tract,M,M: Urinary,4.3,Live
N012,2,N012,N012: Excision of lesion of scrotum,N01,N01: Extirpation of scrotum,N01-N13,N01-N13: Scrotum and testis,N,N: Male Genital Organs,4.2,Live
N031,1,N031,N031: Biopsy of lesion of scrotum,N03,N03: Other operations on scrotum,N01-N13,N01-N13: Scrotum and testis,N,N: Male Genital Organs,4.2,Live
N032,5,N032,N032: Drainage of scrotum,N03,N03: Other operations on scrotum,N01-N13,N01-N13: Scrotum and testis,N,N: Male Genital Organs,4.2,Live
G342,31,G342,G342: Creation of temporary gastrostomy,G34,G34: Artificial opening into stomach,G26-G48,G26-G48: Stomach pylorus and general upper gastrointestinal tract endoscopy,G,G: Upper Digestive System,4.2,Live
