Spell_Primary_Diagnosis,emergency_elderly_count,ICD10_L4_Code,ICD10_L4_Desc,ICD10_L3_Code,ICD10_L3_Desc,ICD10_L2_Code,ICD10_L2_Desc,ICD10_L1_Code,ICD10_L1_Desc,ICD10_Chapter_No,ICD10_Chapter_Code,ICD10_Chapter_Desc,ICD10_Usage,ICD10_Version,ICD10_Status,ICD10_Valid_From,ICD10_Valid_To
S3661,7,S3661,S3661: Injury of rectum: with open wound into cavity,S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S3670,6,S3670,S3670: Injury of multiple intra-abdominal organs: without open wound into cavity,S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S3671,2,S3671,S3671: Injury of multiple intra-abdominal organs: with open wound into cavity,S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S368,11,S368,S368: Injury of other intra-abdominal organs,S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S3680,269,S3680,S3680: Injury of other intra-abdominal organs: without open wound into cavity,S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S3681,20,S3681,S3681: Injury of other intra-abdominal organs: with open wound into cavity,S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S3690,32,S3690,S3690: Injury of unspecified intra-abdominal organ: without open wound into cavity,S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S3691,3,S3691,S3691: Injury of unspecified intra-abdominal organ: with open wound into cavity,S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S370,19,S370,S370: Injury of kidney,S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S3700,463,S3700,S3700: Injury of kidney: without open wound into cavity,S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S3701,20,S3701,S3701: Injury of kidney: with open wound into cavity,S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S3710,32,S3710,S3710: Injury of ureter: without open wound into cavity,S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S3711,1,S3711,S3711: Injury of ureter: with open wound into cavity,S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S372,5,S372,S372: Injury of bladder,S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S3720,141,S3720,S3720: Injury of bladder: without open wound into cavity,S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S3721,12,S3721,S3721: Injury of bladder: with open wound into cavity,S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S373,70,S373,S373: Injury of urethra,S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S3730,1154,S3730,S3730: Injury of urethra: without open wound into cavity,S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S3731,25,S3731,S3731: Injury of urethra: with open wound into cavity,S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S3750,1,S3750,S3750: Injury of fallopian tube: without open wound into cavity,S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S3760,2,S3760,S3760: Injury of uterus: without open wound into cavity,S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S3770,1,S3770,S3770: Injury of multiple pelvic organs: without open wound into cavity,S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S378,6,S378,S378: Injury of other pelvic organs,S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S3780,55,S3780,S3780: Injury of other pelvic organs: without open wound into cavity,S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S3781,4,S3781,S3781: Injury of other pelvic organs: with open wound into cavity,S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
T055,2,T055,T055: Traumatic amputation of both legs [any level],T00-T07,T00-T07: Injuries involving multiple body regions,T00-T07,T00-T07: Injuries involving multiple body regions,T00-T07,T00-T07: Injuries involving multiple body regions,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
T060,9,T060,T060: Injuries of brain and cranial nerves with injuries of nerves and spinal cord at neck level,T00-T07,T00-T07: Injuries involving multiple body regions,T00-T07,T00-T07: Injuries involving multiple body regions,T00-T07,T00-T07: Injuries involving multiple body regions,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
T061,1,T061,T061: Injuries of nerves and spinal cord involving other multiple body regions,T00-T07,T00-T07: Injuries involving multiple body regions,T00-T07,T00-T07: Injuries involving multiple body regions,T00-T07,T00-T07: Injuries involving multiple body regions,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
T062,1,T062,T062: Injuries of nerves involving multiple body regions,T00-T07,T00-T07: Injuries involving multiple body regions,T00-T07,T00-T07: Injuries involving multiple body regions,T00-T07,T00-T07: Injuries involving multiple body regions,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
T064,44,T064,T064: Injuries of muscles and tendons involving multiple body regions,T00-T07,T00-T07: Injuries involving multiple body regions,T00-T07,T00-T07: Injuries involving multiple body regions,T00-T07,T00-T07: Injuries involving multiple body regions,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
T065,2,T065,T065: Injuries of intrathoracic organs with intra-abdominal and pelvic organs,T00-T07,T00-T07: Injuries involving multiple body regions,T00-T07,T00-T07: Injuries involving multiple body regions,T00-T07,T00-T07: Injuries involving multiple body regions,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
T068,5,T068,T068: Other specified injuries involving multiple body regions,T00-T07,T00-T07: Injuries involving multiple body regions,T00-T07,T00-T07: Injuries involving multiple body regions,T00-T07,T00-T07: Injuries involving multiple body regions,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S379,25,S379,S379: Injury of unspecified pelvic organ,S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S3790,85,S3790,S3790: Injury of unspecified pelvic organ: without open wound into cavity,S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S3791,2,S3791,S3791: Injury of unspecified pelvic organ: with open wound into cavity,S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S380,8,S380,S380: Crushing injury of external genital organs,S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S381,7,S381,"S381: Crushing injury of other and unspecified parts of abdomen, lower back and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S382,1,S382,S382: Traumatic amputation of external genital organs,S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S390,679,S390,"S390: Injury of muscle and tendon of abdomen, lower back and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S396,10,S396,S396: Injury of intra-abdominal organ(s) with pelvic organ(s),S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S397,9,S397,"S397: Other multiple injuries of abdomen, lower back and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S398,379,S398,"S398: Other specified injuries of abdomen, lower back and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S399,2035,S399,"S399: Unspecified injury of abdomen, lower back and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",S30-S39,"S30-S39: Injuries to the abdomen, lower back, lumbar spine and pelvis",19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S400,2634,S400,S400: Contusion of shoulder and upper arm,S40-S49,S40-S49: Injuries to the shoulder and upper arm,S40-S49,S40-S49: Injuries to the shoulder and upper arm,S40-S49,S40-S49: Injuries to the shoulder and upper arm,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S407,194,S407,S407: Multiple superficial injuries of shoulder and upper arm,S40-S49,S40-S49: Injuries to the shoulder and upper arm,S40-S49,S40-S49: Injuries to the shoulder and upper arm,S40-S49,S40-S49: Injuries to the shoulder and upper arm,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S408,680,S408,S408: Other superficial injuries of shoulder and upper arm,S40-S49,S40-S49: Injuries to the shoulder and upper arm,S40-S49,S40-S49: Injuries to the shoulder and upper arm,S40-S49,S40-S49: Injuries to the shoulder and upper arm,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S409,2626,S409,"S409: Superficial injury of shoulder and upper arm, unspecified",S40-S49,S40-S49: Injuries to the shoulder and upper arm,S40-S49,S40-S49: Injuries to the shoulder and upper arm,S40-S49,S40-S49: Injuries to the shoulder and upper arm,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S410,385,S410,S410: Open wound of shoulder,S40-S49,S40-S49: Injuries to the shoulder and upper arm,S40-S49,S40-S49: Injuries to the shoulder and upper arm,S40-S49,S40-S49: Injuries to the shoulder and upper arm,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
T08X0,8,T08X0,"T08X0: Fracture of spine, level unspecified: closed",T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
T090,119,T090,"T090: Superficial injury of trunk, level unspecified",T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
T091,7,T091,"T091: Open wound of trunk, level unspecified",T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
T092,58,T092,"T092: Dislocation, sprain and strain of unspecified joint and ligament of trunk",T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
T093,48,T093,"T093: Injury of spinal cord, level unspecified",T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
T094,2,T094,"T094: Injury of unspecified nerve, spinal nerve root and plexus of trunk",T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
T095,31,T095,T095: Injury of unspecified muscle and tendon of trunk,T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
T098,25,T098,"T098: Other specified injuries of trunk, level unspecified",T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
T099,33,T099,"T099: Unspecified injury of trunk, level unspecified",T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
T10X,1,T10X,"T10X: Fracture of upper limb, level unspecified",T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
T10X0,2,T10X0,"T10X0: Fracture of upper limb, level unspecified: closed",T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
T110,468,T110,"T110: Superficial injury of upper limb, level unspecified",T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
T111,613,T111,"T111: Open wound of upper limb, level unspecified",T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
T112,3,T112,"T112: Dislocation, sprain and strain of unspecified joint and ligament of upper limb, level unspecified",T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
T113,9,T113,"T113: Injury of unspecified nerve of upper limb, level unspecified",T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
T114,2,T114,"T114: Injury of unspecified blood vessel of upper limb, level unspecified",T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
T115,5,T115,"T115: Injury of unspecified muscle and tendon of upper limb, level unspecified",T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
T118,18,T118,"T118: Other specified injuries of upper limb, level unspecified",T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
T119,74,T119,"T119: Unspecified injury of upper limb, level unspecified",T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
T12X,1,T12X,"T12X: Fracture of lower limb, level unspecified",T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",T08-T14,"T08-T14: Injuries to unspecified part of trunk, limb or body region",19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
