Spell_Primary_Diagnosis,eol_count,ICD10_L4_Code,ICD10_L4_Desc,ICD10_L3_Code,ICD10_L3_Desc,ICD10_L2_Code,ICD10_L2_Desc,ICD10_L1_Code,ICD10_L1_Desc,ICD10_Chapter_No,ICD10_Chapter_Code,ICD10_Chapter_Desc,ICD10_Usage,ICD10_Version,ICD10_Status,ICD10_Valid_From,ICD10_Valid_To
J029,5,J029,"J029: Acute pharyngitis, unspecified",J00-J06,J00-J06: Acute upper respiratory infections,J00-J06,J00-J06: Acute upper respiratory infections,J00-J06,J00-J06: Acute upper respiratory infections,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J039,5,J039,"J039: Acute tonsillitis, unspecified",J00-J06,J00-J06: Acute upper respiratory infections,J00-J06,J00-J06: Acute upper respiratory infections,J00-J06,J00-J06: Acute upper respiratory infections,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J040,2,J040,J040: Acute laryngitis,J00-J06,J00-J06: Acute upper respiratory infections,J00-J06,J00-J06: Acute upper respiratory infections,J00-J06,J00-J06: Acute upper respiratory infections,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J041,2,J041,J041: Acute tracheitis,J00-J06,J00-J06: Acute upper respiratory infections,J00-J06,J00-J06: Acute upper respiratory infections,J00-J06,J00-J06: Acute upper respiratory infections,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J051,5,J051,J051: Acute epiglottitis,J00-J06,J00-J06: Acute upper respiratory infections,J00-J06,J00-J06: Acute upper respiratory infections,J00-J06,J00-J06: Acute upper respiratory infections,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J069,35,J069,"J069: Acute upper respiratory infection, unspecified",J00-J06,J00-J06: Acute upper respiratory infections,J00-J06,J00-J06: Acute upper respiratory infections,J00-J06,J00-J06: Acute upper respiratory infections,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J09X,2,J09X,J09X: Influenza due to identified avian influenza virus,J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J100,1137,J100,"J100: Influenza with pneumonia, other influenza virus identified",J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J101,459,J101,"J101: Influenza with other respiratory manifestations, other influenza virus identified",J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J108,12,J108,"J108: Influenza with other manifestations, other influenza virus identified",J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J110,65,J110,"J110: Influenza with pneumonia, virus not identified",J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J111,22,J111,"J111: Influenza with other respiratory manifestations, virus not identified",J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J118,3,J118,"J118: Influenza with other manifestations, virus not identified",J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J120,5,J120,J120: Adenoviral pneumonia,J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J121,236,J121,J121: Respiratory syncytial virus pneumonia,J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J122,20,J122,J122: Parainfluenza virus pneumonia,J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J123,29,J123,J123: Human metapneumovirus pneumonia,J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J128,151,J128,J128: Other viral pneumonia,J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J129,59,J129,"J129: Viral pneumonia, unspecified",J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J13X,281,J13X,J13X: Pneumonia due to Streptococcus pneumoniae,J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J14X,51,J14X,J14X: Pneumonia due to Haemophilus influenzae,J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J150,98,J150,J150: Pneumonia due to Klebsiella pneumoniae,J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J151,117,J151,J151: Pneumonia due to Pseudomonas,J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J152,61,J152,J152: Pneumonia due to staphylococcus,J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J153,3,J153,"J153: Pneumonia due to streptococcus, group B",J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J154,59,J154,J154: Pneumonia due to other streptococci,J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J155,29,J155,J155: Pneumonia due to Escherichia coli,J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J156,30,J156,J156: Pneumonia due to other aerobic Gram-negative bacteria,J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J157,6,J157,J157: Pneumonia due to Mycoplasma pneumoniae,J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J158,22,J158,J158: Other bacterial pneumonia,J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J159,193,J159,"J159: Bacterial pneumonia, unspecified",J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J168,3,J168,J168: Pneumonia due to other specified infectious organisms,J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J170,1,J170,J170: Pneumonia in bacterial diseases classified elsewhere,J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,10,X,X: Diseases of the respiratory system,Asterisk,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J171,1,J171,J171: Pneumonia in viral diseases classified elsewhere,J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,10,X,X: Diseases of the respiratory system,Asterisk,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J172,22,J172,J172: Pneumonia in mycoses,J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,10,X,X: Diseases of the respiratory system,Asterisk,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J173,10,J173,J173: Pneumonia in parasitic diseases,J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,10,X,X: Diseases of the respiratory system,Asterisk,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J180,6942,J180,"J180: Bronchopneumonia, unspecified",J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J181,35733,J181,"J181: Lobar pneumonia, unspecified",J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J182,28,J182,"J182: Hypostatic pneumonia, unspecified",J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J188,18,J188,"J188: Other pneumonia, organism unspecified",J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J189,24178,J189,"J189: Pneumonia, unspecified",J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,J09-J18,J09-J18: Influenza and pneumonia,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J208,3,J208,J208: Acute bronchitis due to other specified organisms,J20-J22,J20-J22: Other acute lower respiratory infections,J20-J22,J20-J22: Other acute lower respiratory infections,J20-J22,J20-J22: Other acute lower respiratory infections,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J209,21,J209,"J209: Acute bronchitis, unspecified",J20-J22,J20-J22: Other acute lower respiratory infections,J20-J22,J20-J22: Other acute lower respiratory infections,J20-J22,J20-J22: Other acute lower respiratory infections,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J210,9,J210,J210: Acute bronchiolitis due to respiratory syncytial virus,J20-J22,J20-J22: Other acute lower respiratory infections,J20-J22,J20-J22: Other acute lower respiratory infections,J20-J22,J20-J22: Other acute lower respiratory infections,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J211,1,J211,J211: Acute bronchiolitis due to human metapneumovirus,J20-J22,J20-J22: Other acute lower respiratory infections,J20-J22,J20-J22: Other acute lower respiratory infections,J20-J22,J20-J22: Other acute lower respiratory infections,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J218,1,J218,J218: Acute bronchiolitis due to other specified organisms,J20-J22,J20-J22: Other acute lower respiratory infections,J20-J22,J20-J22: Other acute lower respiratory infections,J20-J22,J20-J22: Other acute lower respiratory infections,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J219,7,J219,"J219: Acute bronchiolitis, unspecified",J20-J22,J20-J22: Other acute lower respiratory infections,J20-J22,J20-J22: Other acute lower respiratory infections,J20-J22,J20-J22: Other acute lower respiratory infections,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J22X,3883,J22X,J22X: Unspecified acute lower respiratory infection,J20-J22,J20-J22: Other acute lower respiratory infections,J20-J22,J20-J22: Other acute lower respiratory infections,J20-J22,J20-J22: Other acute lower respiratory infections,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S140,3,S140,S140: Concussion and oedema of cervical spinal cord,S10-S19,S10-S19: Injuries to the neck,S10-S19,S10-S19: Injuries to the neck,S10-S19,S10-S19: Injuries to the neck,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S141,73,S141,S141: Other and unspecified injuries of cervical spinal cord,S10-S19,S10-S19: Injuries to the neck,S10-S19,S10-S19: Injuries to the neck,S10-S19,S10-S19: Injuries to the neck,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S142,1,S142,S142: Injury of nerve root of cervical spine,S10-S19,S10-S19: Injuries to the neck,S10-S19,S10-S19: Injuries to the neck,S10-S19,S10-S19: Injuries to the neck,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S146,1,S146,S146: Injury of other and unspecified nerves of neck,S10-S19,S10-S19: Injuries to the neck,S10-S19,S10-S19: Injuries to the neck,S10-S19,S10-S19: Injuries to the neck,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S151,1,S151,S151: Injury of vertebral artery,S10-S19,S10-S19: Injuries to the neck,S10-S19,S10-S19: Injuries to the neck,S10-S19,S10-S19: Injuries to the neck,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M704,1,M704,M704: Prepatellar bursitis,M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M622,1,M622,M622: Ischaemic infarction of muscle,M60-M63,M60-M63: Disorders of muscles,M60-M63,M60-M63: Disorders of muscles,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M6220,2,M6220,M6220: Ischaemic infarction of muscle: Multiple sites,M60-M63,M60-M63: Disorders of muscles,M60-M63,M60-M63: Disorders of muscles,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M6225,1,M6225,M6225: Ischaemic infarction of muscle: Pelvic region and thigh,M60-M63,M60-M63: Disorders of muscles,M60-M63,M60-M63: Disorders of muscles,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M6226,16,M6226,M6226: Ischaemic infarction of muscle: Lower leg,M60-M63,M60-M63: Disorders of muscles,M60-M63,M60-M63: Disorders of muscles,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M6227,2,M6227,M6227: Ischaemic infarction of muscle: Ankle and foot,M60-M63,M60-M63: Disorders of muscles,M60-M63,M60-M63: Disorders of muscles,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M6229,1,M6229,M6229: Ischaemic infarction of muscle: Site unspecified,M60-M63,M60-M63: Disorders of muscles,M60-M63,M60-M63: Disorders of muscles,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M758,1,M758,M758: Other shoulder lesions,M70-M79,M70-M79: Other soft tissue disorders,M70-M79,M70-M79: Other soft tissue disorders,M60-M79,M60-M79: Soft tissue disorders,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Q348,2,Q348,Q348: Other specified congenital malformations of respiratory system,Q30-Q34,Q30-Q34: Congenital malformations of the respiratory system,Q30-Q34,Q30-Q34: Congenital malformations of the respiratory system,Q30-Q34,Q30-Q34: Congenital malformations of the respiratory system,17,XVII,"XVII: Congenital malformations, deformations and chromosomal abnormalities",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
P740,1,P740,P740: Late metabolic acidosis of newborn,P70-P74,P70-P74: Transitory endocrine and metabolic disorders specific to fetus and newborn,P70-P74,P70-P74: Transitory endocrine and metabolic disorders specific to fetus and newborn,P70-P74,P70-P74: Transitory endocrine and metabolic disorders specific to fetus and newborn,16,XVI,XVI: Certain conditions originating in the perinatal period,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
P748,1,P748,P748: Other transitory metabolic disturbances of newborn,P70-P74,P70-P74: Transitory endocrine and metabolic disorders specific to fetus and newborn,P70-P74,P70-P74: Transitory endocrine and metabolic disorders specific to fetus and newborn,P70-P74,P70-P74: Transitory endocrine and metabolic disorders specific to fetus and newborn,16,XVI,XVI: Certain conditions originating in the perinatal period,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
H602,4,H602,H602: Malignant otitis externa,H60-H62,H60-H62: Diseases of external ear,H60-H62,H60-H62: Diseases of external ear,H60-H62,H60-H62: Diseases of external ear,8,VIII,VIII: Diseases of the ear and mastoid process,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
H608,1,H608,H608: Other otitis externa,H60-H62,H60-H62: Diseases of external ear,H60-H62,H60-H62: Diseases of external ear,H60-H62,H60-H62: Diseases of external ear,8,VIII,VIII: Diseases of the ear and mastoid process,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
H609,1,H609,"H609: Otitis externa, unspecified",H60-H62,H60-H62: Diseases of external ear,H60-H62,H60-H62: Diseases of external ear,H60-H62,H60-H62: Diseases of external ear,8,VIII,VIII: Diseases of the ear and mastoid process,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
K909,3,K909,"K909: Intestinal malabsorption, unspecified",K90-K93,K90-K93: Other diseases of the digestive system,K90-K93,K90-K93: Other diseases of the digestive system,K90-K93,K90-K93: Other diseases of the digestive system,11,XI,XI: Diseases of the digestive system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
K912,1,K912,"K912: Postsurgical malabsorption, not elsewhere classified",K90-K93,K90-K93: Other diseases of the digestive system,K90-K93,K90-K93: Other diseases of the digestive system,K90-K93,K90-K93: Other diseases of the digestive system,11,XI,XI: Diseases of the digestive system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
K913,4,K913,K913: Postoperative intestinal obstruction,K90-K93,K90-K93: Other diseases of the digestive system,K90-K93,K90-K93: Other diseases of the digestive system,K90-K93,K90-K93: Other diseases of the digestive system,11,XI,XI: Diseases of the digestive system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
K914,42,K914,K914: Colostomy and enterostomy malfunction,K90-K93,K90-K93: Other diseases of the digestive system,K90-K93,K90-K93: Other diseases of the digestive system,K90-K93,K90-K93: Other diseases of the digestive system,11,XI,XI: Diseases of the digestive system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
K918,13,K918,"K918: Other postprocedural disorders of digestive system, not elsewhere classified",K90-K93,K90-K93: Other diseases of the digestive system,K90-K93,K90-K93: Other diseases of the digestive system,K90-K93,K90-K93: Other diseases of the digestive system,11,XI,XI: Diseases of the digestive system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
K920,967,K920,K920: Haematemesis,K90-K93,K90-K93: Other diseases of the digestive system,K90-K93,K90-K93: Other diseases of the digestive system,K90-K93,K90-K93: Other diseases of the digestive system,11,XI,XI: Diseases of the digestive system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Z001,1,Z001,Z001: Routine child health examination,Z00-Z13,Z00-Z13: Persons encountering health services for examination and investigation,Z00-Z13,Z00-Z13: Persons encountering health services for examination and investigation,Z00-Z13,Z00-Z13: Persons encountering health services for examination and investigation,21,XXI,XXI: Factors influencing health status and contact with health services,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Z004,1,Z004,"Z004: General psychiatric examination, not elsewhere classified",Z00-Z13,Z00-Z13: Persons encountering health services for examination and investigation,Z00-Z13,Z00-Z13: Persons encountering health services for examination and investigation,Z00-Z13,Z00-Z13: Persons encountering health services for examination and investigation,21,XXI,XXI: Factors influencing health status and contact with health services,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S411,3,S411,S411: Open wound of upper arm,S40-S49,S40-S49: Injuries to the shoulder and upper arm,S40-S49,S40-S49: Injuries to the shoulder and upper arm,S40-S49,S40-S49: Injuries to the shoulder and upper arm,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S420,3,S420,S420: Fracture of clavicle,S40-S49,S40-S49: Injuries to the shoulder and upper arm,S40-S49,S40-S49: Injuries to the shoulder and upper arm,S40-S49,S40-S49: Injuries to the shoulder and upper arm,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S4200,53,S4200,S4200: Fracture of clavicle: closed,S40-S49,S40-S49: Injuries to the shoulder and upper arm,S40-S49,S40-S49: Injuries to the shoulder and upper arm,S40-S49,S40-S49: Injuries to the shoulder and upper arm,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S4201,1,S4201,S4201: Fracture of clavicle: open,S40-S49,S40-S49: Injuries to the shoulder and upper arm,S40-S49,S40-S49: Injuries to the shoulder and upper arm,S40-S49,S40-S49: Injuries to the shoulder and upper arm,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S4210,17,S4210,S4210: Fracture of scapula: closed,S40-S49,S40-S49: Injuries to the shoulder and upper arm,S40-S49,S40-S49: Injuries to the shoulder and upper arm,S40-S49,S40-S49: Injuries to the shoulder and upper arm,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S051,2,S051,S051: Contusion of eyeball and orbital tissues,S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S054,1,S054,S054: Penetrating wound of orbit with or without foreign body,S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S060,1,S060,S060: Concussion,S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S0600,2,S0600,S0600: Concussion: without open intracranial wound,S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S0610,11,S0610,S0610: Traumatic cerebral oedema: without open intracranial wound,S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S062,15,S062,S062: Diffuse brain injury,S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S0620,325,S0620,S0620: Diffuse brain injury: without open intracranial wound,S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S0621,6,S0621,S0621: Diffuse brain injury: with open intracranial wound,S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S063,2,S063,S063: Focal brain injury,S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S0630,137,S0630,S0630: Focal brain injury: without open intracranial wound,S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
