Spell_Primary_Diagnosis,eol_broad_count,ICD10_L4_Code,ICD10_L4_Desc,ICD10_L3_Code,ICD10_L3_Desc,ICD10_L2_Code,ICD10_L2_Desc,ICD10_L1_Code,ICD10_L1_Desc,ICD10_Chapter_No,ICD10_Chapter_Code,ICD10_Chapter_Desc,ICD10_Usage,ICD10_Version,ICD10_Status,ICD10_Valid_From,ICD10_Valid_To
M8702,1,M8702,M8702: Idiopathic aseptic necrosis of bone: Upper arm,M86-M90,M86-M90: Other osteopathies,M86-M90,M86-M90: Other osteopathies,M80-M94,M80-M94: Osteopathies and chondropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M8704,5,M8704,M8704: Idiopathic aseptic necrosis of bone: Hand,M86-M90,M86-M90: Other osteopathies,M86-M90,M86-M90: Other osteopathies,M80-M94,M80-M94: Osteopathies and chondropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
K766,1353,K766,K766: Portal hypertension,K70-K77,K70-K77: Diseases of liver,K70-K77,K70-K77: Diseases of liver,K70-K77,K70-K77: Diseases of liver,11,XI,XI: Diseases of the digestive system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
K767,960,K767,K767: Hepatorenal syndrome,K70-K77,K70-K77: Diseases of liver,K70-K77,K70-K77: Diseases of liver,K70-K77,K70-K77: Diseases of liver,11,XI,XI: Diseases of the digestive system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
K768,1630,K768,K768: Other specified diseases of liver,K70-K77,K70-K77: Diseases of liver,K70-K77,K70-K77: Diseases of liver,K70-K77,K70-K77: Diseases of liver,11,XI,XI: Diseases of the digestive system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
K769,4303,K769,"K769: Liver disease, unspecified",K70-K77,K70-K77: Diseases of liver,K70-K77,K70-K77: Diseases of liver,K70-K77,K70-K77: Diseases of liver,11,XI,XI: Diseases of the digestive system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
K778,11,K778,K778: Liver disorders in other diseases classified elsewhere,K70-K77,K70-K77: Diseases of liver,K70-K77,K70-K77: Diseases of liver,K70-K77,K70-K77: Diseases of liver,11,XI,XI: Diseases of the digestive system,Asterisk,ICD10 5th Edition,Live,2016-04-01 00:00:00,
K800,6940,K800,K800: Calculus of gallbladder with acute cholecystitis,K80-K87,"K80-K87: Disorders of gallbladder, biliary tract and pancreas",K80-K87,"K80-K87: Disorders of gallbladder, biliary tract and pancreas",K80-K87,"K80-K87: Disorders of gallbladder, biliary tract and pancreas",11,XI,XI: Diseases of the digestive system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
K801,4264,K801,K801: Calculus of gallbladder with other cholecystitis,K80-K87,"K80-K87: Disorders of gallbladder, biliary tract and pancreas",K80-K87,"K80-K87: Disorders of gallbladder, biliary tract and pancreas",K80-K87,"K80-K87: Disorders of gallbladder, biliary tract and pancreas",11,XI,XI: Diseases of the digestive system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
K802,3870,K802,K802: Calculus of gallbladder without cholecystitis,K80-K87,"K80-K87: Disorders of gallbladder, biliary tract and pancreas",K80-K87,"K80-K87: Disorders of gallbladder, biliary tract and pancreas",K80-K87,"K80-K87: Disorders of gallbladder, biliary tract and pancreas",11,XI,XI: Diseases of the digestive system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
K803,3782,K803,K803: Calculus of bile duct with cholangitis,K80-K87,"K80-K87: Disorders of gallbladder, biliary tract and pancreas",K80-K87,"K80-K87: Disorders of gallbladder, biliary tract and pancreas",K80-K87,"K80-K87: Disorders of gallbladder, biliary tract and pancreas",11,XI,XI: Diseases of the digestive system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
K804,1809,K804,K804: Calculus of bile duct with cholecystitis,K80-K87,"K80-K87: Disorders of gallbladder, biliary tract and pancreas",K80-K87,"K80-K87: Disorders of gallbladder, biliary tract and pancreas",K80-K87,"K80-K87: Disorders of gallbladder, biliary tract and pancreas",11,XI,XI: Diseases of the digestive system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
K805,6696,K805,K805: Calculus of bile duct without cholangitis or cholecystitis,K80-K87,"K80-K87: Disorders of gallbladder, biliary tract and pancreas",K80-K87,"K80-K87: Disorders of gallbladder, biliary tract and pancreas",K80-K87,"K80-K87: Disorders of gallbladder, biliary tract and pancreas",11,XI,XI: Diseases of the digestive system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S8290,8,S8290,"S8290: Fracture of lower leg, part unspecified: closed",S80-S89,S80-S89: Injuries to the knee and lower leg,S80-S89,S80-S89: Injuries to the knee and lower leg,S80-S89,S80-S89: Injuries to the knee and lower leg,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S8291,1,S8291,"S8291: Fracture of lower leg, part unspecified: open",S80-S89,S80-S89: Injuries to the knee and lower leg,S80-S89,S80-S89: Injuries to the knee and lower leg,S80-S89,S80-S89: Injuries to the knee and lower leg,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S830,27,S830,S830: Dislocation of patella,S80-S89,S80-S89: Injuries to the knee and lower leg,S80-S89,S80-S89: Injuries to the knee and lower leg,S80-S89,S80-S89: Injuries to the knee and lower leg,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S831,23,S831,S831: Dislocation of knee,S80-S89,S80-S89: Injuries to the knee and lower leg,S80-S89,S80-S89: Injuries to the knee and lower leg,S80-S89,S80-S89: Injuries to the knee and lower leg,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S832,27,S832,"S832: Tear of meniscus, current",S80-S89,S80-S89: Injuries to the knee and lower leg,S80-S89,S80-S89: Injuries to the knee and lower leg,S80-S89,S80-S89: Injuries to the knee and lower leg,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S833,2,S833,"S833: Tear of articular cartilage of knee, current",S80-S89,S80-S89: Injuries to the knee and lower leg,S80-S89,S80-S89: Injuries to the knee and lower leg,S80-S89,S80-S89: Injuries to the knee and lower leg,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S834,19,S834,S834: Sprain and strain involving (fibular)(tibial) collateral ligament of knee,S80-S89,S80-S89: Injuries to the knee and lower leg,S80-S89,S80-S89: Injuries to the knee and lower leg,S80-S89,S80-S89: Injuries to the knee and lower leg,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
W060,2,W060,W060: Fall involving bed: Home,W00-W19,W00-W19: Falls,W00-X59,W00-X59: Other external causes of accidental injury,V01-X59,V01-X59: Accidents,20,XX,XX: External causes of morbidity and mortality,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
W062,1,W062,"W062: Fall involving bed: School, other institution and public administrative area",W00-W19,W00-W19: Falls,W00-X59,W00-X59: Other external causes of accidental injury,V01-X59,V01-X59: Accidents,20,XX,XX: External causes of morbidity and mortality,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
W071,1,W071,W071: Fall involving chair: Residential institution,W00-W19,W00-W19: Falls,W00-X59,W00-X59: Other external causes of accidental injury,V01-X59,V01-X59: Accidents,20,XX,XX: External causes of morbidity and mortality,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
T198,7,T198,T198: Foreign body in other and multiple parts of genitourinary tract,T15-T19,T15-T19: Effects of foreign body entering through natural orifice,T15-T19,T15-T19: Effects of foreign body entering through natural orifice,T15-T19,T15-T19: Effects of foreign body entering through natural orifice,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
T673,1,T673,"T673: Heat exhaustion, anhydrotic",T66-T78,T66-T78: Other and unspecified effects of external causes,T66-T78,T66-T78: Other and unspecified effects of external causes,T66-T78,T66-T78: Other and unspecified effects of external causes,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
T675,21,T675,"T675: Heat exhaustion, unspecified",T66-T78,T66-T78: Other and unspecified effects of external causes,T66-T78,T66-T78: Other and unspecified effects of external causes,T66-T78,T66-T78: Other and unspecified effects of external causes,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
T679,2,T679,"T679: Effect of heat and light, unspecified",T66-T78,T66-T78: Other and unspecified effects of external causes,T66-T78,T66-T78: Other and unspecified effects of external causes,T66-T78,T66-T78: Other and unspecified effects of external causes,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
T68X,1090,T68X,T68X: Hypothermia,T66-T78,T66-T78: Other and unspecified effects of external causes,T66-T78,T66-T78: Other and unspecified effects of external causes,T66-T78,T66-T78: Other and unspecified effects of external causes,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
T690,1,T690,T690: Immersion hand and foot,T66-T78,T66-T78: Other and unspecified effects of external causes,T66-T78,T66-T78: Other and unspecified effects of external causes,T66-T78,T66-T78: Other and unspecified effects of external causes,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
T691,3,T691,T691: Chilblains,T66-T78,T66-T78: Other and unspecified effects of external causes,T66-T78,T66-T78: Other and unspecified effects of external causes,T66-T78,T66-T78: Other and unspecified effects of external causes,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
T698,1,T698,T698: Other specified effects of reduced temperature,T66-T78,T66-T78: Other and unspecified effects of external causes,T66-T78,T66-T78: Other and unspecified effects of external causes,T66-T78,T66-T78: Other and unspecified effects of external causes,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
T699,3,T699,"T699: Effect of reduced temperature, unspecified",T66-T78,T66-T78: Other and unspecified effects of external causes,T66-T78,T66-T78: Other and unspecified effects of external causes,T66-T78,T66-T78: Other and unspecified effects of external causes,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
W170,2,W170,W170: Other fall from one level to another: Home,W00-W19,W00-W19: Falls,W00-X59,W00-X59: Other external causes of accidental injury,V01-X59,V01-X59: Accidents,20,XX,XX: External causes of morbidity and mortality,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
W180,18,W180,W180: Other fall on same level: Home,W00-W19,W00-W19: Falls,W00-X59,W00-X59: Other external causes of accidental injury,V01-X59,V01-X59: Accidents,20,XX,XX: External causes of morbidity and mortality,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M8705,18,M8705,M8705: Idiopathic aseptic necrosis of bone: Pelvic region and thigh,M86-M90,M86-M90: Other osteopathies,M86-M90,M86-M90: Other osteopathies,M80-M94,M80-M94: Osteopathies and chondropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M8706,1,M8706,M8706: Idiopathic aseptic necrosis of bone: Lower leg,M86-M90,M86-M90: Other osteopathies,M86-M90,M86-M90: Other osteopathies,M80-M94,M80-M94: Osteopathies and chondropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M8707,19,M8707,M8707: Idiopathic aseptic necrosis of bone: Ankle and foot,M86-M90,M86-M90: Other osteopathies,M86-M90,M86-M90: Other osteopathies,M80-M94,M80-M94: Osteopathies and chondropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M871,2,M871,M871: Osteonecrosis due to drugs,M86-M90,M86-M90: Other osteopathies,M86-M90,M86-M90: Other osteopathies,M80-M94,M80-M94: Osteopathies and chondropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M8711,1,M8711,M8711: Osteonecrosis due to drugs: Shoulder region,M86-M90,M86-M90: Other osteopathies,M86-M90,M86-M90: Other osteopathies,M80-M94,M80-M94: Osteopathies and chondropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M8715,13,M8715,M8715: Osteonecrosis due to drugs: Pelvic region and thigh,M86-M90,M86-M90: Other osteopathies,M86-M90,M86-M90: Other osteopathies,M80-M94,M80-M94: Osteopathies and chondropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M8717,1,M8717,M8717: Osteonecrosis due to drugs: Ankle and foot,M86-M90,M86-M90: Other osteopathies,M86-M90,M86-M90: Other osteopathies,M80-M94,M80-M94: Osteopathies and chondropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M8718,16,M8718,M8718: Osteonecrosis due to drugs: Other,M86-M90,M86-M90: Other osteopathies,M86-M90,M86-M90: Other osteopathies,M80-M94,M80-M94: Osteopathies and chondropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M8721,5,M8721,M8721: Osteonecrosis due to previous trauma: Shoulder region,M86-M90,M86-M90: Other osteopathies,M86-M90,M86-M90: Other osteopathies,M80-M94,M80-M94: Osteopathies and chondropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M8725,10,M8725,M8725: Osteonecrosis due to previous trauma: Pelvic region and thigh,M86-M90,M86-M90: Other osteopathies,M86-M90,M86-M90: Other osteopathies,M80-M94,M80-M94: Osteopathies and chondropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M8727,5,M8727,M8727: Osteonecrosis due to previous trauma: Ankle and foot,M86-M90,M86-M90: Other osteopathies,M86-M90,M86-M90: Other osteopathies,M80-M94,M80-M94: Osteopathies and chondropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
K808,46,K808,K808: Other cholelithiasis,K80-K87,"K80-K87: Disorders of gallbladder, biliary tract and pancreas",K80-K87,"K80-K87: Disorders of gallbladder, biliary tract and pancreas",K80-K87,"K80-K87: Disorders of gallbladder, biliary tract and pancreas",11,XI,XI: Diseases of the digestive system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
K810,4750,K810,K810: Acute cholecystitis,K80-K87,"K80-K87: Disorders of gallbladder, biliary tract and pancreas",K80-K87,"K80-K87: Disorders of gallbladder, biliary tract and pancreas",K80-K87,"K80-K87: Disorders of gallbladder, biliary tract and pancreas",11,XI,XI: Diseases of the digestive system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
K811,294,K811,K811: Chronic cholecystitis,K80-K87,"K80-K87: Disorders of gallbladder, biliary tract and pancreas",K80-K87,"K80-K87: Disorders of gallbladder, biliary tract and pancreas",K80-K87,"K80-K87: Disorders of gallbladder, biliary tract and pancreas",11,XI,XI: Diseases of the digestive system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
K818,73,K818,K818: Other cholecystitis,K80-K87,"K80-K87: Disorders of gallbladder, biliary tract and pancreas",K80-K87,"K80-K87: Disorders of gallbladder, biliary tract and pancreas",K80-K87,"K80-K87: Disorders of gallbladder, biliary tract and pancreas",11,XI,XI: Diseases of the digestive system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
K819,2866,K819,"K819: Cholecystitis, unspecified",K80-K87,"K80-K87: Disorders of gallbladder, biliary tract and pancreas",K80-K87,"K80-K87: Disorders of gallbladder, biliary tract and pancreas",K80-K87,"K80-K87: Disorders of gallbladder, biliary tract and pancreas",11,XI,XI: Diseases of the digestive system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
K820,54,K820,K820: Obstruction of gallbladder,K80-K87,"K80-K87: Disorders of gallbladder, biliary tract and pancreas",K80-K87,"K80-K87: Disorders of gallbladder, biliary tract and pancreas",K80-K87,"K80-K87: Disorders of gallbladder, biliary tract and pancreas",11,XI,XI: Diseases of the digestive system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
K821,9,K821,K821: Hydrops of gallbladder,K80-K87,"K80-K87: Disorders of gallbladder, biliary tract and pancreas",K80-K87,"K80-K87: Disorders of gallbladder, biliary tract and pancreas",K80-K87,"K80-K87: Disorders of gallbladder, biliary tract and pancreas",11,XI,XI: Diseases of the digestive system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
K822,1172,K822,K822: Perforation of gallbladder,K80-K87,"K80-K87: Disorders of gallbladder, biliary tract and pancreas",K80-K87,"K80-K87: Disorders of gallbladder, biliary tract and pancreas",K80-K87,"K80-K87: Disorders of gallbladder, biliary tract and pancreas",11,XI,XI: Diseases of the digestive system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
K823,113,K823,K823: Fistula of gallbladder,K80-K87,"K80-K87: Disorders of gallbladder, biliary tract and pancreas",K80-K87,"K80-K87: Disorders of gallbladder, biliary tract and pancreas",K80-K87,"K80-K87: Disorders of gallbladder, biliary tract and pancreas",11,XI,XI: Diseases of the digestive system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
K824,12,K824,K824: Cholesterolosis of gallbladder,K80-K87,"K80-K87: Disorders of gallbladder, biliary tract and pancreas",K80-K87,"K80-K87: Disorders of gallbladder, biliary tract and pancreas",K80-K87,"K80-K87: Disorders of gallbladder, biliary tract and pancreas",11,XI,XI: Diseases of the digestive system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
T199,2,T199,"T199: Foreign body in genitourinary tract, part unspecified",T15-T19,T15-T19: Effects of foreign body entering through natural orifice,T15-T19,T15-T19: Effects of foreign body entering through natural orifice,T15-T19,T15-T19: Effects of foreign body entering through natural orifice,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
T200,85,T200,T200: Burn of unspecified degree of head and neck,T20-T25,"T20-T25: Burns and corrosions of external body surface, specified by site",T20-T25,"T20-T25: Burns and corrosions of external body surface, specified by site",T20-T32,T20-T32: Burns and corrosions,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
T201,20,T201,T201: Burn of first degree of head and neck,T20-T25,"T20-T25: Burns and corrosions of external body surface, specified by site",T20-T25,"T20-T25: Burns and corrosions of external body surface, specified by site",T20-T32,T20-T32: Burns and corrosions,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
T202,68,T202,T202: Burn of second degree of head and neck,T20-T25,"T20-T25: Burns and corrosions of external body surface, specified by site",T20-T25,"T20-T25: Burns and corrosions of external body surface, specified by site",T20-T32,T20-T32: Burns and corrosions,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
T203,180,T203,T203: Burn of third degree of head and neck,T20-T25,"T20-T25: Burns and corrosions of external body surface, specified by site",T20-T25,"T20-T25: Burns and corrosions of external body surface, specified by site",T20-T32,T20-T32: Burns and corrosions,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
T204,1,T204,T204: Corrosion of unspecified degree of head and neck,T20-T25,"T20-T25: Burns and corrosions of external body surface, specified by site",T20-T25,"T20-T25: Burns and corrosions of external body surface, specified by site",T20-T32,T20-T32: Burns and corrosions,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
T206,2,T206,T206: Corrosion of second degree of head and neck,T20-T25,"T20-T25: Burns and corrosions of external body surface, specified by site",T20-T25,"T20-T25: Burns and corrosions of external body surface, specified by site",T20-T32,T20-T32: Burns and corrosions,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
T210,130,T210,T210: Burn of unspecified degree of trunk,T20-T25,"T20-T25: Burns and corrosions of external body surface, specified by site",T20-T25,"T20-T25: Burns and corrosions of external body surface, specified by site",T20-T32,T20-T32: Burns and corrosions,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
T211,27,T211,T211: Burn of first degree of trunk,T20-T25,"T20-T25: Burns and corrosions of external body surface, specified by site",T20-T25,"T20-T25: Burns and corrosions of external body surface, specified by site",T20-T32,T20-T32: Burns and corrosions,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
W181,1,W181,W181: Other fall on same level: Residential institution,W00-W19,W00-W19: Falls,W00-X59,W00-X59: Other external causes of accidental injury,V01-X59,V01-X59: Accidents,20,XX,XX: External causes of morbidity and mortality,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
W182,1,W182,"W182: Other fall on same level: School, other institution and public administrative area",W00-W19,W00-W19: Falls,W00-X59,W00-X59: Other external causes of accidental injury,V01-X59,V01-X59: Accidents,20,XX,XX: External causes of morbidity and mortality,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
W189,2,W189,W189: Other fall on same level: Unspecified place,W00-W19,W00-W19: Falls,W00-X59,W00-X59: Other external causes of accidental injury,V01-X59,V01-X59: Accidents,20,XX,XX: External causes of morbidity and mortality,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
W190,151,W190,W190: Unspecified fall: Home,W00-W19,W00-W19: Falls,W00-X59,W00-X59: Other external causes of accidental injury,V01-X59,V01-X59: Accidents,20,XX,XX: External causes of morbidity and mortality,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
W191,1,W191,W191: Unspecified fall: Residential institution,W00-W19,W00-W19: Falls,W00-X59,W00-X59: Other external causes of accidental injury,V01-X59,V01-X59: Accidents,20,XX,XX: External causes of morbidity and mortality,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
W192,2,W192,"W192: Unspecified fall: School, other institution and public administrative area",W00-W19,W00-W19: Falls,W00-X59,W00-X59: Other external causes of accidental injury,V01-X59,V01-X59: Accidents,20,XX,XX: External causes of morbidity and mortality,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
W194,1,W194,W194: Unspecified fall: Street and highway,W00-W19,W00-W19: Falls,W00-X59,W00-X59: Other external causes of accidental injury,V01-X59,V01-X59: Accidents,20,XX,XX: External causes of morbidity and mortality,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
W196,2,W196,W196: Unspecified fall: Industrial and construction area,W00-W19,W00-W19: Falls,W00-X59,W00-X59: Other external causes of accidental injury,V01-X59,V01-X59: Accidents,20,XX,XX: External causes of morbidity and mortality,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
W197,1,W197,W197: Unspecified fall: Farm,W00-W19,W00-W19: Falls,W00-X59,W00-X59: Other external causes of accidental injury,V01-X59,V01-X59: Accidents,20,XX,XX: External causes of morbidity and mortality,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
W198,1,W198,W198: Unspecified fall: Other specified places,W00-W19,W00-W19: Falls,W00-X59,W00-X59: Other external causes of accidental injury,V01-X59,V01-X59: Accidents,20,XX,XX: External causes of morbidity and mortality,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
W199,63,W199,W199: Unspecified fall: Unspecified place,W00-W19,W00-W19: Falls,W00-X59,W00-X59: Other external causes of accidental injury,V01-X59,V01-X59: Accidents,20,XX,XX: External causes of morbidity and mortality,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M888,3,M888,M888: Paget's disease of other bones,M86-M90,M86-M90: Other osteopathies,M86-M90,M86-M90: Other osteopathies,M80-M94,M80-M94: Osteopathies and chondropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M873,5,M873,M873: Other secondary osteonecrosis,M86-M90,M86-M90: Other osteopathies,M86-M90,M86-M90: Other osteopathies,M80-M94,M80-M94: Osteopathies and chondropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M8731,1,M8731,M8731: Other secondary osteonecrosis: Shoulder region,M86-M90,M86-M90: Other osteopathies,M86-M90,M86-M90: Other osteopathies,M80-M94,M80-M94: Osteopathies and chondropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M8732,1,M8732,M8732: Other secondary osteonecrosis: Upper arm,M86-M90,M86-M90: Other osteopathies,M86-M90,M86-M90: Other osteopathies,M80-M94,M80-M94: Osteopathies and chondropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M8735,14,M8735,M8735: Other secondary osteonecrosis: Pelvic region and thigh,M86-M90,M86-M90: Other osteopathies,M86-M90,M86-M90: Other osteopathies,M80-M94,M80-M94: Osteopathies and chondropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M8736,2,M8736,M8736: Other secondary osteonecrosis: Lower leg,M86-M90,M86-M90: Other osteopathies,M86-M90,M86-M90: Other osteopathies,M80-M94,M80-M94: Osteopathies and chondropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M8738,8,M8738,M8738: Other secondary osteonecrosis: Other,M86-M90,M86-M90: Other osteopathies,M86-M90,M86-M90: Other osteopathies,M80-M94,M80-M94: Osteopathies and chondropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M878,2,M878,M878: Other osteonecrosis,M86-M90,M86-M90: Other osteopathies,M86-M90,M86-M90: Other osteopathies,M80-M94,M80-M94: Osteopathies and chondropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M8780,1,M8780,M8780: Other osteonecrosis: Multiple sites,M86-M90,M86-M90: Other osteopathies,M86-M90,M86-M90: Other osteopathies,M80-M94,M80-M94: Osteopathies and chondropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M8784,1,M8784,M8784: Other osteonecrosis: Hand,M86-M90,M86-M90: Other osteopathies,M86-M90,M86-M90: Other osteopathies,M80-M94,M80-M94: Osteopathies and chondropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
