Spell_Primary_Diagnosis,frail_count,ICD10_L4_Code,ICD10_L4_Desc,ICD10_L3_Code,ICD10_L3_Desc,ICD10_L2_Code,ICD10_L2_Desc,ICD10_L1_Code,ICD10_L1_Desc,ICD10_Chapter_No,ICD10_Chapter_Code,ICD10_Chapter_Desc,ICD10_Usage,ICD10_Version,ICD10_Status,ICD10_Valid_From,ICD10_Valid_To
S0620,6475,S0620,S0620: Diffuse brain injury: without open intracranial wound,S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S0621,112,S0621,S0621: Diffuse brain injury: with open intracranial wound,S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S063,102,S063,S063: Focal brain injury,S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S0630,4373,S0630,S0630: Focal brain injury: without open intracranial wound,S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S0631,81,S0631,S0631: Focal brain injury: with open intracranial wound,S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S064,35,S064,S064: Epidural haemorrhage,S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S0640,1349,S0640,S0640: Epidural haemorrhage: without open intracranial wound,S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S0641,28,S0641,S0641: Epidural haemorrhage: with open intracranial wound,S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S065,1922,S065,S065: Traumatic subdural haemorrhage,S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S0650,64303,S0650,S0650: Traumatic subdural haemorrhage: without open intracranial wound,S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S0651,984,S0651,S0651: Traumatic subdural haemorrhage: with open intracranial wound,S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S066,684,S066,S066: Traumatic subarachnoid haemorrhage,S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S0660,22501,S0660,S0660: Traumatic subarachnoid haemorrhage: without open intracranial wound,S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S0661,482,S0661,S0661: Traumatic subarachnoid haemorrhage: with open intracranial wound,S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S0670,10,S0670,S0670: Intracranial injury with prolonged coma: without open intracranial wound,S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S068,320,S068,S068: Other intracranial injuries,S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S0680,7150,S0680,S0680: Other intracranial injuries: without open intracranial wound,S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S0681,169,S0681,S0681: Other intracranial injuries: with open intracranial wound,S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,S00-S09,S00-S09: Injuries to the head,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M250,123,M250,M250: Haemarthrosis,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2500,35,M2500,M2500: Haemarthrosis: Multiple sites,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2501,300,M2501,M2501: Haemarthrosis: Shoulder region,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2502,60,M2502,M2502: Haemarthrosis: Upper arm,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2503,21,M2503,M2503: Haemarthrosis: Forearm,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2504,7,M2504,M2504: Haemarthrosis: Hand,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2505,69,M2505,M2505: Haemarthrosis: Pelvic region and thigh,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2506,3971,M2506,M2506: Haemarthrosis: Lower leg,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2507,28,M2507,M2507: Haemarthrosis: Ankle and foot,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2508,2,M2508,M2508: Haemarthrosis: Other,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2509,7,M2509,M2509: Haemarthrosis: Site unspecified,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M251,1,M251,M251: Fistula of joint,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2510,1,M2510,M2510: Fistula of joint: Multiple sites,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2511,5,M2511,M2511: Fistula of joint: Shoulder region,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2512,4,M2512,M2512: Fistula of joint: Upper arm,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2513,1,M2513,M2513: Fistula of joint: Forearm,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2515,22,M2515,M2515: Fistula of joint: Pelvic region and thigh,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2516,21,M2516,M2516: Fistula of joint: Lower leg,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2518,1,M2518,M2518: Fistula of joint: Other,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M252,3,M252,M252: Flail joint,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2520,3,M2520,M2520: Flail joint: Multiple sites,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2521,11,M2521,M2521: Flail joint: Shoulder region,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2523,2,M2523,M2523: Flail joint: Forearm,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2525,33,M2525,M2525: Flail joint: Pelvic region and thigh,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2526,12,M2526,M2526: Flail joint: Lower leg,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2527,2,M2527,M2527: Flail joint: Ankle and foot,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M253,8,M253,M253: Other instability of joint,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2530,6,M2530,M2530: Other instability of joint: Multiple sites,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2531,14,M2531,M2531: Other instability of joint: Shoulder region,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2532,3,M2532,M2532: Other instability of joint: Upper arm,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2533,5,M2533,M2533: Other instability of joint: Forearm,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2534,4,M2534,M2534: Other instability of joint: Hand,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2535,8,M2535,M2535: Other instability of joint: Pelvic region and thigh,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2536,48,M2536,M2536: Other instability of joint: Lower leg,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2537,9,M2537,M2537: Other instability of joint: Ankle and foot,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2538,1,M2538,M2538: Other instability of joint: Other,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2539,1,M2539,M2539: Other instability of joint: Site unspecified,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M254,432,M254,M254: Effusion of joint,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2540,497,M2540,M2540: Effusion of joint: Multiple sites,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2541,473,M2541,M2541: Effusion of joint: Shoulder region,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2542,616,M2542,M2542: Effusion of joint: Upper arm,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2543,1283,M2543,M2543: Effusion of joint: Forearm,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2544,253,M2544,M2544: Effusion of joint: Hand,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2545,619,M2545,M2545: Effusion of joint: Pelvic region and thigh,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2546,13057,M2546,M2546: Effusion of joint: Lower leg,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2547,3042,M2547,M2547: Effusion of joint: Ankle and foot,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2548,28,M2548,M2548: Effusion of joint: Other,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2549,17,M2549,M2549: Effusion of joint: Site unspecified,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M255,2059,M255,M255: Pain in joint,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2550,12144,M2550,M2550: Pain in joint: Multiple sites,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2551,16760,M2551,M2551: Pain in joint: Shoulder region,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2552,1044,M2552,M2552: Pain in joint: Upper arm,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2553,2341,M2553,M2553: Pain in joint: Forearm,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2554,344,M2554,M2554: Pain in joint: Hand,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2555,57427,M2555,M2555: Pain in joint: Pelvic region and thigh,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2556,22807,M2556,M2556: Pain in joint: Lower leg,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2557,3792,M2557,M2557: Pain in joint: Ankle and foot,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2558,143,M2558,M2558: Pain in joint: Other,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2559,85,M2559,M2559: Pain in joint: Site unspecified,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M256,29,M256,"M256: Stiffness of joint, not elsewhere classified",M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2560,101,M2560,"M2560: Stiffness of joint, not elsewhere classified: Multiple sites",M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2561,40,M2561,"M2561: Stiffness of joint, not elsewhere classified: Shoulder region",M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2562,8,M2562,"M2562: Stiffness of joint, not elsewhere classified: Upper arm",M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2563,8,M2563,"M2563: Stiffness of joint, not elsewhere classified: Forearm",M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2564,27,M2564,"M2564: Stiffness of joint, not elsewhere classified: Hand",M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2565,24,M2565,"M2565: Stiffness of joint, not elsewhere classified: Pelvic region and thigh",M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M4182,2,M4182,M4182: Other forms of scoliosis: Cervical region,M40-M43,M40-M43: Deforming dorsopathies,M40-M43,M40-M43: Deforming dorsopathies,M40-M54,M40-M54: Dorsopathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M4183,1,M4183,M4183: Other forms of scoliosis: Cervicothoracic region,M40-M43,M40-M43: Deforming dorsopathies,M40-M43,M40-M43: Deforming dorsopathies,M40-M54,M40-M54: Dorsopathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M4184,1,M4184,M4184: Other forms of scoliosis: Thoracic region,M40-M43,M40-M43: Deforming dorsopathies,M40-M43,M40-M43: Deforming dorsopathies,M40-M54,M40-M54: Dorsopathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
W100,1,W100,W100: Fall on and from stairs and steps: Home,W00-W19,W00-W19: Falls,W00-X59,W00-X59: Other external causes of accidental injury,V01-X59,V01-X59: Accidents,20,XX,XX: External causes of morbidity and mortality,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
W109,2,W109,W109: Fall on and from stairs and steps: Unspecified place,W00-W19,W00-W19: Falls,W00-X59,W00-X59: Other external causes of accidental injury,V01-X59,V01-X59: Accidents,20,XX,XX: External causes of morbidity and mortality,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Z220,1,Z220,Z220: Carrier of typhoid,Z20-Z29,Z20-Z29: Persons with potential health hazards related to communicable diseases,Z20-Z29,Z20-Z29: Persons with potential health hazards related to communicable diseases,Z20-Z29,Z20-Z29: Persons with potential health hazards related to communicable diseases,21,XXI,XXI: Factors influencing health status and contact with health services,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
Z221,11,Z221,Z221: Carrier of other intestinal infectious diseases,Z20-Z29,Z20-Z29: Persons with potential health hazards related to communicable diseases,Z20-Z29,Z20-Z29: Persons with potential health hazards related to communicable diseases,Z20-Z29,Z20-Z29: Persons with potential health hazards related to communicable diseases,21,XXI,XXI: Factors influencing health status and contact with health services,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
