Der_Activity_Month,ICB_Name_Short,spells
202105,QT6: NHS Cornwall & Isles Of Scilly ICB,12382
202011,QRV: NHS North West London ICB,39462
202108,QH8: NHS Mid And South Essex ICB,25213
202107,QPM: NHS Northamptonshire ICB,18167
202101,QT6: NHS Cornwall & Isles Of Scilly ICB,10987
201806,QT6: NHS Cornwall & Isles Of Scilly ICB,14015
200904,QOP: NHS Greater Manchester ICB,46
201303,QRV: NHS North West London ICB,147
201212,QPM: NHS Northamptonshire ICB,85
200910,QNC: NHS Staffordshire & Stoke-On-Tr ICB,6
202003,QM7: NHS Hertfordshire & West Essex ICB,28015
201911,QVV: NHS Dorset ICB,21858
201907,"QUY: NHS Bristol, N S'set & S Gloucs ICB",22678
201710,QUA: NHS Black Country ICB,33374
201512,QMF: NHS North East London ICB,37259
201906,QMM: NHS Norfolk And Waveney ICB,28753
201406,QT1: NHS Nott'ham & Nottinghamshire ICB,24341
201511,QR1: NHS Gloucestershire ICB,12372
201308,QF7: NHS South Yorkshire ICB,32750
201306,QT1: NHS Nott'ham & Nottinghamshire ICB,24147
202306,QYG: NHS Cheshire And Merseyside ICB,71319
202104,"QUY: NHS Bristol, N S'set & S Gloucs ICB",19267
201807,QHL: NHS Birmingham And Solihull ICB,35677
202211,QT6: NHS Cornwall & Isles Of Scilly ICB,14534
201908,QUE: NHS Cambs & Peterborough ICB,19685
201908,QJM: NHS Lincolnshire ICB,17661
201409,QE1: NHS Lancashire & South Cumbria ICB,47610
202409,QT1: NHS Nott'ham & Nottinghamshire ICB,31423
201205,QHM: NHS North East & North Cumbria ICB,64
201301,QNX: NHS Sussex ICB,5
202006,QNX: NHS Sussex ICB,24610
201710,QYG: NHS Cheshire And Merseyside ICB,73514
201705,QHL: NHS Birmingham And Solihull ICB,33654
201803,QOP: NHS Greater Manchester ICB,77440
201603,QMM: NHS Norfolk And Waveney ICB,29228
202308,"QOX: NHS Bath & NE S'set, S'don & W ICB",21904
201702,QR1: NHS Gloucestershire ICB,10316
201503,"QOC: NHS Shrops, Telford & Wrekin ICB",10136
202404,QYG: NHS Cheshire And Merseyside ICB,74815
201803,QUA: NHS Black Country ICB,31589
202101,QWE: NHS South West London ICB,22426
201502,QMM: NHS Norfolk And Waveney ICB,27451
201508,QJ2: NHS Derby And Derbyshire ICB,21736
202206,QVV: NHS Dorset ICB,18474
202112,QOP: NHS Greater Manchester ICB,72313
202306,QUA: NHS Black Country ICB,24331
201904,QYG: NHS Cheshire And Merseyside ICB,71199
202112,QYG: NHS Cheshire And Merseyside ICB,61288
201902,QMM: NHS Norfolk And Waveney ICB,26722
201902,QH8: NHS Mid And South Essex ICB,27365
201902,QWE: NHS South West London ICB,30134
201803,QWO: NHS West Yorkshire ICB,57384
201409,"QUY: NHS Bristol, N S'set & S Gloucs ICB",19232
201704,QMF: NHS North East London ICB,35981
201707,QKS: NHS Kent And Medway ICB,41410
201807,QPM: NHS Northamptonshire ICB,18459
201407,QJG: NHS Suffolk & North East Essex ICB,22841
201503,QXU: NHS Surrey Heartlands ICB,20487
201212,QWO: NHS West Yorkshire ICB,224
201209,QJ2: NHS Derby And Derbyshire ICB,257
200904,NULL,1251655
201803,QOQ: NHS Humber And North Yorkshire ICB,40779
201312,QUA: NHS Black Country ICB,30595
202405,QKK: NHS South East London ICB,45559
201909,QGH: NHS Herefords & Worcestershire ICB,19376
201405,QOQ: NHS Humber And North Yorkshire ICB,39390
201508,QMJ: NHS North Central London ICB,34353
202306,QOP: NHS Greater Manchester ICB,81811
201906,QJG: NHS Suffolk & North East Essex ICB,22795
201705,QRL: NHS Hampshire And Isle Of Wight ICB,40383
201805,QOQ: NHS Humber And North Yorkshire ICB,42361
201801,QT1: NHS Nott'ham & Nottinghamshire ICB,26972
202112,QUA: NHS Black Country ICB,31509
201710,QVV: NHS Dorset ICB,21936
201804,QRL: NHS Hampshire And Isle Of Wight ICB,38152
201611,QJM: NHS Lincolnshire ICB,18813
201710,QNC: NHS Staffordshire & Stoke-On-Tr ICB,29240
202106,QJK: NHS Devon ICB,33763
202408,QJM: NHS Lincolnshire ICB,17370
201501,QNC: NHS Staffordshire & Stoke-On-Tr ICB,26307
202403,QT1: NHS Nott'ham & Nottinghamshire ICB,29688
202306,QVV: NHS Dorset ICB,20857
202005,QT6: NHS Cornwall & Isles Of Scilly ICB,8258
201207,QGH: NHS Herefords & Worcestershire ICB,21
201211,QUE: NHS Cambs & Peterborough ICB,48
201901,QOP: NHS Greater Manchester ICB,83241
202205,QKS: NHS Kent And Medway ICB,44576
201911,NULL,200179
201807,QWO: NHS West Yorkshire ICB,58603
202308,QWU: NHS Coventry And Warwickshire ICB,23899
202202,QRL: NHS Hampshire And Isle Of Wight ICB,37626
201808,"QOX: NHS Bath & NE S'set, S'don & W ICB",19939
202111,QWE: NHS South West London ICB,29697
201911,QJK: NHS Devon ICB,31109
202210,"QOC: NHS Shrops, Telford & Wrekin ICB",14272
201812,QWO: NHS West Yorkshire ICB,54891
202411,QRV: NHS North West London ICB,27547
201704,QF7: NHS South Yorkshire ICB,33074
201911,QNC: NHS Staffordshire & Stoke-On-Tr ICB,31872
202212,QMM: NHS Norfolk And Waveney ICB,27879
202107,QGH: NHS Herefords & Worcestershire ICB,19125
201806,QMJ: NHS North Central London ICB,34550
202201,QXU: NHS Surrey Heartlands ICB,19614
202205,QXU: NHS Surrey Heartlands ICB,22156
201412,"QOC: NHS Shrops, Telford & Wrekin ICB",9378
201207,QOP: NHS Greater Manchester ICB,56
201212,QGH: NHS Herefords & Worcestershire ICB,23
201010,NULL,1355446
200905,NULL,1239409
201312,QNC: NHS Staffordshire & Stoke-On-Tr ICB,26707
201912,QR1: NHS Gloucestershire ICB,13787
201804,QMJ: NHS North Central London ICB,32983
201407,QT6: NHS Cornwall & Isles Of Scilly ICB,12943
201612,QWE: NHS South West London ICB,30572
201708,"QOC: NHS Shrops, Telford & Wrekin ICB",13112
201710,NULL,204207
201411,"QHG: NHS Beds, Luton & Milton Keynes ICB",18103
202003,QKS: NHS Kent And Medway ICB,35287
201812,QYG: NHS Cheshire And Merseyside ICB,67757
201606,QNQ: NHS Frimley ICB,16011
202209,QRL: NHS Hampshire And Isle Of Wight ICB,39157
202402,"QUY: NHS Bristol, N S'set & S Gloucs ICB",23868
202406,"QOC: NHS Shrops, Telford & Wrekin ICB",15127
201604,QR1: NHS Gloucestershire ICB,12073
201412,QSL: NHS Somerset ICB,13065
201303,QT6: NHS Cornwall & Isles Of Scilly ICB,263
201204,QOP: NHS Greater Manchester ICB,33
201207,QVV: NHS Dorset ICB,69
200904,QNC: NHS Staffordshire & Stoke-On-Tr ICB,16
201602,QRL: NHS Hampshire And Isle Of Wight ICB,36692
202107,QYG: NHS Cheshire And Merseyside ICB,65486
201711,QNC: NHS Staffordshire & Stoke-On-Tr ICB,29705
202306,QNC: NHS Staffordshire & Stoke-On-Tr ICB,32391
202306,NULL,205824
202107,QWO: NHS West Yorkshire ICB,52278
201706,QJ2: NHS Derby And Derbyshire ICB,25039
202207,"QUY: NHS Bristol, N S'set & S Gloucs ICB",18695
202005,"QOX: NHS Bath & NE S'set, S'don & W ICB",11737
201907,"QU9: NHS Bucks, Oxford & Berkshire W ICB",40741
202102,QE1: NHS Lancashire & South Cumbria ICB,41142
201305,QGH: NHS Herefords & Worcestershire ICB,15608
201808,"QUY: NHS Bristol, N S'set & S Gloucs ICB",21134
202009,QT6: NHS Cornwall & Isles Of Scilly ICB,12419
201908,"QHG: NHS Beds, Luton & Milton Keynes ICB",22135
201305,QPM: NHS Northamptonshire ICB,14840
202109,QH8: NHS Mid And South Essex ICB,26134
202001,QXU: NHS Surrey Heartlands ICB,23431
201801,QR1: NHS Gloucestershire ICB,13225
201206,"QK1: NHS Leics, Leic'shire & Rutland ICB",42
201303,QKK: NHS South East London ICB,28
201204,QUA: NHS Black Country ICB,40
201204,QNC: NHS Staffordshire & Stoke-On-Tr ICB,27
201006,QWE: NHS South West London ICB,1
201802,QGH: NHS Herefords & Worcestershire ICB,16664
201506,QPM: NHS Northamptonshire ICB,16873
201902,"QK1: NHS Leics, Leic'shire & Rutland ICB",23325
200908,"QOC: NHS Shrops, Telford & Wrekin ICB",3
201209,QRL: NHS Hampshire And Isle Of Wight ICB,12
201210,QMJ: NHS North Central London ICB,2
201208,QWE: NHS South West London ICB,8
201112,QF7: NHS South Yorkshire ICB,1
201206,QWE: NHS South West London ICB,10
201001,QM7: NHS Hertfordshire & West Essex ICB,1
201205,QMF: NHS North East London ICB,7
200911,QWO: NHS West Yorkshire ICB,4
201103,QUE: NHS Cambs & Peterborough ICB,1
201206,QMM: NHS Norfolk And Waveney ICB,2
202011,QJK: NHS Devon ICB,28592
202408,"QK1: NHS Leics, Leic'shire & Rutland ICB",27918
202102,QHL: NHS Birmingham And Solihull ICB,20251
201610,QJG: NHS Suffolk & North East Essex ICB,22858
202101,QT1: NHS Nott'ham & Nottinghamshire ICB,22664
202107,QMM: NHS Norfolk And Waveney ICB,28134
202004,"QK1: NHS Leics, Leic'shire & Rutland ICB",12801
201407,QE1: NHS Lancashire & South Cumbria ICB,49881
202208,QHL: NHS Birmingham And Solihull ICB,28956
201712,QOP: NHS Greater Manchester ICB,76255
201503,"QOX: NHS Bath & NE S'set, S'don & W ICB",17886
201805,QRL: NHS Hampshire And Isle Of Wight ICB,41019
202410,QH8: NHS Mid And South Essex ICB,32034
202208,QRL: NHS Hampshire And Isle Of Wight ICB,39073
202004,QNX: NHS Sussex ICB,17279
202408,QNX: NHS Sussex ICB,41402
202308,QXU: NHS Surrey Heartlands ICB,25346
201408,QKS: NHS Kent And Medway ICB,36225
201206,QT1: NHS Nott'ham & Nottinghamshire ICB,1759
201204,QJ2: NHS Derby And Derbyshire ICB,263
201212,QH8: NHS Mid And South Essex ICB,122
201302,QUA: NHS Black Country ICB,105
201302,QOP: NHS Greater Manchester ICB,128
201302,QRL: NHS Hampshire And Isle Of Wight ICB,27
202207,NULL,179764
201712,QPM: NHS Northamptonshire ICB,16739
202408,QHL: NHS Birmingham And Solihull ICB,35135
201807,QMM: NHS Norfolk And Waveney ICB,30203
202310,QT6: NHS Cornwall & Isles Of Scilly ICB,14966
201510,QH8: NHS Mid And South Essex ICB,26094
201712,QUA: NHS Black Country ICB,29796
201808,QM7: NHS Hertfordshire & West Essex ICB,32950
201812,QMM: NHS Norfolk And Waveney ICB,26805
202004,QRV: NHS North West London ICB,19816
202005,QNX: NHS Sussex ICB,20995
201705,QNC: NHS Staffordshire & Stoke-On-Tr ICB,30022
201702,QNX: NHS Sussex ICB,34974
202406,QJG: NHS Suffolk & North East Essex ICB,27659
201306,"QK1: NHS Leics, Leic'shire & Rutland ICB",19609
202007,QWU: NHS Coventry And Warwickshire ICB,18267
202110,QWU: NHS Coventry And Warwickshire ICB,22342
201501,QJ2: NHS Derby And Derbyshire ICB,23753
201805,QR1: NHS Gloucestershire ICB,12804
201601,QT6: NHS Cornwall & Isles Of Scilly ICB,12434
201211,QRL: NHS Hampshire And Isle Of Wight ICB,28
201504,QWO: NHS West Yorkshire ICB,56581
201002,NULL,1233427
201512,QUA: NHS Black Country ICB,33243
201806,QUE: NHS Cambs & Peterborough ICB,19418
201902,QWO: NHS West Yorkshire ICB,54339
201407,QOP: NHS Greater Manchester ICB,81610
201304,QT1: NHS Nott'ham & Nottinghamshire ICB,24999
202301,QOQ: NHS Humber And North Yorkshire ICB,45504
201404,QH8: NHS Mid And South Essex ICB,23358
201904,QF7: NHS South Yorkshire ICB,35157
202012,QM7: NHS Hertfordshire & West Essex ICB,27292
201904,QWU: NHS Coventry And Warwickshire ICB,22308
202405,QOQ: NHS Humber And North Yorkshire ICB,51055
201911,QT1: NHS Nott'ham & Nottinghamshire ICB,27613
201602,QHM: NHS North East & North Cumbria ICB,81239
201406,QJK: NHS Devon ICB,27630
201704,QJM: NHS Lincolnshire ICB,16656
201602,QF7: NHS South Yorkshire ICB,35340
201907,QJK: NHS Devon ICB,31621
201802,QWU: NHS Coventry And Warwickshire ICB,20199
202003,QRV: NHS North West London ICB,35413
202207,QVV: NHS Dorset ICB,18756
201410,"QK1: NHS Leics, Leic'shire & Rutland ICB",23196
202201,QNQ: NHS Frimley ICB,13229
201212,QHM: NHS North East & North Cumbria ICB,68
201705,NULL,199612
201604,QXU: NHS Surrey Heartlands ICB,19822
201703,QYG: NHS Cheshire And Merseyside ICB,75136
201512,QUE: NHS Cambs & Peterborough ICB,19356
202212,QYG: NHS Cheshire And Merseyside ICB,61879
201612,QT1: NHS Nott'ham & Nottinghamshire ICB,25956
202208,"QK1: NHS Leics, Leic'shire & Rutland ICB",23508
201903,QJM: NHS Lincolnshire ICB,18280
202209,QR1: NHS Gloucestershire ICB,13457
201512,QOP: NHS Greater Manchester ICB,68803
202201,QF7: NHS South Yorkshire ICB,32218
202112,QF7: NHS South Yorkshire ICB,32768
201401,QH8: NHS Mid And South Essex ICB,24599
202311,QKS: NHS Kent And Medway ICB,47975
201804,QUA: NHS Black Country ICB,30100
201408,QOQ: NHS Humber And North Yorkshire ICB,37160
201801,QOQ: NHS Humber And North Yorkshire ICB,41439
201912,QYG: NHS Cheshire And Merseyside ICB,70514
201601,QWE: NHS South West London ICB,30924
201907,QGH: NHS Herefords & Worcestershire ICB,20493
201812,QH8: NHS Mid And South Essex ICB,26627
201808,QJK: NHS Devon ICB,29018
202203,QJM: NHS Lincolnshire ICB,17100
201605,"QOX: NHS Bath & NE S'set, S'don & W ICB",17841
201812,QWE: NHS South West London ICB,29521
201902,QT1: NHS Nott'ham & Nottinghamshire ICB,25384
202102,QKK: NHS South East London ICB,27209
201412,QKK: NHS South East London ICB,34930
201306,QPM: NHS Northamptonshire ICB,14213
201907,QOP: NHS Greater Manchester ICB,85104
201802,QMF: NHS North East London ICB,37022
202202,QHM: NHS North East & North Cumbria ICB,69424
202203,QM7: NHS Hertfordshire & West Essex ICB,32332
202310,QMJ: NHS North Central London ICB,36511
202009,"QHG: NHS Beds, Luton & Milton Keynes ICB",18385
202003,QKK: NHS South East London ICB,30193
201312,QRL: NHS Hampshire And Isle Of Wight ICB,34501
201710,QMJ: NHS North Central London ICB,35556
201404,QRL: NHS Hampshire And Isle Of Wight ICB,35181
202410,QPM: NHS Northamptonshire ICB,22931
202107,QE1: NHS Lancashire & South Cumbria ICB,51714
202111,QM7: NHS Hertfordshire & West Essex ICB,31711
202002,QOQ: NHS Humber And North Yorkshire ICB,41164
202106,QH8: NHS Mid And South Essex ICB,27217
201305,QWU: NHS Coventry And Warwickshire ICB,18092
201908,QT6: NHS Cornwall & Isles Of Scilly ICB,14259
201705,QJK: NHS Devon ICB,28924
202006,QSL: NHS Somerset ICB,9662
201512,QHL: NHS Birmingham And Solihull ICB,32443
201703,QNC: NHS Staffordshire & Stoke-On-Tr ICB,29044
202011,QM7: NHS Hertfordshire & West Essex ICB,29862
201205,QJ2: NHS Derby And Derbyshire ICB,347
201301,QJM: NHS Lincolnshire ICB,194
201210,QUA: NHS Black Country ICB,104
201101,NULL,1309517
202208,QUA: NHS Black Country ICB,31641
201410,QOP: NHS Greater Manchester ICB,83407
202403,QWE: NHS South West London ICB,32571
201309,QE1: NHS Lancashire & South Cumbria ICB,44322
201211,QGH: NHS Herefords & Worcestershire ICB,24
201611,QF7: NHS South Yorkshire ICB,37136
202012,QJ2: NHS Derby And Derbyshire ICB,21881
201612,QWO: NHS West Yorkshire ICB,56280
202108,QOQ: NHS Humber And North Yorkshire ICB,38659
201503,QNQ: NHS Frimley ICB,16698
202303,QJK: NHS Devon ICB,37298
201509,"QOX: NHS Bath & NE S'set, S'don & W ICB",18076
201901,"QHG: NHS Beds, Luton & Milton Keynes ICB",23589
202006,"QUY: NHS Bristol, N S'set & S Gloucs ICB",15437
201406,"QK1: NHS Leics, Leic'shire & Rutland ICB",20709
201703,QVV: NHS Dorset ICB,23136
201204,"QUY: NHS Bristol, N S'set & S Gloucs ICB",1896
201608,"QOX: NHS Bath & NE S'set, S'don & W ICB",17282
202107,QWE: NHS South West London ICB,30486
201908,QH8: NHS Mid And South Essex ICB,28672
202104,QVV: NHS Dorset ICB,18434
202204,QWE: NHS South West London ICB,26866
201211,QPM: NHS Northamptonshire ICB,91
201206,QVV: NHS Dorset ICB,56
202002,QWO: NHS West Yorkshire ICB,54409
201312,QMJ: NHS North Central London ICB,35591
202108,QWO: NHS West Yorkshire ICB,49429
202402,QOP: NHS Greater Manchester ICB,79510
201807,QH8: NHS Mid And South Essex ICB,30029
201601,QHM: NHS North East & North Cumbria ICB,82021
201512,NULL,177352
201607,QJ2: NHS Derby And Derbyshire ICB,23631
201412,QRV: NHS North West London ICB,39172
201410,QUA: NHS Black Country ICB,32524
202310,QJG: NHS Suffolk & North East Essex ICB,25597
201410,QUE: NHS Cambs & Peterborough ICB,19463
201409,QVV: NHS Dorset ICB,20274
201403,QF7: NHS South Yorkshire ICB,35656
202409,QJ2: NHS Derby And Derbyshire ICB,30069
202303,QUE: NHS Cambs & Peterborough ICB,19600
202210,QT6: NHS Cornwall & Isles Of Scilly ICB,13527
202111,QGH: NHS Herefords & Worcestershire ICB,18743
201409,QNC: NHS Staffordshire & Stoke-On-Tr ICB,27764
202406,QT6: NHS Cornwall & Isles Of Scilly ICB,15157
201305,QMF: NHS North East London ICB,38011
201411,QR1: NHS Gloucestershire ICB,11765
202101,QNC: NHS Staffordshire & Stoke-On-Tr ICB,21003
202407,"QOX: NHS Bath & NE S'set, S'don & W ICB",24558
201908,QR1: NHS Gloucestershire ICB,13776
201708,QT6: NHS Cornwall & Isles Of Scilly ICB,13659
201402,"QUY: NHS Bristol, N S'set & S Gloucs ICB",18141
201407,"QOC: NHS Shrops, Telford & Wrekin ICB",9764
202104,QNC: NHS Staffordshire & Stoke-On-Tr ICB,25392
201610,QT6: NHS Cornwall & Isles Of Scilly ICB,12572
201903,QNQ: NHS Frimley ICB,16804
201302,QH8: NHS Mid And South Essex ICB,239
201206,QNC: NHS Staffordshire & Stoke-On-Tr ICB,30
201704,QM7: NHS Hertfordshire & West Essex ICB,29199
202103,QRL: NHS Hampshire And Isle Of Wight ICB,39821
201408,QXU: NHS Surrey Heartlands ICB,18588
202103,QHL: NHS Birmingham And Solihull ICB,25149
201410,QJK: NHS Devon ICB,29305
201711,QH8: NHS Mid And South Essex ICB,28570
202310,QKS: NHS Kent And Medway ICB,48373
201909,"QU9: NHS Bucks, Oxford & Berkshire W ICB",38207
201407,"QHG: NHS Beds, Luton & Milton Keynes ICB",19478
201406,QGH: NHS Herefords & Worcestershire ICB,16248
201503,QRV: NHS North West London ICB,42630
201511,QHL: NHS Birmingham And Solihull ICB,32737
201405,QRV: NHS North West London ICB,40599
201705,QMF: NHS North East London ICB,39369
201307,QKK: NHS South East London ICB,36776
202402,QUA: NHS Black Country ICB,24390
201907,QUA: NHS Black Country ICB,34104
201807,QE1: NHS Lancashire & South Cumbria ICB,53688
201612,QXU: NHS Surrey Heartlands ICB,20257
201308,QJG: NHS Suffolk & North East Essex ICB,21034
201306,QGH: NHS Herefords & Worcestershire ICB,14993
201208,QJK: NHS Devon ICB,255
201301,QSL: NHS Somerset ICB,446
201210,QOP: NHS Greater Manchester ICB,68
201805,QKK: NHS South East London ICB,38384
202410,QGH: NHS Herefords & Worcestershire ICB,21820
201907,QHL: NHS Birmingham And Solihull ICB,36339
201905,QJ2: NHS Derby And Derbyshire ICB,27091
202001,QSL: NHS Somerset ICB,15035
201601,QMM: NHS Norfolk And Waveney ICB,28056
202206,QH8: NHS Mid And South Essex ICB,25476
201701,QF7: NHS South Yorkshire ICB,36713
201902,QJM: NHS Lincolnshire ICB,17120
202109,QHL: NHS Birmingham And Solihull ICB,26332
202206,QMM: NHS Norfolk And Waveney ICB,27026
202410,QMJ: NHS North Central London ICB,32631
201707,QMM: NHS Norfolk And Waveney ICB,29193
201810,QMF: NHS North East London ICB,42285
201912,"QK1: NHS Leics, Leic'shire & Rutland ICB",22849
201905,QVV: NHS Dorset ICB,21267
201310,QF7: NHS South Yorkshire ICB,36115
202002,QJM: NHS Lincolnshire ICB,16888
201403,QJM: NHS Lincolnshire ICB,17597
201212,"QU9: NHS Bucks, Oxford & Berkshire W ICB",75
201908,QHM: NHS North East & North Cumbria ICB,73148
201503,QNX: NHS Sussex ICB,35329
201712,QKS: NHS Kent And Medway ICB,39106
201808,QNX: NHS Sussex ICB,37427
201401,QRL: NHS Hampshire And Isle Of Wight ICB,37516
202405,QKS: NHS Kent And Medway ICB,48406
202211,QNC: NHS Staffordshire & Stoke-On-Tr ICB,31108
201504,QOQ: NHS Humber And North Yorkshire ICB,39360
201505,QJM: NHS Lincolnshire ICB,17047
201707,QWE: NHS South West London ICB,31122
202402,"QK1: NHS Leics, Leic'shire & Rutland ICB",27354
202205,QR1: NHS Gloucestershire ICB,12967
202302,QR1: NHS Gloucestershire ICB,12357
201510,QMJ: NHS North Central London ICB,37462
201308,QKS: NHS Kent And Medway ICB,35956
201906,QKS: NHS Kent And Medway ICB,41576
201801,QWE: NHS South West London ICB,31451
202406,QMJ: NHS North Central London ICB,28213
201508,QUA: NHS Black Country ICB,30978
201708,QJG: NHS Suffolk & North East Essex ICB,23246
201810,QNQ: NHS Frimley ICB,17423
201505,QVV: NHS Dorset ICB,19513
201908,QJG: NHS Suffolk & North East Essex ICB,23410
202411,"QOC: NHS Shrops, Telford & Wrekin ICB",1314
202002,QVV: NHS Dorset ICB,20380
201404,QMJ: NHS North Central London ICB,34553
202402,QRL: NHS Hampshire And Isle Of Wight ICB,44368
202203,QT1: NHS Nott'ham & Nottinghamshire ICB,27719
201603,QT1: NHS Nott'ham & Nottinghamshire ICB,26691
202410,QUA: NHS Black Country ICB,26919
202410,QOP: NHS Greater Manchester ICB,87972
201808,"QK1: NHS Leics, Leic'shire & Rutland ICB",23891
201409,QWO: NHS West Yorkshire ICB,58753
201406,QPM: NHS Northamptonshire ICB,15674
201707,QHM: NHS North East & North Cumbria ICB,73281
202104,QWO: NHS West Yorkshire ICB,47436
202303,QM7: NHS Hertfordshire & West Essex ICB,33608
202302,"QOC: NHS Shrops, Telford & Wrekin ICB",13504
202112,QHM: NHS North East & North Cumbria ICB,71753
201806,QOP: NHS Greater Manchester ICB,79638
201707,QJG: NHS Suffolk & North East Essex ICB,23010
202108,QVV: NHS Dorset ICB,17885
201410,"QHG: NHS Beds, Luton & Milton Keynes ICB",19028
201405,"QK1: NHS Leics, Leic'shire & Rutland ICB",21370
202312,QKS: NHS Kent And Medway ICB,42498
201511,"QK1: NHS Leics, Leic'shire & Rutland ICB",23014
201806,QUA: NHS Black Country ICB,31805
201901,"QOX: NHS Bath & NE S'set, S'don & W ICB",20763
201810,QWU: NHS Coventry And Warwickshire ICB,23745
201907,QPM: NHS Northamptonshire ICB,19911
202402,QHL: NHS Birmingham And Solihull ICB,35214
202211,QVV: NHS Dorset ICB,20150
202108,QNC: NHS Staffordshire & Stoke-On-Tr ICB,27336
201803,"QUY: NHS Bristol, N S'set & S Gloucs ICB",20257
201503,"QK1: NHS Leics, Leic'shire & Rutland ICB",22905
201702,QM7: NHS Hertfordshire & West Essex ICB,29415
201609,QSL: NHS Somerset ICB,13282
201507,NULL,200907
201505,QWO: NHS West Yorkshire ICB,56506
201912,QJK: NHS Devon ICB,29588
201706,QE1: NHS Lancashire & South Cumbria ICB,52044
201402,QRV: NHS North West London ICB,39510
202411,QKS: NHS Kent And Medway ICB,21342
201508,QOP: NHS Greater Manchester ICB,73739
201901,QRV: NHS North West London ICB,45933
201507,QNX: NHS Sussex ICB,36752
201903,"QUY: NHS Bristol, N S'set & S Gloucs ICB",22237
202408,QKK: NHS South East London ICB,44602
201902,QNC: NHS Staffordshire & Stoke-On-Tr ICB,29806
201902,QVV: NHS Dorset ICB,19074
201303,NULL,1333110
202402,NULL,192295
202310,QRL: NHS Hampshire And Isle Of Wight ICB,45327
202012,QHL: NHS Birmingham And Solihull ICB,21749
202410,QWE: NHS South West London ICB,35091
202308,QYG: NHS Cheshire And Merseyside ICB,70233
201507,QWO: NHS West Yorkshire ICB,60095
202001,QHM: NHS North East & North Cumbria ICB,78696
202404,QMM: NHS Norfolk And Waveney ICB,36183
201504,QM7: NHS Hertfordshire & West Essex ICB,30687
202010,QE1: NHS Lancashire & South Cumbria ICB,45345
202403,QJG: NHS Suffolk & North East Essex ICB,28645
201911,QWU: NHS Coventry And Warwickshire ICB,23099
202303,QJM: NHS Lincolnshire ICB,18602
201708,QRL: NHS Hampshire And Isle Of Wight ICB,38622
201403,QR1: NHS Gloucestershire ICB,11909
201902,QXU: NHS Surrey Heartlands ICB,20981
201304,"QOX: NHS Bath & NE S'set, S'don & W ICB",15835
202308,QPM: NHS Northamptonshire ICB,19394
202012,QPM: NHS Northamptonshire ICB,14350
201303,"QHG: NHS Beds, Luton & Milton Keynes ICB",79
201211,"QK1: NHS Leics, Leic'shire & Rutland ICB",73
200912,"QOC: NHS Shrops, Telford & Wrekin ICB",10
201312,QKK: NHS South East London ICB,33311
201712,QHL: NHS Birmingham And Solihull ICB,32539
202102,QRL: NHS Hampshire And Isle Of Wight ICB,32080
201402,QT1: NHS Nott'ham & Nottinghamshire ICB,23152
201801,QOP: NHS Greater Manchester ICB,80923
202010,QSL: NHS Somerset ICB,13261
201606,QWO: NHS West Yorkshire ICB,59289
201408,QUE: NHS Cambs & Peterborough ICB,17862
202005,QYG: NHS Cheshire And Merseyside ICB,41579
201607,QMJ: NHS North Central London ICB,35642
201811,QJK: NHS Devon ICB,30676
201808,QGH: NHS Herefords & Worcestershire ICB,18433
201503,QH8: NHS Mid And South Essex ICB,25676
201406,QJG: NHS Suffolk & North East Essex ICB,21610
202405,QUA: NHS Black Country ICB,26822
201310,QRL: NHS Hampshire And Isle Of Wight ICB,38404
201405,"QOX: NHS Bath & NE S'set, S'don & W ICB",17411
201701,"QUY: NHS Bristol, N S'set & S Gloucs ICB",21136
201803,"QOX: NHS Bath & NE S'set, S'don & W ICB",19170
202310,QPM: NHS Northamptonshire ICB,20237
201307,QMF: NHS North East London ICB,38806
202301,QNX: NHS Sussex ICB,35501
202107,"QOX: NHS Bath & NE S'set, S'don & W ICB",20194
201412,QRL: NHS Hampshire And Isle Of Wight ICB,35778
201807,QF7: NHS South Yorkshire ICB,35637
202005,QOP: NHS Greater Manchester ICB,46841
202407,QUE: NHS Cambs & Peterborough ICB,14073
202202,"QOC: NHS Shrops, Telford & Wrekin ICB",12849
201303,QJK: NHS Devon ICB,308
201408,"QHG: NHS Beds, Luton & Milton Keynes ICB",17437
202208,QNX: NHS Sussex ICB,34792
202105,QOP: NHS Greater Manchester ICB,74676
201810,QWE: NHS South West London ICB,33539
201806,QJK: NHS Devon ICB,29460
202009,QYG: NHS Cheshire And Merseyside ICB,60414
202311,QOP: NHS Greater Manchester ICB,83711
202306,"QOX: NHS Bath & NE S'set, S'don & W ICB",22330
202401,QKS: NHS Kent And Medway ICB,46892
201708,QMJ: NHS North Central London ICB,34528
201403,"QU9: NHS Bucks, Oxford & Berkshire W ICB",31412
201311,QT6: NHS Cornwall & Isles Of Scilly ICB,12148
202408,QRL: NHS Hampshire And Isle Of Wight ICB,45326
202406,QJ2: NHS Derby And Derbyshire ICB,30026
202307,QRL: NHS Hampshire And Isle Of Wight ICB,43094
201904,QNQ: NHS Frimley ICB,18070
201802,QE1: NHS Lancashire & South Cumbria ICB,48664
201712,QGH: NHS Herefords & Worcestershire ICB,16411
202310,"QK1: NHS Leics, Leic'shire & Rutland ICB",27334
202008,QHL: NHS Birmingham And Solihull ICB,26427
201801,QUA: NHS Black Country ICB,33254
202109,QKS: NHS Kent And Medway ICB,40658
201909,QHM: NHS North East & North Cumbria ICB,73780
201308,QGH: NHS Herefords & Worcestershire ICB,14773
